"session","ID","occasion","trap","tim","ss"
1,1,1,4,1,144.0405146
1,1,1,5,1.58340000000317,145.1620129
1,1,1,3,10.25,136.6055795
1,1,1,6,12.3333999998868,140.8019817
1,1,1,1,19.75,136.3573394
1,1,1,2,22.9999999998836,137.3840715
1,2,1,1,38.25,136.3573394
1,3,1,2,256.249999999884,140.4117098
1,3,1,3,259.083399999887,135.2644605
1,4,1,1,430,138.6568483
1,5,1,3,535.749999999884,135.4522126
1,6,1,2,571.499999999884,136.6957505
1,7,1,2,731.833399999887,152.1262788
1,7,1,1,732.5,150.1140487
1,7,1,3,744.083399999887,140.7145954
1,7,1,6,748.583399999887,143.0732258
1,7,1,4,749.666699999943,143.3828505
1,7,1,5,752.166699999943,140.0903563
1,8,1,4,829,147.0981678
1,8,1,5,833,142.0635688
1,8,1,3,836.999999999884,141.8559064
1,9,1,6,847.416699999943,138.386539
1,9,1,2,850.499999999884,139.3996222
1,10,1,5,914.916699999943,137.3111591
1,11,1,4,1002.33339999989,148.8427908
1,11,1,1,1004.49999999988,150.4051547
1,11,1,5,1005.83339999989,143.7334658
1,11,1,3,1009.91669999994,141.8421215
1,11,1,2,1012.8334,143.983265
1,12,1,6,1019.91669999994,140.23116
1,13,1,5,1187.75,135.2815852
1,14,1,4,1232.5834,145.1157006
1,14,1,5,1236.5,138.7464647
1,14,1,3,1239.99999999988,139.1388499
1,15,1,2,1254.91669999994,136.2388991
1,16,1,6,1375.58339999989,166.1457464
1,16,1,5,1384.16669999994,152.2896691
1,16,1,1,1392.75,147.0383469
1,16,1,4,1397.99999999988,141.2626667
1,17,1,2,1663.8334,137.2798133
1,18,1,2,1767,135.417572
1,19,1,4,2061.16669999994,143.3681146
1,19,1,3,2064.83339999989,137.7614866
1,19,1,5,2070.5,138.9280506
1,19,1,2,2078.41669999994,136.8467087
1,19,1,1,2080.8334,140.2141959
1,20,1,4,2430.24999999988,143.8401788
1,20,1,5,2431,141.9573143
1,20,1,3,2439.5,135.3452335
1,20,1,6,2441.49999999988,141.0090613
1,20,1,2,2452.75,136.2936497
1,21,1,2,2604.8334,150.951893
1,21,1,1,2605.49999999988,152.4571631
1,21,1,3,2616.83339999989,141.6398336
1,21,1,6,2622.24999999988,156.4471262
1,21,1,4,2622.83339999989,142.8538659
1,21,1,5,2625.58339999989,143.7169865
