"session","ID","occasion","trap","tim","ss"
1,1,1,5,1,152.3036741
1,1,1,6,10.1875,153.916631
1,2,1,5,12.125,153.6304953
1,2,1,6,14.2083330000023,154.4556319
1,3,1,5,21.2291669999977,152.5101868
1,3,1,6,22.9791669999977,154.4556319
1,4,1,5,26.6666669999977,154.0949816
1,5,1,5,32.8958330000023,154.0949816
1,6,1,5,3690.041667,154.2980329
1,6,1,6,3700.875,156.1611309
1,7,1,5,3706.604167,153.1109817
1,7,1,6,3709.520833,156.1611309
1,8,1,5,3713.25,153.089979
1,9,1,5,7068.125,153.4057511
1,10,1,5,7078.104167,153.4458065
1,10,1,6,7079.375,154.4993469
1,11,1,6,7086.125,154.2724254
1,11,1,5,7087.958333,153.0994908
1,12,1,6,7096.416667,155.2892414
1,13,1,6,7113.125,156.5357214
1,14,1,2,8193.25,154.5908761
1,15,1,5,10765.375,154.8983238
1,16,1,5,13738.16667,154.2953336
1,16,1,6,13750.125,156.1747919
1,17,1,5,13758.04167,154.6430288
1,18,1,5,17467.41667,154.0705178
1,18,1,6,17486.22917,156.09222
1,19,1,5,17486.9375,154.2445289
1,20,1,5,20745.47917,153.3166279
1,21,1,5,20752.64583,154.2319856
1,21,1,6,20754.33333,155.0501025
1,22,1,5,20762.4375,152.4313788
1,23,1,5,23691.9375,155.4372373
1,24,1,6,24949.29167,156.3459538
1,25,1,6,24958.45833,155.7167365
1,25,1,5,24965.83333,153.5718901
1,26,1,6,24967.1875,155.3320771
1,27,1,5,29435.77083,153.7475228
1,28,1,5,29440.47917,155.5721529
1,28,1,6,29442.60417,156.3254001
1,29,1,6,29456.0625,155.0119441
1,29,1,5,29457.35417,154.7991745
1,30,1,6,33350.54167,157.9579681
1,30,1,5,33373.91667,152.613218
1,31,1,6,33382,154.6496635
1,32,1,1,33531.79167,159.0801854
1,32,1,5,33558.375,157.0468602
1,33,1,6,38326.16667,155.7929711
1,33,1,5,38335.35417,155.1101718
1,34,1,6,38345.8125,155.7929711
1,35,1,5,45203.66667,153.8365594
1,36,1,5,45208.41667,154.4951004
1,37,1,5,45218.02083,154.4951004
1,38,1,5,45229.85417,153.9314407
1,39,1,5,45235.6875,154.4807816
1,39,1,6,45235.9375,155.9895343
1,40,1,5,45242.72917,154.4807816
1,41,1,6,49022.35417,157.4383105
1,41,1,5,49036.16667,154.374596
1,42,1,5,49042.54167,155.1543183
1,42,1,6,49062.0625,155.6493827
1,43,1,5,49065.39583,155.0958259
1,44,1,5,53009.10417,155.8945452
1,44,1,6,53020.79167,156.0642195
1,45,1,5,53044.75,153.5302826
1,45,1,6,53053.66667,155.9314254
1,46,1,6,56654.08333,157.2227258
1,46,1,5,56676.54167,153.9090931
1,47,1,5,56683.54167,153.4161171
1,48,1,4,57332.33333,154.8244739
1,49,1,2,65164.375,156.8768862
1,50,1,4,67477.64583,155.4154771
1,51,1,4,70070.85417,156.1487841
1,51,1,2,70088.3125,157.24853
1,52,1,4,70104.625,156.8181984
1,53,1,5,70256.5625,152.9840599
1,53,1,2,70260.77083,155.4445547
1,54,1,5,70272.41667,152.8209725
1,55,1,5,70282.5625,152.4066005
1,55,1,6,70282.83333,155.2602619
1,56,1,6,70298.08333,154.2647303
1,57,1,5,70326.6875,155.1997492
1,58,1,5,76250.375,156.2390547
1,59,1,6,76302.95833,155.3597609
1,60,1,6,76310.75,155.3597609
1,61,1,6,76316.1875,154.286056
1,62,1,4,80024.22917,155.3836931
1,63,1,5,80636.22917,153.6555259
1,63,1,6,80652.29167,155.68841
1,63,1,1,80652.58333,153.8350305
1,64,1,6,80673.8125,154.2772179
1,64,1,5,80690.97917,153.5945167
1,65,1,4,81181.60417,157.4083656
1,65,1,3,81192.77083,157.3955022
1,66,1,3,81205.75,155.1245219
1,66,1,4,81208.95833,156.1274632
1,67,1,4,81225.91667,157.9585518
1,68,1,2,83999.9375,158.9405087
1,68,1,4,84004.58333,155.2126748
1,69,1,5,84959,156.3813222
1,69,1,6,84979.70833,154.6045415
1,70,1,3,87026.54167,155.5944406
1,70,1,4,87029.16667,156.1543364
1,71,1,5,89358.72917,152.3069116
1,71,1,6,89359.375,154.8858998
1,72,1,2,92924.77083,154.9792751
1,73,1,5,93462.72917,153.8884363
1,74,1,5,93472.875,153.7368005
1,75,1,5,96576.5,155.1830274
1,76,1,5,96594.77083,153.202258
1,76,1,6,96605.5,155.5055445
1,77,1,5,96606.85417,153.5602778
1,78,1,5,99457.9792,152.4330536
1,79,1,5,100455.5833,156.7431073
1,79,1,6,100466.4167,156.7924169
1,80,1,5,100496.625,153.318769
1,80,1,6,100503.1042,155.8649485
1,81,1,6,100515.5625,154.080098
1,82,1,4,103438.0833,154.7643088
1,83,1,4,103449.1458,155.1996212
1,84,1,5,103935.7917,151.6505352
1,85,1,5,104564.6042,154.6161461
1,86,1,5,104575.9375,154.6161461
1,86,1,6,104581.7292,155.0181243
1,87,1,6,104611.4375,156.3094701
1,87,1,5,104614.8542,153.8340219
1,88,1,4,106853.3333,155.4455605
1,89,1,5,109890.875,151.7554453
1,90,1,5,110155.2292,154.0052615
1,91,1,5,110167.1042,154.4605085
1,92,1,5,110173.375,154.4605085
1,93,1,6,114067.3333,157.4233157
1,93,1,5,114092.5,153.4840392
1,94,1,6,118045.7917,158.5322744
1,94,1,5,118051.8125,155.2682793
1,95,1,5,118071.7917,155.2682793
1,96,1,5,118462.3542,151.4585958
1,97,1,5,118476.3333,152.534362
1,97,1,6,118480.1458,152.555965
1,98,1,6,122554.125,157.9547908
1,99,1,5,125255.2917,153.5932162
1,100,1,5,125260.4167,153.1234783
1,100,1,6,125281.5208,153.8381043
1,101,1,5,125287.9375,152.2543644
1,102,1,4,129234.5,155.7889463
1,103,1,4,129250.0417,155.6153346
1,104,1,4,129278.625,156.074661
1,105,1,6,133758.1667,155.3388314
1,106,1,6,133768.6667,155.3351846
1,106,1,5,133770.2083,153.2055804
1,107,1,6,133775.5417,155.1854356
1,108,1,6,136225.8542,157.0864686
1,109,1,5,147679.1875,155.4211575
1,109,1,6,147689.1875,155.9412376
1,110,1,6,147703.5,155.3074461
1,111,1,6,147713.2708,154.5702516
1,111,1,5,147714.1875,152.2323277
1,112,1,6,147721.5,153.8271634
1,113,1,2,154970.9375,156.0482502
1,114,1,5,155053.2292,153.166796
1,114,1,6,155054.7083,154.9054972
1,115,1,5,155062.5208,153.155855
1,116,1,5,155074.4375,153.3495917
1,117,1,6,160451.75,156.8576889
1,118,1,5,160478.25,153.2630344
1,119,1,4,162591.2292,154.9205416
1,120,1,6,164134.0417,154.7116752
1,120,1,5,164141.9167,154.6027553
1,121,1,5,164150.7708,154.6027553
1,122,1,5,170102.7083,154.4125134
1,123,1,6,170128.5625,155.0538101
1,123,1,5,170136.0625,154.0846941
1,124,1,4,193625.0417,156.9963627
1,125,1,2,203330.75,155.5809378
1,126,1,4,224288.7083,156.1181768
1,127,1,5,235130.9167,155.406556
1,128,1,5,235200.6042,154.2247776
1,128,1,6,235215.3542,154.9980534
1,129,1,6,235221.625,154.9980534
1,130,1,6,235235.0625,153.9499731
1,131,1,5,240539.4792,156.2631916
1,132,1,6,240599.0208,154.7607426
1,132,1,5,240599.6042,154.3215122
1,133,1,6,240610.7708,156.4480093
1,134,1,6,240617.7708,153.4684898
1,135,1,5,277067.9792,156.2401672
1,135,1,6,277078.3542,157.1595895
1,136,1,6,277139.5,153.8715688
1,136,1,5,277140.7292,153.4626878
1,137,1,6,277150.75,154.766403
1,138,1,6,288971.2917,157.522635
1,139,1,6,289021.2083,156.1584117
1,139,1,5,289027.6667,154.8455554
1,140,1,6,289037.2917,155.7937708
1,140,1,5,289040.5208,154.3107432
1,141,1,6,289047.3958,155.2319009
1,142,1,5,296447.1875,155.8287118
1,142,1,6,296459.6667,156.8663792
1,143,1,6,296507.2708,154.8149539
1,143,1,5,296525.6875,153.0108031
1,144,1,3,299725.8958,154.9002644
1,145,1,4,323866.375,156.7066718
1,146,1,4,323876.75,156.5533512
1,146,1,3,323878.7083,156.2073905
1,147,1,2,329884.9792,155.3391756
1,148,1,3,332327.7083,156.9466812
1,148,1,5,332362.7083,157.0265088
1,149,1,4,375023.3542,156.8295754
1,150,1,1,375732.6042,150.9495144
1,151,1,5,399512.4583,152.0677974
1,152,1,5,405543.0833,153.147545
1,153,1,4,408774,156.8202281
1,154,1,4,425353.6667,156.1274416
1,155,1,4,425474.4167,155.0757268
1,156,1,4,425481.125,156.4746035
1,157,1,4,434734.4167,156.4089424
1,158,1,4,440790.4583,156.4111015
1,159,1,4,446300.0208,157.5993447
1,160,1,4,446310.9583,156.9271602
1,161,1,4,458781.375,156.6002011
1,162,1,4,461091.6042,156.8097745
1,163,1,4,461103.9583,156.2444359
1,164,1,5,462701.0625,153.4183139
1,165,1,5,469041.2917,151.8605173
1,165,1,6,469056.4583,154.0165234
1,166,1,4,477571.0625,156.9977188
1,166,1,3,477574.125,155.4258424
1,167,1,2,477936.8958,155.8373601
1,168,1,2,477946.0208,157.1065439
1,169,1,2,477952.6458,157.1065439
1,170,1,4,478668.6458,157.3150208
1,171,1,4,478991.9167,157.2058063
1,171,1,3,478998.2917,157.2910687
1,172,1,5,483539.9375,153.4020055
1,172,1,6,483552.7083,154.2032063
1,173,1,5,487308.6875,153.7162212
1,174,1,5,487323.0208,152.5476669
1,175,1,4,490098.7083,156.8932597
1,176,1,4,490110.625,156.6857319
1,177,1,5,490870.7917,153.1038738
1,178,1,5,494204.5,152.3530642
1,179,1,4,495251.4583,159.4632522
1,180,1,4,502041.6875,156.3778022
1,181,1,4,503128.0208,157.6564344
1,182,1,4,504932.1875,155.5857717
1,183,1,4,506003.7708,157.9807931
1,184,1,4,506012.2708,156.3062336
1,185,1,4,509184.4792,157.4981821
1,186,1,4,509195.3958,157.9904825
1,187,1,4,509211.1875,158.1065384
1,188,1,4,509235.0625,157.4972265
1,189,1,4,509244.9792,159.0568111
1,189,1,2,509268.8333,156.8885419
1,190,1,4,509281.1667,157.3448598
1,190,1,3,509283.6458,157.3307119
1,191,1,4,516755.6458,156.5911839
1,192,1,4,516769.4583,156.7840925
1,193,1,4,516790.9583,156.9374199
1,194,1,3,517863.4167,158.1541344
1,195,1,6,519413.8542,153.626841
1,196,1,4,519756.4792,155.8202953
1,197,1,4,522669.8958,156.7355974
1,198,1,4,523802.7292,157.349778
1,199,1,4,523816.25,156.499381
1,200,1,3,525959.5625,157.0122036
1,200,1,4,525962.9792,156.8543005
1,201,1,4,527618.5208,156.0324524
1,201,1,3,527624.8542,155.5270707
1,202,1,4,527634.7083,155.5991666
1,203,1,4,527646.2917,155.2167849
1,204,1,5,528850.1875,152.536891
1,204,1,6,528864.9583,154.7970554
1,205,1,4,530315.5417,158.2207083
1,206,1,4,531158.1667,156.1400121
1,207,1,4,531165,155.2146803
1,208,1,5,533614.9375,153.2839205
1,208,1,6,533625.375,154.5189444
1,209,1,4,534836.4375,159.1409678
1,210,1,4,534844.0208,157.6762395
1,211,1,4,535054.875,155.9264572
1,212,1,4,535982.5,156.694459
1,213,1,4,538618.1042,156.2662191
1,214,1,4,538637.6667,157.1215527
1,215,1,4,538683.7083,157.2427796
1,216,1,4,538692.9167,158.7826807
1,217,1,4,538703.2708,158.7826807
1,218,1,4,538713.3333,157.4740113
1,219,1,5,540081.4583,154.1000205
1,219,1,6,540104.25,154.0766323
1,220,1,4,541761.9792,155.0451249
1,221,1,2,542194.3333,157.6787505
1,222,1,2,542202.5208,157.6787505
1,223,1,2,542217.75,156.2318806
1,224,1,2,542231.4167,156.946059
1,225,1,4,542578.3542,157.5193114
1,226,1,4,544388.0208,157.7903294
1,227,1,4,544403.0417,157.7390321
1,228,1,4,545859.7083,155.5568634
1,229,1,3,549612,157.4576203
1,230,1,4,550048.6458,156.2055284
1,231,1,4,553476.0208,155.5919742
1,232,1,4,558256.5833,156.7789414
1,233,1,4,563771.6667,154.6101761
1,233,1,2,563788.125,156.3400638
1,234,1,2,563805.2083,154.3199322
1,235,1,4,563928.8125,156.6979877
1,236,1,4,566217,156.4843208
1,237,1,4,567019.375,155.9888226
1,238,1,4,567214.8542,156.0741601
1,239,1,4,567236.6875,158.1572902
1,240,1,4,567253.6875,157.5093083
1,241,1,4,571517.375,156.9138888
1,242,1,4,572475.4375,157.6404331
1,243,1,4,572490.4792,157.404152
1,244,1,4,576039.5417,156.8505733
1,245,1,4,576052.3333,158.6971983
1,246,1,4,579201.4375,156.4954008
1,247,1,4,581439.7917,156.6599104
1,248,1,4,582115.1667,156.9953002
1,248,1,2,582134.9583,156.1215448
1,249,1,4,582537.8542,155.3331714
1,250,1,4,583980.25,157.060668
1,251,1,4,583989.8542,156.7087355
1,252,1,4,585979.2292,156.3974942
1,253,1,5,590925.5,152.6605574
1,254,1,6,592953.3333,153.2440201
