Id,UTC,UTCMilliseconds,PCLocalTime,channelMap,startSample,startSeconds,duration,lowFreq,highFreq,amplitude,detectionType,bearingAmbiguity,bearing0,ClickNumber,SpeciesCode
4731,14-Jun-12,567,14-Jun-12,4,3777252,314.771,474,2500,800,161.4958364,,FALSE,,40,0
4936,14-Jun-12,333,14-Jun-12,8,3919948,326.6623333,465,2500,800,156.1320217,,FALSE,,65,0
4732,14-Jun-12,971,14-Jun-12,16,4010109,334.17575,539,2500,800,154.4543081,,FALSE,,41,0
4733,14-Jun-12,859,14-Jun-12,16,4188763,349.0635833,462,2500,800,157.61823,,FALSE,,42,0
4734,14-Jun-12,876,14-Jun-12,32,4368967,364.0805833,482,2500,800,158.8628222,,FALSE,,43,0
4735,14-Jun-12,801,14-Jun-12,1,4728058,394.0048333,467,2500,800,156.8829502,,FALSE,,44,0
4736,14-Jun-12,819,14-Jun-12,4,4728281,394.0234167,471,2500,800,158.996387,,FALSE,,45,0
4737,14-Jun-12,841,14-Jun-12,16,4728542,394.0451667,485,2500,800,157.6034573,,FALSE,,46,0
4738,14-Jun-12,560,14-Jun-12,16,4977169,414.7640833,462,2500,800,153.6452317,,FALSE,,47,0
4739,14-Jun-12,123,14-Jun-12,4,5031932,419.3276667,463,2500,800,160.0685896,,FALSE,,48,0
4740,14-Jun-12,156,14-Jun-12,16,5032324,419.3603333,474,2500,800,158.4542441,,FALSE,,49,0
4937,14-Jun-12,474,14-Jun-12,16,5409641,450.8034167,458,2500,800,153.4079443,,FALSE,,66,0
4938,14-Jun-12,730,14-Jun-12,8,6132706,511.0588333,476,2500,800,157.2287057,,FALSE,,67,0
4742,14-Jun-12,267,14-Jun-12,2,6209652,517.471,474,2500,800,164.2261407,,FALSE,,51,0
4741,14-Jun-12,285,14-Jun-12,1,6209866,517.4888333,468,2500,800,161.6948702,,FALSE,,50,0
4743,14-Jun-12,296,14-Jun-12,32,6210009,517.50075,469,2500,800,159.7096241,,FALSE,,52,0
4939,14-Jun-12,43,14-Jun-12,16,7240472,603.3726667,462,2500,800,153.4941618,,FALSE,,68,0
4744,14-Jun-12,251,14-Jun-12,1,7265465,605.4554167,473,2500,800,156.190411,,FALSE,,53,0
4745,14-Jun-12,291,14-Jun-12,16,7265940,605.495,473,2500,800,154.8378966,,FALSE,,54,0
4746,14-Jun-12,615,14-Jun-12,16,7317830,609.8191667,467,2500,800,155.3476159,,FALSE,,55,0
4940,14-Jun-12,12,14-Jun-12,8,7384100,615.3416667,490,2500,800,159.3063085,,FALSE,,69,0
4941,14-Jun-12,40,14-Jun-12,8,7384426,615.3688333,503,2500,800,158.3229443,,FALSE,,70,0
4942,14-Jun-12,703,14-Jun-12,4,9144386,762.0321667,466,2500,800,158.0115832,,FALSE,,71,0
4943,14-Jun-12,495,14-Jun-12,16,10305888,858.824,606,2500,800,154.9298303,,FALSE,,72,0
4944,14-Jun-12,529,14-Jun-12,16,10306302,858.8585,458,2500,800,154.9287261,,FALSE,,73,0
