"session","ID","occasion","trap","tim","ss"
1,1,1,3,1,161.4958364
1,2,1,4,11892.3333,156.1320217
1,3,1,5,19405.75,154.4543081
1,4,1,5,34293.5833,157.61823
1,5,1,6,49310.5833,158.8628222
1,6,1,1,79234.8333,156.8829502
1,6,1,3,79253.4167,158.996387
1,6,1,5,79275.1667,157.6034573
1,7,1,5,99994.0833,153.6452317
1,8,1,3,104557.6667,160.0685896
1,8,1,5,104590.3333,158.4542441
1,9,1,5,136033.4167,153.4079443
1,10,1,4,196288.8333,157.2287057
1,11,1,2,202701,164.2261407
1,11,1,1,202718.8333,161.6948702
1,11,1,6,202730.75,159.7096241
1,12,1,5,288602.6667,153.4941618
1,13,1,1,290685.4167,156.190411
1,13,1,5,290725,154.8378966
1,14,1,5,295049.1667,155.3476159
1,15,1,4,300571.6667,159.3063085
1,16,1,4,300598.8333,158.3229443
1,17,1,3,447262.1667,158.0115832
1,18,1,5,544054,154.9298303
1,19,1,5,544088.5,154.9287261
1,20,1,5,544114.6667,154.9287261
1,21,1,5,551912.0833,161.0787503
1,21,1,6,551931.8333,156.3684932
1,22,1,5,555739.6667,161.0701383
1,22,1,6,555756,155.8721752
1,23,1,5,559082.3333,161.6421664
1,23,1,6,559103.0833,156.2552856
1,24,1,5,564154.75,161.7099894
1,25,1,6,564184.5833,156.3820278
1,26,1,5,567551.0833,161.2012452
1,26,1,6,567567.5833,156.3596787
1,27,1,5,573317.1667,163.0756071
1,27,1,6,573333.8333,157.3998509
1,28,1,5,580813.9167,163.0663993
1,28,1,6,580829.3333,157.4112459
1,29,1,5,585709.1667,162.7361116
1,29,1,6,585732,155.8617189
1,30,1,5,589951.6667,162.7441769
1,30,1,6,589969.8333,156.9232037
1,31,1,5,594168.8333,163.2236677
1,31,1,6,594187.3333,156.5440314
1,32,1,5,598132.8333,163.7921245
1,32,1,6,598147,157.9257376
1,33,1,5,606293.75,162.9224751
1,33,1,6,606313,156.4048234
1,34,1,5,608880.9167,162.5944699
1,34,1,6,608896.5833,156.5770593
1,35,1,5,611828.3333,162.9598165
1,36,1,6,611873.9167,156.7055625
1,37,1,5,616093.4167,163.0141237
1,37,1,6,616115.9167,156.2894629
1,38,1,5,618508.1667,154.6015457
1,38,1,6,618520.1667,155.8948442
1,39,1,5,619261.9167,163.2059841
1,39,1,6,619276.0833,156.5915095
1,40,1,5,622298.9167,162.8687932
1,40,1,6,622315.9167,156.7784057
1,41,1,5,624923.6667,155.3686037
1,41,1,6,624936.5,155.6647113
1,42,1,5,625631.9167,162.6138297
1,42,1,6,625653.9167,157.0009175
1,43,1,5,629207.0833,154.7605984
1,43,1,6,629216.4167,156.8954075
1,44,1,5,629653.5833,163.2361486
1,44,1,6,629669.1667,157.5218889
1,45,1,5,633125,155.6777573
1,45,1,6,633136.25,157.4875424
1,46,1,5,635413.9167,164.4688462
1,46,1,6,635427.6667,157.3279764
1,47,1,5,638547.3333,164.3495329
1,47,1,6,638563.1667,158.3744064
1,48,1,5,638776.6667,154.838329
1,48,1,6,638788.3333,156.6356929
1,49,1,5,641486.8333,162.9243133
1,49,1,6,641505.3333,158.1541051
1,50,1,5,643019.5833,155.912763
1,50,1,6,643033.1667,157.1141776
1,51,1,5,645449.6667,163.2841755
1,51,1,6,645467.75,157.3985414
1,52,1,5,646610.4167,155.3253545
1,52,1,6,646623.25,156.1636805
1,53,1,5,649754.25,163.0951607
1,53,1,6,649770.75,157.7957102
1,54,1,5,650336.5,154.8347524
1,54,1,6,650349.3333,156.0000997
1,55,1,5,652898.0833,163.5666811
1,55,1,6,652913.9167,156.9614524
1,56,1,6,652937.5,156.9614524
1,57,1,5,657537.1667,163.718196
1,57,1,6,657557.5,156.254728
1,58,1,5,657931.6667,154.9193542
1,58,1,6,657942.5,156.2811936
1,59,1,5,661910.5833,155.3192393
1,59,1,6,661921.5,156.3013354
1,60,1,5,664456.25,164.0273589
1,60,1,6,664470,157.6405599
1,61,1,5,666176.4167,156.0192119
1,61,1,6,666189.75,158.2606144
1,62,1,5,667303,163.4592832
1,62,1,6,667323.4167,157.9256892
1,63,1,5,671792.3333,154.5230852
1,63,1,6,671807.5,155.649326
1,64,1,6,671853.75,155.3352937
1,65,1,5,672054.5,164.1213241
1,65,1,6,672070.1667,158.1038047
1,66,1,5,675371.25,163.7468598
1,66,1,6,675385.0833,157.855016
1,67,1,5,678085.5833,163.4239378
1,67,1,6,678098.6667,157.8303784
1,68,1,5,680983.8333,155.3491668
1,68,1,6,680998.1667,156.0794855
1,69,1,5,681720.8333,163.5237251
1,69,1,6,681736.25,158.094058
1,70,1,5,684094.4167,154.9140943
1,70,1,6,684106.8333,155.8247473
1,71,1,5,687236.917,163.2317102
1,71,1,6,687251.083,157.7486528
1,72,1,5,689702.417,155.0786895
1,72,1,6,689716,155.8498065
1,73,1,5,690772.917,162.8902088
1,73,1,6,690789.167,158.9903905
1,74,1,5,693694.167,162.8481837
1,74,1,6,693708.333,158.1235163
1,75,1,6,693748.833,156.7222895
1,76,1,5,694257.417,155.1639353
1,76,1,6,694269.083,155.5880267
1,77,1,5,694334.417,153.2711804
1,78,1,5,696940.417,163.027028
1,78,1,6,696955.083,157.3243895
1,79,1,5,698516.25,155.549231
1,79,1,6,698526.667,156.7103401
1,80,1,5,702823.833,155.4451199
1,80,1,6,702839.417,156.1852544
1,81,1,5,706741.583,154.8561354
1,81,1,6,706755.25,156.6593093
1,82,1,5,706758.25,162.7738233
1,82,1,6,706772.5,157.0757239
1,83,1,5,710625.417,155.9081255
1,83,1,6,710637,156.3385102
1,84,1,5,713449.25,162.8138008
1,84,1,6,713463.083,157.2739183
1,85,1,5,716017.083,155.7078461
1,85,1,6,716028.75,157.0406535
1,86,1,5,720440.5,155.5265749
1,86,1,6,720452.083,156.7218845
1,87,1,5,724647.583,155.4504525
1,87,1,6,724658,157.1677685
1,88,1,5,726073.667,162.6727828
1,88,1,6,726092.667,156.8659294
1,89,1,5,728731.917,155.7803307
1,89,1,6,728743.083,156.6795587
1,90,1,5,731243.75,162.3314372
1,90,1,6,731257.5,157.1309819
1,91,1,5,732674.333,155.3787259
1,91,1,6,732685.167,156.1607466
1,92,1,5,736385.583,162.381564
1,92,1,6,736402.917,157.2797491
1,93,1,5,737250.833,155.6447402
1,93,1,6,737262,156.3385643
1,94,1,5,740089.25,162.9062721
1,94,1,6,740103.417,157.1531714
1,95,1,5,743099.167,163.1024154
1,95,1,6,743111.75,157.2937019
1,96,1,5,745046.667,155.0460632
1,96,1,6,745056.25,157.0750282
1,97,1,5,746314.333,162.6518184
1,97,1,6,746328.25,157.0629513
1,98,1,5,751175.75,163.0791806
1,98,1,6,751191.083,157.5324049
1,99,1,5,754602.75,162.6541204
1,99,1,6,754620.667,156.706124
1,100,1,5,757938.167,162.5675467
1,100,1,6,757952.333,156.9505786
1,101,1,1,761107.167,156.7615212
1,102,1,5,763707.5,162.6614339
1,102,1,6,763721.667,156.6151607
1,103,1,5,767187.583,163.1388239
1,103,1,6,767201.417,157.3044568
1,104,1,5,770134.5,162.6795361
1,104,1,6,770148.333,156.9089541
1,105,1,5,773656.917,163.218509
1,105,1,6,773669.5,157.4717052
1,106,1,5,776700.833,162.6441878
1,106,1,6,776714.167,158.8617896
1,107,1,5,783139.833,162.6899139
1,107,1,6,783152,157.7832907
1,108,1,5,786607,162.7669212
1,108,1,6,786619.333,156.7863315
1,109,1,5,789529.083,162.1843474
1,109,1,6,789544.75,156.793499
1,110,1,5,793763.083,162.6649491
1,110,1,6,793776.5,156.5441514
1,111,1,6,793831.917,155.180929
1,112,1,5,798153.25,162.9438346
1,112,1,6,798167.5,156.9541974
1,113,1,5,801194.167,162.6470974
1,113,1,6,801208.833,157.1504716
1,114,1,5,803882.917,162.8364704
1,114,1,6,803894.833,158.7505705
1,115,1,5,808132.667,164.3037359
1,115,1,6,808145.75,159.0127632
