stratum,area,areapost,transect,effort,legid,r,size,pos,side,seen,sighting,sfrac,y,bss,cloud,sight,obs,dives,Etype,cuerate,plat
1,4418,3734,1001,0.056666667,102,9999,9999,9999,9999,9999,9999,0.25,9999,2,8,1,9999,9999,SD,53,0
1,4418,3734,1002,0.126111111,102,9999,9999,9999,9999,9999,9999,0.25,9999,2,0,1,9999,9999,SD,53,0
1,4418,3734,1003,0.075833333,102,9999,9999,9999,9999,9999,9999,0.25,9999,3,8,2,9999,9999,SD,53,0
1,4418,3734,1004,0.13,102,9999,9999,9999,9999,9999,9999,0.25,9999,3,9,2,9999,9999,SD,53,0
1,4418,3734,1005,0.114444444,102,9999,9999,9999,9999,9999,9999,0.25,9999,3,0,2,9999,9999,SD,53,0
1,4418,3734,1006,0.065277778,102,9999,9999,9999,9999,9999,9999,0.25,9999,3,3,2,9999,9999,SD,53,0
1,4418,3734,1007,0.048888889,102,0.339,1,F,R,1,4,0.25,0,3,9,2,D,1,SD,53,1
1,4418,3734,1007,0.048888889,102,9999,9999,R,R,0,4,0.25,9999,3,9,2,H,9999,SD,53,2
1,4418,3734,1008,0.078611111,103,9999,9999,F,L,0,17,0.5,9999,2,9,1,P,9999,SD,53,1
1,4418,3734,1008,0.078611111,103,0.238,1,R,L,1,17,0.5,200,2,9,1,K,1,SD,53,2
1,4418,3734,1008,0.078611111,103,9999,1,F,R,1,18,0.5,9999,2,9,1,D,1,SD,53,1
1,4418,3734,1008,0.078611111,103,0.123,1,R,R,1,18,0.5,48,2,9,1,H,1,SD,53,2
1,4418,3734,1008,0.078611111,103,9999,9999,F,L,0,20,0.5,9999,2,9,1,P,9999,SD,53,1
1,4418,3734,1008,0.078611111,103,0.233,1,R,L,1,20,0.5,336,2,9,1,K,1,SD,53,2
1,4418,3734,1008,0.078611111,103,9999,9999,F,R,0,21,0.5,9999,2,9,1,D,9999,SD,53,1
1,4418,3734,1008,0.078611111,103,0.495,1,R,R,1,21,0.5,344,2,9,1,H,1,SD,53,2
1,4418,3734,1009,0.393333333,103,9999,9999,F,R,0,22,0.5,9999,2,9,2,D,9999,SD,53,1
