point post bearing group.id
2 A 130 2_A
2 A 38 2_B
2 A 195 2_C
2 A 38 2_D
2 A 90 2_E
2 B 140 2_A
2 B 343 2_B
2 B 11 2_D
2 B 96 2_E
2 C 148 2_A
2 C 118 2_H
2 C 318 2_B
2 C 100 2_I
2 C 72 2_E
2 C 40 2_J
2 C 172 2_K
3 A 110 3_B
3 B 142 3_B
3 C 184 3_B
4 A 144 4_B
4 A 339 4_C
4 B 106 4_D
4 B 160 4_B
4 B 130 4_E
4 C 101 4_D
4 C 171 4_B
4 C 150 4_E
5 A 210 5_A
5 A 112 5_B
5 B 118 5_C
5 B 132 5_B
5 B 222 5_A
5 B 190 5_D
5 B 84 5_E
5 B 14 5_F
5 C 122 5_C
5 C 170 5_B
5 C 236 5_A
5 C 96 5_H
6 A 170 6_A
6 B 192 6_B
6 B 180 6_A
6 B 40 6_C
6 C 220 6_B
6 C 36 6_C
7 A 274 7_A
7 A 360 7_B
7 B 350 7_B
10 A 270 10_A
10 A 130 10_B
10 A 141 10_C
10 A 313 10_D
10 A 215 10_F
10 A 72 10_G
10 B 38 10_H
10 B 122 10_I
10 B 108 10_J
10 B 166 10_C
10 B 240 10_F
10 C 348 10_H
10 C 166 10_B
10 C 172 10_C
11 A 235 11_A
11 A 180 11_B
11 A 230 11_C
11 B 188 11_B
11 B 340 11_E
11 B 264 11_C
11 B 158 11_F
11 B 30 11_G
11 C 20 11_G
12 A 240 12_A
12 A 340 12_B
12 A 80 12_D
12 B 248 12_A
12 B 75 12_I
12 B 230 12_J
12 B 190 12_K
12 B 104 12_L
12 C 84 12_I
12 C 308 12_B
12 C 234 12_K
12 C 328 12_E
12 C 102 12_M
12 C 202 12_N
13 A 66 13_A
13 A 100 13_B
13 A 64 13_C
13 A 34 13_D
13 B 33 13_A
13 B 95 13_B
13 B 162 13_E
13 B 68 13_F
13 B 60 13_C
13 C 310 13_A
13 C 22 13_G
13 C 260 13_B
15 A 198 15_A
15 A 287 15_B
15 A 330 15_C
15 A 170 15_D
15 A 244 15_E
15 A 257 15_F
15 B 296 15_B
15 B 240 15_A
15 B 40 15_G
15 B 205 15_D
15 B 220 15_H
15 C 70 15_I
15 C 20 15_G
15 C 140 15_M
16 A 60 16_B
16 A 280 16_C
16 B 40 16_B
16 C 80 16_I
16 C 60 16_J
16 C 153 16_K
17 A 326 17_A
17 A 158 17_B
17 A 300 17_C
17 B 310 17_A
17 B 342 17_D
17 B 282 17_C
