"sighting","r","sitside","y","config","pos","side","lrfb","bss","cloud","sight","stratum","legid","date","divetime","lat","long","obsid","obs","dives","dec","head","group","mark","dup","dupe","usesp","seen","sfrac","glarer","glarel","transect","effort","lng","area","plat","lon"
-1,NA,NA,NA,"UDTH",NA,NA,NA,2,9,1,1,102,10720,NA,NA,NA,NA,"9999",NA,NA,NA,0,NA,NA,"YES","9999",0,0.5,0,0,1,480,13.2298,4418,0,NA
-1,NA,NA,NA,"UDTH",NA,NA,NA,3,9,1,1,203,10720,NA,NA,NA,NA,"9999",NA,NA,NA,0,NA,NA,"YES","9999",0,0.5,0,0,10,239,7.2372,4418,0,NA
-1,NA,NA,NA,"UDTH",NA,NA,NA,3,9,1,1,304,10720,NA,NA,NA,NA,"9999",NA,NA,NA,0,NA,NA,"YES","9999",0,0.5,0,0,14,659,17.6091,4418,0,NA
-1,NA,NA,NA,"UDTH",NA,NA,NA,2,9,1,1,403,10720,NA,NA,NA,NA,"9999",NA,NA,NA,0,NA,NA,"YES","9999",0,0.5,0,0,15,600,15.173,4418,0,NA
-1,NA,NA,NA,"UDTH",NA,NA,NA,3,9,1,1,403,10720,NA,NA,NA,NA,"9999",NA,NA,NA,0,NA,NA,"YES","9999",0,0.5,0,0,16,1141,28.7455,4418,0,NA
-1,NA,NA,NA,"UDTH",NA,NA,NA,3,9,1,1,403,10720,NA,NA,NA,NA,"9999",NA,NA,NA,0,NA,NA,"YES","9999",0,0.5,16.66667,0,17,299,7.554,4418,0,NA
659,0.728,1123,748,"UDHT","F","R","FR",2,9,1,1,405,10720,0.8047569,6412.27,2235.1,"D20","DP",1,10,60,1,0.80478009,NA,"YES","BA",1,0.5,0,0,18,1376,38.6678,4418,2,2235.1
659,NA,NA,NA,"UDHT","R","R","RR",2,9,1,1,405,10720,NA,NA,NA,NA,"ET",NA,NA,NA,NA,NA,NA,"YES","BA",0,0.5,0,0,18,1376,38.6678,4418,1,NA
660,0.753,226,1377,"UDHT","F","R","FR",2,9,1,1,405,10720,0.8054514,6412.46,2239.28,"D21","DP",1,10,10,1,0.80547454,NA,"YES","BA",1,0.5,0,0,18,1376,38.6678,4418,2,2239.28
660,NA,NA,NA,"UDHT","R","R","RR",2,9,1,1,405,10720,NA,NA,NA,NA,"ET",NA,NA,NA,NA,NA,NA,"YES","BA",0,0.5,0,0,18,1376,38.6678,4418,1,NA
662,0.251,416,211,"UDHT","F","R","FR",2,9,1,1,405,10720,0.807037,6413.24,2248.09,"D22","DP",1,28,75,1,0.80706018,662,"YES","BA",1,0.5,0,0,18,1376,38.6678,4418,2,2248.09
