"D" "g0" "sigma"
0.0515724496442 0.999999559462 1194.61426905
0.0403312677699 0.999999729378 1340.32594435
0.0142714806639 0.999999903114 2407.93844254
0.0363913138512 0.999999726771 1242.54160766
0.0670196725894 0.999999083414 881.371425644
0.0104734221296 0.997147053659 2852.20333024
0.115916620191 0.99999439322 725.554741611
0.0626683949179 0.999999653625 999.819876559
0.0179341447248 0.949158629601 1872.39712894
0.0549024276042 0.841076892692 1034.70249503
0.0499989527558 0.999999836372 1069.78271242
0.0742887884542 0.999999942359 901.314455015
0.0985302889278 0.999999786185 834.985420666
0.0465130450822 0.99999987483 1102.44217329
0.015122479935 0.949066329764 1971.77137006
0.0515643433507 0.891203800144 1244.51670435
0.120468999776 0.913533235365 737.702892557
0.011895657237 0.945055030177 2498.3977953
0.0280620304771 0.9999997935 1431.41456213
0.0626205692855 0.830925589066 993.511538379
0.0466072735961 0.999999933129 1174.77836741
0.0897397650634 0.888492259103 871.176307001
0.0658903986928 0.999999916721 1000.42746038
0.0953862333564 0.999999919812 800.241203087
0.0567502478344 0.999999895209 1136.75321382
0.00974476666027 0.740130398929 3345.06442741
0.0657167525953 0.99999979903 919.642236922
0.0247481435345 0.96532666146 1666.04960934
0.0117547904743 0.999999251629 2937.16860749
0.0107566616725 0.99999986369 2505.71429084
0.0309231801277 0.99999970756 1563.58521231
0.0234785352271 0.831511963431 1431.40480122
0.0247844356149 0.999999929747 1658.54023633
0.0438224811994 0.999999524886 1196.46744934
0.00977173841843 0.999999947389 2729.29167504
0.0129802357751 0.99999979563 2250.94314839
0.00735853100675 0.57055575791 7106.43937853
0.074923436344 0.863001292219 973.631796908
0.144820483938 0.769197796211 725.199024095
0.140937563842 0.999999808589 618.890194226
0.0345272160862 0.999999861347 1477.56291372
0.0125214577595 0.857974157478 2564.60242087
0.0088568646861 0.706076590329 3975.38497435
0.162107490764 0.96049544652 629.770139627
0.0300946928489 0.99999985394 1380.88467039
0.00829797952573 0.842376262355 3450.99706852
0.0960232160452 0.999999459912 791.747798815
0.140256504744 0.999999833704 667.797022423
0.0126291527236 0.982211894748 2393.57177611
0.0504075392538 0.999999846493 1104.82738659
0.0656282062028 0.950203281977 913.175843858
0.0639964747862 0.805629460906 1030.47897764
0.0503583186262 0.92288628055 1164.11416113
0.0107345321521 0.743570204114 3118.9277114
0.0204475242294 0.851786760404 1807.49064767
0.0994496823781 0.999999924012 830.857068613
0.106013566814 0.950506154445 836.500078756
0.0194252774977 0.880261350507 1837.42686064
0.0143163003674 0.733164745402 2156.56416916
0.0977402214719 0.865484432533 851.409187569
0.10255120253 0.999999876784 796.51299512
0.015671835496 0.99999992873 1995.38401255
0.023271732319 0.938506711745 1855.81159153
0.0479466272241 0.999999432454 1133.97943424
0.0194009680543 0.999997569479 1820.99272639
0.0684644047011 0.941834144481 945.150415059
0.0133860728058 0.881309918192 2396.02858373
0.00839434910471 0.714331826951 3584.59784254
