"D" "sigmatoa" "ssb0" "ssb1" "sigmass"
3997.32796058 0.00214648462338 170.76222366 -2.50567067545 6.72946878917
4436.2476987 0.00196777782957 170.067155152 -2.53350297708 7.16553134139
4303.69921275 0.00236518717944 169.107175014 -2.34687651742 6.90221202288
4675.62350136 0.00213500733204 170.561177032 -2.63210909659 6.99237980458
4428.9396869 0.00202065461585 170.098029071 -2.5295436067 6.90486213173
4915.60101817 0.00201675446343 169.975285551 -2.46060178096 7.04313664567
4524.71041956 0.00197488904674 170.146438845 -2.53582865761 7.19564342396
4515.03417177 0.00214291113743 170.1829458 -2.51053875321 7.24042968565
4505.23563998 0.00236760585581 170.87092655 -2.59562208258 6.66396033006
4478.60246688 0.00171128576865 169.888266766 -2.51278220915 7.20914071978
4451.58944725 0.00231262793915 169.251439154 -2.38628922481 6.66517378812
4440.103863 0.00195676393422 170.912255063 -2.62152498565 7.12611263566
4508.18537932 0.00229412978614 170.194943915 -2.50937037442 6.97311134463
4257.51768429 0.00204644234891 169.592308968 -2.46958033841 7.06269006412
4919.97517086 0.00232524112742 169.90646284 -2.50974212901 7.11861294553
4706.81914831 0.00180235348313 170.436420002 -2.59848779121 7.01704251154
4262.21831818 0.00246964461659 170.367095773 -2.55147729348 7.14577546774
4046.11482748 0.00230776188714 169.621097232 -2.31777232686 6.56048365612
4659.06514628 0.00221496838093 170.119253098 -2.58988787967 6.9069641194
5017.77528695 0.00215010884652 170.96513363 -2.60248900401 6.86764259366
4601.52338009 0.00200956707386 169.268418451 -2.53893214618 7.48659352776
4042.19724262 0.00201916454667 168.761065374 -2.31747876758 6.66100797701
4310.94115284 0.00222623118828 171.332202361 -2.62270034131 7.09267976027
4263.51646396 0.00201650139919 170.808923772 -2.51770086346 6.98386189965
4059.693299 0.00193204230392 170.240350447 -2.51920626244 6.85167448787
4870.94290367 0.00237327245634 170.162441093 -2.55537381301 6.86914158969
4768.53632565 0.00198337354318 168.317312952 -2.38482604529 6.82316901893
4101.82353283 0.00187865517032 169.590136685 -2.42268757844 7.13463365206
4262.65675632 0.00206457742569 170.088133806 -2.51156151634 7.25380359084
4579.62212361 0.00227271401143 169.253375205 -2.39003536991 7.24472682828
3980.73295286 0.00204308054919 171.183085712 -2.60166309829 6.79028282017
4788.4079313 0.00220595166023 171.241847404 -2.63392514289 6.63085371859
4217.44905734 0.00211758366397 170.067073549 -2.5847721473 7.53564781302
4050.9843352 0.00194860144687 170.33407798 -2.45779299461 6.84258450131
4784.62888413 0.002102896135 171.238170872 -2.68647062559 7.08254052025
4347.84940056 0.00215614917032 169.50216086 -2.53050287697 7.37070616887
4476.59296231 0.00216484004611 170.075088342 -2.47309731336 6.88617801059
4270.06004991 0.00194831450417 169.452879715 -2.41874233003 7.55348734106
4368.66107354 0.00209946561802 170.045818047 -2.3947723093 6.72593673145
4412.06125841 0.00191285748907 169.550270637 -2.36716304609 6.44776815772
4571.49602305 0.00204906827062 170.246638423 -2.49094492149 6.77193266262
4384.32386675 0.00207759773274 169.041632547 -2.44737706272 7.12882904741
4678.81217262 0.00216983305767 170.405943422 -2.53352030824 7.10679932658
4329.21182183 0.00183057068948 170.95893107 -2.68189177265 7.23921971309
5181.08305035 0.00220062183476 170.749506688 -2.60080058887 6.76332728523
4970.79411666 0.00199156807712 168.761097858 -2.3686498095 7.0843460027
4592.38734797 0.00186193409579 170.820277934 -2.5297231431 6.63982020754
4368.97292678 0.00179052089266 169.247525616 -2.4525157107 7.05911248939
4432.77079016 0.00208997558704 169.867453975 -2.45055511659 6.71390351996
4527.8897427 0.00197962100046 170.036647145 -2.52082677461 7.20684080496
4551.61139488 0.00191829133134 170.439497788 -2.54591649835 7.22607585861
4246.12024984 0.00204900254541 169.87647647 -2.57717926191 7.11825938244
4229.183965 0.00180611918754 169.222900141 -2.47669178192 7.14616280168
4500.54087668 0.00193450656605 169.748980591 -2.42480612491 6.91894406248
4349.74821644 0.00224482680777 170.206727993 -2.57860989 7.11974554064
4739.91460962 0.00214885260141 169.821956592 -2.56508526974 7.22948208939
4270.42665097 0.0017882918868 172.345020177 -2.72218225019 6.99947232381
4452.20456101 0.00200828431107 168.727191989 -2.34621352775 6.97433308152
4276.36741532 0.00256310062619 170.119206085 -2.61679355107 7.31862024665
4245.86763169 0.00189272914008 170.135369387 -2.47083100205 6.80832175549
4250.60512374 0.00185800917984 169.075140782 -2.41361447242 7.2539522099
4589.47776772 0.00203439500801 170.681657159 -2.52845424738 6.79486941225
4389.8661551 0.00203247236819 169.593058879 -2.34617702868 6.8645024522
4106.26099508 0.00158324430788 170.337915304 -2.47654188704 7.12195500847
4385.50451406 0.00229294193632 169.470177897 -2.42205426075 7.06733347616
4554.13886433 0.00256776109264 170.137520742 -2.57562837871 6.79323299585
4353.89045962 0.00212173304481 171.101785609 -2.65621840942 6.99788999797
4449.35501995 0.00199437026338 169.248425585 -2.49083068446 7.1275960173
4389.53939272 0.00218821035736 169.79110256 -2.47468738261 6.80991960186
4667.25699311 0.00240957528375 168.575997881 -2.41158188076 6.75081635639
4484.28546278 0.00204512243807 170.733338599 -2.59199940808 7.21144460124
4606.64696892 0.00222730994204 168.888176397 -2.3793513852 7.09713335344
4227.79487364 0.00189658277416 171.61157205 -2.66051770041 7.28228400194
4302.45141953 0.00206202705466 171.046363839 -2.58840603908 6.87138595998
4553.64032854 0.00193276111782 170.014814843 -2.45846531558 7.01984311682
4193.00131544 0.00227679169962 170.62066826 -2.58202274459 6.92041918992
4727.93259864 0.00201201128536 170.069043078 -2.51116159791 6.98482071087
4621.80153777 0.00208519239653 169.749385831 -2.50302332621 7.21993965123
4566.74666745 0.00181845182801 170.356700081 -2.49320434267 6.83464436116
4378.6598398 0.00226320490126 169.225775391 -2.36442343502 6.83681281376
3991.81869994 0.00238757694726 170.358813788 -2.45050645273 7.03855562494
4370.74072431 0.00199846325044 170.00225388 -2.43725435121 6.970422798
4661.83312526 0.00197881367958 170.43581043 -2.60936757612 6.9364746151
4643.81964449 0.00197147380088 169.146701589 -2.38219622808 6.72344958303
4404.41904319 0.00196597014779 169.016391795 -2.44459075818 6.99126626337
4281.23514958 0.00204201793252 168.721475107 -2.32474553279 6.54879409502
4639.66060667 0.0018041636296 170.562059466 -2.61495933175 7.35226492648
4745.83150141 0.00200103589254 171.157595261 -2.6371376342 6.96358076846
4489.81206386 0.00164124961954 170.466452132 -2.6167124888 6.5281002976
4716.39134689 0.00238021202192 169.885283982 -2.53205551069 7.19007297916
4160.7535672 0.00195677797854 170.729811267 -2.51594392845 7.19156333328
3697.62301382 0.00190676878731 169.076227553 -2.33824553972 6.72817342562
4421.9508707 0.00213312439379 171.568730723 -2.71398993219 6.79366266737
4585.58379653 0.00219286493963 170.894837065 -2.56282243045 6.74750277151
4160.87031245 0.00210927925681 170.465343911 -2.51561276552 6.63289845017
4622.90003176 0.00208808679236 169.207320164 -2.44384961705 7.41918944561
4742.21169771 0.00209707986532 170.165414439 -2.5097262065 7.22592317943
5088.38608872 0.00212637867314 169.2841227 -2.47993368561 7.4731704903
4431.58129845 0.00187047030087 169.881820903 -2.54258724044 7.18999933559
4176.48225893 0.00194589189206 169.931675062 -2.44167326017 6.99022940664
3833.79257164 0.0022889897866 170.49791737 -2.49958518485 6.61781694091
4527.8403694 0.00188460650974 170.65693576 -2.58044843149 7.02671102771
4607.62619777 0.00188490891784 169.976377179 -2.65491809875 7.69800316573
3912.46588955 0.00189257841621 170.168726202 -2.55688296439 7.28851760942
4732.49179834 0.00230915838673 169.834207532 -2.54520177285 6.74032839587
4660.96721826 0.00184605349896 169.655777593 -2.46209130541 6.79980982842
4273.06227097 0.00216835768785 170.801761322 -2.54629219818 7.11663604356
4478.90826083 0.00212136546107 170.133050277 -2.54033069716 7.05071466705
4591.55757083 0.00201010996737 169.081366364 -2.44412216713 7.65424908625
4553.14780845 0.00179276575252 168.846006779 -2.46117171661 7.37026349022
4197.13711913 0.00189890681512 169.653638281 -2.418602783 7.11124061734
4237.44447337 0.00208037437832 169.943606118 -2.52038797797 7.05087561028
4843.61339834 0.00186882979092 170.322982172 -2.56776798687 7.24637854826
4331.25716406 0.00182272913984 170.41220539 -2.65012253396 6.80253525522
4232.39699117 0.00183922584385 169.558980754 -2.46178865102 6.8838613258
4479.46962516 0.00198529696571 169.086025364 -2.43821609516 7.16985746101
4359.80677241 0.0025381082347 170.015241598 -2.46591318029 6.76888502953
4540.22887258 0.0021119259952 169.783209471 -2.50361849886 6.90481148782
4373.24724976 0.00186423927406 170.103662951 -2.49026279464 6.83294468102
4485.22421164 0.00200578910148 169.134242117 -2.38030346711 6.9764934527
4255.24163406 0.00211843182996 170.876610302 -2.54279411335 7.06348268118
4738.29455783 0.00199277033763 171.03555409 -2.69176004356 6.97507863254
4628.91371239 0.00206673625991 171.045727563 -2.58457756814 7.01755917913
4641.88267421 0.00194316543412 169.781452513 -2.43576858408 7.05234942028
4237.83744824 0.002084920947 169.560375567 -2.50169704732 6.80465598363
4220.07205611 0.00218429466181 169.290714951 -2.36128461863 6.60748486263
4449.86880096 0.00209390568218 169.413008226 -2.53093889829 7.39180904152
4933.9877811 0.00200733235034 170.85038142 -2.54424745846 6.90587568062
4603.33518595 0.00211362163327 169.789902883 -2.47432821656 6.98007076683
4136.6599328 0.00193951791294 169.397107072 -2.37539542204 6.70426974839
4665.21764854 0.00198676039509 169.192521665 -2.3785934129 6.61528098997
3700.03197179 0.00192816449474 169.767297839 -2.3564724535 6.76268633523
4265.88308453 0.00199043285187 169.878568496 -2.36884695644 6.49004603123
4130.4258262 0.00216666664055 169.373167299 -2.47460651814 7.17853583094
4000.87538097 0.00202298150453 168.375276664 -2.23054072152 6.94196120333
4495.9587008 0.00199042978766 170.360062162 -2.45496267066 6.48585011108
4698.20653982 0.00198210487468 171.32577804 -2.66076250846 6.81708988751
4233.5180788 0.001978602443 169.182543079 -2.3152761144 6.98169688688
4372.71855017 0.00207763281579 171.092462571 -2.70919680376 7.10764878847
4239.00398535 0.00213637541546 171.066277909 -2.54471610601 6.68224789908
4487.35095659 0.00200231581871 169.580838373 -2.41683698166 7.07178309128
4873.27119795 0.00180936448047 170.688648449 -2.64169332587 6.98219506199
