"D" "ssb0" "ssb1" "sigmass"
4209.01716778 171.353203312 -2.65118179357 6.39348944212
4238.65583512 169.918502656 -2.43715556772 7.22769858368
4136.80576515 168.859210037 -2.2519222415 6.85478431068
4578.7028335 170.182521111 -2.56450732332 7.22944627403
4482.86664484 170.70863985 -2.60649871654 6.70163227198
4912.49799887 170.287186018 -2.47555771307 6.77591567207
4612.98768006 170.060137458 -2.56936051458 7.28334763335
4398.2797411 169.849718281 -2.43740481045 7.38627151727
4571.11813685 171.186360379 -2.65998270783 6.68522044726
4356.25556792 169.694112458 -2.45315889067 7.39947820309
4599.22870124 169.567666252 -2.47382361148 6.56385516573
4449.91763944 171.039566666 -2.63585114069 7.06608357868
4423.01386355 170.256408533 -2.47324091886 6.86193992638
4134.47129091 169.731799754 -2.41645374654 6.83736486635
5116.76158464 170.447450947 -2.64069345886 7.06193699083
4593.8772947 170.372160897 -2.54827514767 7.08545309058
4264.63859199 170.790673745 -2.58823057797 7.00016080851
3925.63418473 169.58945313 -2.26562605854 6.60424988208
4641.86169709 169.651662562 -2.55016117114 7.20269878938
5117.52339826 171.094353869 -2.65768712913 6.89913748125
4598.91146968 169.290120664 -2.53583730683 7.41865989742
4131.56028365 168.866907475 -2.36403187484 6.61229916865
4193.33523477 170.649537545 -2.51992257974 7.43484609734
4182.37345854 170.27483163 -2.44536150809 7.26818167309
4039.94751959 170.225664859 -2.497629798 6.66709508472
4932.05933538 169.772341912 -2.54379510123 6.96859404183
4793.06461668 168.103649007 -2.37922035686 6.95088693686
4032.32827898 169.453497732 -2.38389254392 7.22397249258
4156.03792429 170.189975449 -2.4702617392 7.18126561491
4668.21233254 169.605161396 -2.44888268648 7.05657100684
3863.61468789 170.934941814 -2.51894114305 6.80874496144
4751.42891031 171.266718926 -2.61658662239 6.55331001197
4211.97781625 169.960566168 -2.56539880921 7.44527071077
4032.36470733 169.914754922 -2.41268240359 6.93768913567
4796.96159079 171.118332083 -2.69413494678 7.34019109681
4138.54232483 169.288727476 -2.42978352081 7.56920381377
4371.4235515 170.053689409 -2.43010691459 6.9376027482
4099.50118903 168.911142372 -2.31375774536 7.83722311767
4284.89994426 169.892362748 -2.34495556087 6.72117963721
4361.09260703 169.087995448 -2.31189116929 6.65245374951
4656.36357117 170.975728543 -2.57737931215 6.31228683478
4459.56279438 168.746163301 -2.44889770659 7.15201305367
4770.11540107 171.097135513 -2.62137854504 6.71870770457
4650.89376636 171.874095741 -2.91955799301 6.8919464879
5021.47392083 170.33863957 -2.50596651179 6.92075995709
4996.18699226 168.683129965 -2.36974832104 7.08602702486
4666.99462235 171.43631351 -2.61244667621 6.39465146683
4291.80890701 168.762684155 -2.37807858179 7.18810123485
4339.11711394 169.268243427 -2.36648020307 6.97830195902
4760.64952598 170.995256216 -2.70193477887 6.84696870877
4605.37059363 170.073799171 -2.54743883929 7.50172292427
4320.3477791 170.021508842 -2.62201377856 7.02967778306
