"D" "g0" "sigma" "kappa" "logLik"
0.164736900232 0.952344994678 1261.31582948 74.8311634385 -1352.6
0.169453865939 0.944969157397 1307.40480308 99.9648023479 -1463.46
0.161823663913 0.966047921396 1321.42017634 66.8118341421 -1453.89
0.178966467757 0.955733377021 1256.20647433 65.8442448417 -1460.17
0.149674261873 0.99999981888 1321.86060657 35.947771639 -1411.46
0.178471980528 0.903796328841 1246.7640726 52.4434971586 -1372.25
0.200903097491 0.775670496649 1315.19788923 53.2060294877 -1482.54
0.181362198037 0.941510792201 1241.34018071 75.4907736439 -1417.57
0.188415820168 0.98115232745 1206.29132145 69.6982040885 -1465.02
0.186190544649 0.706448544429 1408.78730981 30.0764915781 -1434.39
0.185143772535 0.99999941518 1206.92273339 106.430080211 -1452.81
0.164362102262 0.960509590688 1338.78616517 113.67174738 -1494.02
0.155978389649 0.999999717661 1248.92754115 53.3635974517 -1315.29
0.172283309841 0.999999747241 1200.62781899 85.3980014668 -1340.13
0.17987081713 0.85857284292 1263.20433285 140.301348543 -1339.3
0.169822851337 0.847252840385 1342.76942905 58.5056571902 -1405.95
0.179118443411 0.887191201215 1283.06086876 43.5328387483 -1420.29
0.169938795258 0.897476048898 1306.18034064 65.3416957188 -1406.66
0.174097657402 0.977961349975 1227.08361801 72.0667876396 -1372.55
0.156469264767 0.999999406498 1244.82314222 75.5258978673 -1292.23
0.179652636656 0.999999847679 1231.4843005 246.043367365 -1448.85
0.181768683438 0.99999989984 1176.76983183 212.643216024 -1342.18
0.190520061394 0.837580453229 1281.44362689 169.777935781 -1420.96
0.167187902411 0.883667587091 1332.23071679 65.2206864303 -1428.17
0.159839858571 0.965256945393 1276.77196259 57.8682428849 -1356.88
0.196249823614 0.999999896592 1177.21967306 206.939684577 -1454.22
0.195659985991 0.999999822688 1116.77471825 45.384375733 -1337.57
0.170897120344 0.999999767118 1243.20168739 66.9940470929 -1414.99
0.174908388328 0.824083976347 1275.57315387 38.1613508648 -1290.46
