"D" "g0" "sigma" "no3s"
0.154347266079 0.925995776755 1328.30430146 1
0.173237348355 0.7551439491 1441.56817328 1
0.180766857594 0.999999744408 1217.51917321 0
0.175428758742 0.999999627907 1242.24971287 1
0.15075624471 0.999999790398 1316.28543205 1
0.171190885356 0.696606406501 1452.17785992 2
0.195864414687 0.675447236361 1428.34715095 2
0.179680586521 0.999999372751 1210.58839785 1
0.176187183731 0.999997404054 1242.35300441 2
0.207269757468 0.753372323611 1285.08860024 0
0.17476430858 0.999999811015 1248.25223348 0
0.17059353985 0.891649843526 1359.16445214 0
0.146387577615 0.839036304439 1413.2756856 0
0.162749955734 0.999999781302 1241.16387916 0
0.168572096282 0.813085668193 1346.76159561 1
0.177505116161 0.904378492316 1267.2849217 0
0.187811642349 0.754745979265 1353.52823422 1
0.170651318077 0.861007080561 1330.17057213 1
0.179777312481 0.911016727262 1248.39407499 2
0.159605324512 0.744362722064 1424.73884134 2
0.185253569152 0.999999736764 1209.6275606 0
0.180114724246 0.999999651217 1183.03949731 0
0.191235408065 0.754458523 1347.00080233 1
0.155265921786 0.980143770473 1321.03096741 1
0.156754433878 0.999998973303 1268.70584813 2
0.203346949279 0.999999569815 1153.19287799 0
0.183108748719 0.999999565498 1160.4626041 0
0.172832853029 0.999999563554 1235.0496875 1
0.176930947116 0.999999494785 1148.76083599 0
0.171849398045 0.999999625015 1182.03557361 0
0.154293360866 0.999999775364 1293.12358963 1
0.15579642354 0.99999928239 1291.14709357 2
0.164151058302 0.924736446618 1314.64448998 3
0.1775854791 0.999998282956 1181.29106651 1
0.187882338576 0.767450699901 1343.83794886 1
0.168093632347 0.85420742032 1345.20128302 1
0.184637582445 0.753562028961 1407.77050162 4
0.162822575978 0.999999783235 1253.02981074 0
0.159914919085 0.999999600851 1182.01224702 0
0.148085730345 0.849196893096 1347.45133809 3
0.175189526774 0.640610930891 1559.23275865 1
0.177034529258 0.999999639446 1185.0798711 0
0.162938311732 0.947382169687 1265.55879863 0
0.185805912323 0.99999972286 1195.03710289 0
0.166864909668 0.841733724152 1288.87681988 0
0.141642081397 0.999998008822 1342.60231417 1
0.180640268299 0.999997700141 1240.19064675 2
0.188679007973 0.999999614421 1170.40311098 0
0.16467543551 0.999999539176 1163.83973505 0
0.148465632566 0.923305682089 1388.85868281 0
0.197736023666 0.999999483394 1134.46072616 0
0.151088950795 0.969003327319 1318.65529672 1
0.173924147306 0.85499884388 1330.85113394 1
0.127271059247 0.99999982912 1350.87890312 1
0.181961377077 0.999999679704 1198.53258302 0
0.164340704378 0.999999665884 1266.8541471 1
0.162747539889 0.999999774463 1299.71419272 1
0.152278361032 0.750019745088 1531.91063493 3
0.158676756734 0.999999810107 1265.00921648 0
0.164698440441 0.999999774762 1297.39492503 1
0.153139786407 0.777295011478 1518.39935655 3
0.209513503768 0.999999459309 1119.01063805 0
0.145501469206 0.719551210929 1510.66591232 3
0.154019140775 0.994677335999 1317.63476557 1
0.194398396824 0.999999653294 1177.69030153 0
0.16242631351 0.867549652838 1335.84382066 1
0.180351736878 0.999999746529 1209.56339778 0
0.197407538649 0.790790405062 1272.50861899 0
0.158859663202 0.992022080913 1321.78898894 1
0.171288233597 0.999999675018 1192.81171748 0
0.169405933725 0.955106934961 1251.3407075 2
0.172508301532 0.784971459364 1356.28450754 1
0.151770965795 0.953293922687 1369.92404757 4
0.160258772364 0.999999849666 1323.4714325 1
0.154717285095 0.78539768932 1430.26898161 4
0.169273470241 0.78645313663 1397.34096826 2
0.153935587055 0.999327415451 1266.33001774 0
0.143301804867 0.99999623544 1339.12887606 1
0.150368981156 0.999999648943 1262.92490259 1
0.174985401724 0.99999969089 1196.46162068 0
0.192346503725 0.761194671418 1281.1728325 0
0.18743739949 0.852885655603 1278.41716997 0
0.192982663738 0.687839919299 1368.68363428 1
0.164208401321 0.999999830496 1274.27559342 0
0.175386024037 0.999999583949 1240.80560197 1
0.187250508987 0.999999627413 1167.71413958 0
0.160586952069 0.999999820727 1275.42411196 0
0.172494287187 0.999999821581 1261.09715904 0
0.181430596102 0.999999493571 1214.92007471 1
0.175468292118 0.999999300164 1217.63912267 1
0.17319122525 0.68443113741 1455.27518994 2
0.171125399961 0.999999750637 1225.55474203 0
0.166652475708 0.764996432991 1419.5575584 2
0.210833644987 0.810932628003 1259.4866902 2
0.168748392482 0.963482117204 1311.37711391 1
0.140176112384 0.99999960522 1335.40043282 0
0.183914641294 0.789295361231 1346.54872559 1
0.175910810363 0.999995438782 1230.53542808 2
0.168439238668 0.960882541933 1243.05061249 2
0.168706299486 0.952614696227 1268.0670218 0
0.156235130389 0.929297423581 1374.74515442 2
0.162349367283 0.740389369342 1434.57654661 2
0.176685019393 0.664281109166 1444.84978586 0
0.155191847151 0.939400030179 1329.39261141 1
0.207431631316 0.761532770912 1280.89112859 0
0.139797821097 0.861300362033 1444.92773639 3
0.166565421456 0.999999781581 1293.84757794 1
0.172358149975 0.977121924349 1243.19513177 2
0.184167648909 0.999999161717 1196.48286401 1
0.167044695853 0.999999788427 1237.83953447 0
0.158460813915 0.849419613973 1346.3565948 3
0.154261012297 0.999999838554 1293.28245962 0
0.165464639212 0.999999355419 1271.99136792 2
0.154737934133 0.999999708594 1363.15058542 1
0.165243521089 0.820482919958 1352.30323957 1
0.152673316212 0.947874938834 1369.02246689 0
0.155137843683 0.954506377732 1364.1648578 4
0.165106628924 0.999999490618 1147.67314486 0
0.169182836629 0.999999585641 1247.19986865 1
0.156621030034 0.706500714406 1489.34986238 3
0.159565829438 0.892435816503 1328.94017735 1
0.223497515495 0.999999135017 1072.58226364 0
0.14111435076 0.999999829552 1287.31353382 0
0.15678232046 0.999999785632 1254.21035691 0
0.138932885196 0.786180405277 1542.56722818 1
0.136092356828 0.91738157534 1451.43661113 3
0.171475705302 0.993821725235 1239.63900292 2
0.171561714279 0.999999756313 1223.73510371 0
0.179405879042 0.999999768038 1226.09486639 0
0.141212352367 0.999999290081 1346.91215997 3
0.155641596278 0.999999835699 1332.46299427 1
0.14401698667 0.999999761817 1304.83804924 1
0.177933386358 0.999999348682 1211.02464835 1
0.176410043795 0.999999728412 1215.47804145 0
0.184089435917 0.792529806047 1384.10606447 0
0.175240559286 0.999994020327 1234.91026873 2
0.165768459515 0.999999486515 1229.64289212 1
0.188817045887 0.802467494223 1336.01115417 1
0.183909983908 0.999999079088 1195.87701448 1
0.167311806631 0.999999706993 1210.96740359 0
0.16605223141 0.999999717045 1216.31417696 0
0.161403295729 0.99999959945 1294.07448448 2
0.19497465642 0.999994979311 1154.43993705 1
0.184958979244 0.999999350608 1213.87040141 1
0.165083771098 0.779708488604 1480.38732071 2
0.162253506186 0.99999960622 1253.85707495 1
0.166223406151 0.999999641638 1256.74338438 1
0.183186353309 0.999999198383 1195.4500313 1
0.155649760858 0.999999766499 1252.2857388 0
0.184410027804 0.999999582058 1158.92507288 0
0.168835465608 0.999999663831 1195.98937254 0
0.163206397841 0.999999692034 1271.99984506 1
0.142811553694 0.743056221937 1485.80277028 1
0.181892337303 0.999999737573 1209.94693483 0
0.161865605364 0.999999618082 1255.61317253 1
0.183053190383 0.958046224271 1249.54153095 0
0.179139627576 0.999999794205 1243.07973117 0
0.164590429619 0.999999646635 1264.02184492 1
0.199069378204 0.999998228435 1167.5062936 1
0.16470480646 0.999998414156 1280.50877937 0
0.173395220959 0.999998900884 1268.61579338 0
0.171851402553 0.967429223403 1258.31773595 0
0.148754786267 0.999999844453 1295.26125283 0
0.145974196064 0.999998833038 1326.54674487 3
0.168936557521 0.936604819648 1263.99280473 0
0.156313238464 0.999999717132 1216.29192142 0
0.17865640356 0.617347875383 1551.04143762 2
0.153005811354 0.871567081676 1342.76818779 1
0.202288589768 0.99999960487 1156.68758511 0
0.192159920198 0.999999781436 1224.8292856 0
0.163389530239 0.870529115456 1329.06447604 1
0.208109793842 0.999997766825 1165.01637222 1
0.187664556117 0.82676651035 1280.63509382 0
0.173213605126 0.999999663676 1191.82527353 0
0.146226481479 0.999997052906 1293.24533223 0
0.138874844402 0.775072010399 1476.74837198 3
0.204493633693 0.768496875518 1285.3319647 0
