"D" "sigma" "kappa"
0.0311674130948 1436.03159533 47.1394508076
0.0529471688715 1185.35926271 91.8596369507
0.0639349240217 989.371936203 64.6075968159
0.0383529263903 1316.64840235 66.1086335226
0.0205479633308 1588.6629949 54.8036367407
0.0308657710502 1443.22172219 74.4561498753
0.0330343863375 1384.28305135 111.420413948
0.0409851597105 1272.33683527 106.749019629
0.0342490591443 1349.45470616 62.0709841081
0.0534442101685 1123.31717629 70.447547561
0.0508927233689 1114.70115003 42.481110028
0.0370782071712 1331.01263787 70.5681680231
0.0411625011854 1277.77351385 45.8237024317
0.032658203919 1303.77827268 66.0984997583
0.0521267196074 1145.2704178 88.3681414761
0.0505893493763 1133.38459869 134.555110877
0.0416269074766 1253.89341295 123.708150564
0.031125807487 1315.44733492 81.9560992001
0.0465454341736 1222.17993403 64.5735323769
0.0446546966071 1279.38989852 59.1518575013
0.039669817431 1242.22442633 94.7548448307
0.036970521089 1333.00779737 126.13023364
0.0438508285239 1162.55317789 67.593249392
0.0342303407841 1449.50023834 60.5709236175
0.0411884581997 1260.77026975 63.3060354894
0.0343954531523 1327.63180242 61.9706578723
0.037105968298 1356.60277473 75.0825862352
0.0399385080563 1280.98808955 69.827295849
0.0376231323873 1338.38617099 57.7165349889
0.0432455127264 1170.9684672 60.121447785
0.0337312955345 1321.71365625 85.694320507
0.0282322831779 1405.25386382 83.4549136234
0.0508516562192 1145.31344764 66.744709618
0.0413769296603 1282.54751388 57.7958084613
0.0527475452206 1055.93741715 94.449348723
0.0488553697497 1032.51433981 57.1811932753
0.0513705911143 1070.62599185 61.8815664716
0.0409096312382 1222.6114154 121.803206337
0.0492488327897 1194.35539878 62.6899439974
0.0300120650554 1424.0632704 50.2202576673
0.0421042034571 1287.16610813 39.8410626934
0.0353405416043 1417.28971665 59.0021627037
0.030188096467 1498.71359816 93.7654930203
0.0332094074462 1361.46630438 56.0234605339
0.044577253 1226.22766521 71.0901476177
0.0514035869426 1258.46226401 54.2069554789
0.0345865669438 1304.76756598 84.4222643176
0.0408204969826 1133.9637698 52.6377845839
0.051270476753 1162.45621449 53.4037584683
0.0333526206653 1414.76191136 104.240583031
0.0281667189572 1450.1072602 67.8795881986
0.0419173584731 1321.80832743 79.329956275
0.0337674055384 1230.40482933 74.537084967
0.0347757767027 1222.05452208 43.9552749573
0.040602082807 1303.33568088 83.7320815081
0.0247761589023 1582.52628073 63.0555192161
0.0505708364074 1126.01967306 141.103399235
0.0340964756429 1380.49590296 57.5866202087
0.0417465506608 1393.41710752 45.2081601987
0.0549950307516 1141.74296388 43.3650547764
0.0475099126707 1123.26860978 74.3673727014
0.024824703404 1535.84963123 140.001845481
0.0331675020782 1333.2389607 86.3356791965
0.028182667311 1460.2825082 98.5891841559
0.0325961257985 1315.21229083 63.5819438874
0.0397844202027 1317.07386062 70.069371323
0.06704573563 1096.46273706 85.4042372698
0.0464627447627 1184.57077894 104.447336492
0.036187108865 1274.67331701 88.413236543
0.0430045166144 1182.91570682 45.9408754173
0.0349179185566 1317.3602979 112.276438157
0.0345992401396 1467.4463179 74.7413980962
0.0412926692839 1242.33973408 84.0948811503
0.0464593918892 1192.46203669 37.0296205849
0.0550699041924 1161.43547721 98.7704122014
0.0426414625831 1153.41232893 90.9661821949
0.042939446443 1200.77186266 68.2763498391
0.0404027977741 1256.40414264 106.829632726
0.0496710728104 1246.40276916 31.4140222484
0.0531209631838 1067.43023757 91.2783984085
0.0397440580446 1214.37724005 118.294901641
0.0354743623365 1379.5059665 76.2505856563
0.0441655656491 1331.68084795 62.1705785958
0.0382650744424 1335.29121718 111.812252409
0.0402600563998 1300.77758089 103.498741937
0.0404010880306 1111.49966306 68.6583128733
0.0476409744987 1199.99578817 96.7162541535
0.0490249618679 1120.9380675 53.6933867881
0.039969016985 1228.61397499 83.8379329328
0.029675478741 1502.21603085 96.4718344782
0.0477732409188 1175.34717077 132.308696596
0.038065428587 1213.96947743 172.599784149
0.0310045822349 1370.14062705 65.9675296686
0.043384412729 1070.97829633 44.0742025607
0.0240484965275 1402.4332509 147.631218673
0.0535066158047 1108.12213741 119.430394303
0.0423618418122 1322.40826649 64.010889133
0.0568278979429 1135.94554867 63.7550664493
0.0484706608184 1151.11821383 62.3391583766
0.0397305688349 1258.69898216 64.9877355121
0.0393369392615 1273.86898481 84.2547484347
0.0486603479732 1148.78547812 71.1721867891
0.0434633107282 1258.33162239 617.898520518
0.0537332178752 1098.37341928 76.3084517028
0.0500262387071 1296.44728703 68.5159787608
0.0236201225245 1551.95892445 48.8087270471
0.0365368013622 1305.24878207 72.766338822
0.0404748512484 1202.9754732 77.5732996703
0.0355230733717 1342.62613649 53.5363805
0.0424537460741 1281.68731685 64.9935607781
0.0474314920673 1164.14271184 84.3825553319
0.0271932421025 1508.67871814 143.266304417
0.0459920823648 1166.86424987 45.2568592251
0.0549454037824 1114.3332732 64.8043111281
0.0380003861711 1270.12219586 55.1629831012
0.0341800310277 1424.07127692 84.0577474303
0.045355602607 1276.65569251 39.5561552585
0.0540571254426 1109.47470988 62.8810880571
0.0336103256338 1362.591481 91.5539197774
0.0320313331414 1367.31991964 98.642758435
0.0501471641989 1123.29412252 106.366085289
0.036679470572 1265.8113149 99.5961251807
0.0328714888642 1378.26009932 71.1826371959
0.0290734269992 1585.73645838 80.0232395116
0.0426590984759 1179.28949717 41.2167461044
0.0524513044109 1119.6715428 68.2143337102
0.0752409967664 1026.79014983 72.2611625513
0.0516195752809 1172.77017798 84.8311879294
0.067484096089 1069.00281241 115.556517935
0.0230113594846 1700.90072122 60.4370422075
0.0567762781234 1195.38376168 56.7382587055
0.03160809392 1356.61817612 54.9271766519
0.0305130642975 1391.7054776 60.5135227257
0.0384343779025 1244.70443408 60.9671644954
0.0559319035531 1191.76571231 40.3995088158
0.0431548241586 1137.47523523 60.7655831345
0.0296817681544 1234.91360081 46.3616049578
0.0412908762737 1283.92593676 93.9298236242
0.0396404020719 1197.90465672 50.9785810163
0.0265077459982 1462.74588668 81.4350310188
0.0423752144485 1306.62108794 74.9508418063
0.0314528347811 1198.42355854 88.0436624469
0.0583742443272 1016.05214148 69.7588233695
0.0345751260955 1433.32145 99.9990991966
0.0377174624866 1275.0312298 70.4515155779
0.0344294870391 1382.75804081 42.5339375348
0.0477789696696 1257.30642461 67.9183744433
0.0257038224039 1519.84295526 77.1981570134
0.0577977166127 1105.8506387 51.6248652079
0.0479784378893 1218.06863034 99.0310819883
0.0282208978408 1361.07791342 80.749339124
0.0292825041992 1442.17752899 88.9736479238
0.0334366423438 1298.06459705 42.9007747244
0.0361163765561 1294.64139365 118.596052737
0.0617759288168 1106.79764054 39.1400542953
0.051470100404 1174.535493 94.6651526385
0.0316092318986 1416.01807376 59.9284435895
0.0371205455263 1201.04449315 36.0116528361
0.039918385264 1314.79429419 74.8622033261
0.0359907048608 1342.62191485 102.627730678
0.0589985171828 1094.06720235 84.6175578383
0.0257866172859 1494.92847342 54.9880917904
0.0220538143303 1519.06570741 230.172784639
0.0343844397399 1327.85083348 81.2814688753
0.034002745064 1325.92116657 114.38229663
0.0817355627625 983.149625514 45.6675707467
0.0388479415303 1333.33471412 86.6044703036
0.0404437650037 1401.06660544 68.7054868362
0.0326006055484 1412.70113161 89.4875200924
0.0410044831423 1296.72487367 65.7024825768
0.0499755625771 1177.98593958 72.3102036176
0.065241623215 1031.67626895 90.3411168885
0.0454823123608 1123.88541463 107.868588449
0.0306218661539 1544.04345224 59.507471932
0.033899266727 1393.83555441 119.120249162
0.0512820064191 1117.86856035 79.3572979898
0.04167630685 1202.30213415 115.110142551
0.0352816387217 1319.69112865 111.205604591
0.023738572219 1594.76872593 78.6502464628
0.0374307473905 1215.08597703 127.289413639
0.0502965114002 1121.5576588 87.0069775502
0.0436094882428 1215.94678186 64.603851226
0.0233805697025 1548.1041452 63.5777758158
0.0340068029292 1382.36660387 88.1900277993
0.0395618482418 1143.02789549 66.1667991801
0.0479833228706 1149.34581212 71.6525218718
0.0594919169483 1034.51283605 82.6598987006
0.0451715775895 1177.81100904 77.4320237627
0.0466624849871 1166.1221295 68.3918830752
0.0444931258503 1296.90135629 92.0309510652
0.036369568468 1335.40234064 119.025553267
0.0339739958388 1326.4989836 61.1602080775
0.0460034010885 1259.8863817 67.7384618986
0.0350189766074 1305.95190977 61.0866185691
0.0755553231091 967.060320108 64.2584958136
0.026876706416 1463.49102623 117.016535217
0.0735466743063 1061.51681578 56.4351493853
0.0555025359006 1079.97766347 45.7504975061
0.0334636096611 1412.3488992 79.7711517909
0.0427656465796 1203.29668979 90.6381699212
0.0270226785393 1596.5676075 70.5974039301
0.0282070311552 1405.90015343 43.2481743927
0.0393750809735 1273.23191064 68.4489786792
0.0435899316642 1191.4551215 54.4712561591
0.0497037855318 1081.18055927 121.135141078
0.059369620331 1077.03932796 92.6878681933
0.0439767222637 1281.86020109 69.970427742
0.0512885733883 1094.89893109 56.913032363
0.0544392031454 1119.71355165 64.904889467
0.0531342692067 1082.45122787 79.7628366592
0.0445813941319 1249.72950601 58.1564188511
0.032206537437 1282.04437326 73.6344395888
0.062819394131 1005.43025197 49.905772425
0.0468653615915 1247.86155944 81.2834314084
0.0399495547754 1297.64230758 72.7947508097
0.044235137775 1207.01356702 47.6882274887
0.0286364210123 1437.84380515 80.5447903967
0.0423996726617 1250.23536205 60.0546211199
0.0414033751728 1240.62158633 55.2488140147
0.0280095280303 1377.64398234 68.7079296561
0.0222104445946 1564.54090606 141.778060374
0.0388686638431 1341.31434529 59.2542675122
0.0600555105645 1135.95785754 69.1138898272
0.043257114557 1187.79233064 76.5069249411
0.0479251749397 1126.2469907 61.9733145597
0.0352444573526 1233.71603787 88.6357146434
0.0402943234334 1316.65723828 56.9836546252
0.040709613458 1349.77878842 54.5721279559
0.0423525714499 1209.35930772 57.4956684653
0.0262272981111 1448.04783581 62.8747379307
0.0622226936642 1024.14576012 63.3356651984
0.0537467348405 1162.39572833 58.8159457207
0.054379728498 1076.86171834 63.1612389824
0.0521299614586 1006.27532531 67.0680531864
0.0298150115707 1355.69834317 48.430238185
0.0392578081154 1317.78999762 143.32567487
0.0373845121526 1186.91872464 90.7893457058
0.0432719915455 1261.20203126 51.8652122785
0.0369063557493 1360.37350577 66.950354432
0.0283036372117 1381.40589453 128.425826584
0.024852281344 1488.63878127 81.0970126394
0.0629411245345 1139.17281271 61.0214785055
0.0388841847609 1200.66660544 74.9766385216
0.0353843676582 1336.18994135 102.641843358
0.0536046762534 1170.9162585 71.6295846004
0.0376395359325 1267.33708822 61.7915299068
0.04813465182 1057.71673496 77.8284215911
0.0685600298755 966.814515899 115.110664795
0.0308454539688 1482.23371147 68.3991805554
0.038626457588 1311.83529086 70.6840567254
0.0510441133805 1128.12292084 45.0092695316
0.0284998247224 1483.09365742 48.7287631373
0.0314452353045 1458.20548413 128.4400996
0.0304681946339 1392.75861798 73.6362161542
0.0440461001006 1296.09793986 51.8284883473
0.0356967733151 1357.2851137 105.858986535
0.0516285070251 1242.18217839 84.0291981755
0.0327231020059 1409.98127015 151.557812909
0.0343874040354 1392.71979662 88.0473348481
0.0460369631305 1259.41186478 68.7141339338
0.050846343802 1189.17279511 98.4608849212
0.0475820438606 1215.84030035 72.7620983306
0.037474168213 1358.27655376 110.6843886
0.0444452807891 1334.68934725 70.9074087354
0.0628298968408 1071.66769814 63.9080425877
0.0356482399155 1321.91545127 83.3643674771
0.0439191849555 1016.79645639 101.853180431
0.0461134852525 1287.87089848 82.5693106016
0.0391803589572 1259.03859287 60.483139289
0.0472842487387 1134.15935725 40.1410711209
0.0290663715319 1518.29162168 94.32598962
0.0332425309502 1219.20858899 51.1834262667
0.0337788186311 1330.44125578 65.2841242222
0.0514903342186 1152.60075935 47.3887264132
0.0475711359194 1185.64113868 57.8636831264
0.0378897857534 1342.08473389 74.2078563357
0.0209317840838 1738.30911662 82.5708780583
0.0397692767606 1231.80150206 43.1290043769
0.0509574160645 1250.60967913 65.4149332071
0.0424579593705 1101.77913531 89.2610906614
0.0353569118428 1241.59823983 95.1443954381
0.0517752951623 1163.77105492 102.594011115
0.0448741432901 1206.11466701 82.441331704
0.0366812302754 1373.30329885 81.2136093193
0.0456555127037 1187.4127521 64.9302054749
0.033428793067 1449.41406442 65.0094078123
0.0434363989221 1088.77499178 88.8775363384
0.0580483605628 1149.72332371 51.6559593771
0.0569083558055 1044.34506638 69.8518344742
0.0375686481924 1268.57113209 74.7695060047
0.0491197860164 1150.87922541 46.9059962779
