"D" "sigma"
0.0494246921168 1000.35420152
0.100360969535 852.408546864
0.0128919375175 2170.73784981
0.143559414356 677.175529725
0.00907013908424 2830.23097296
0.0361059182552 1401.77086416
0.143771222705 667.775888466
0.0599785054956 949.991381517
0.126185395466 592.896625206
0.0877590555781 876.867408469
0.0185467308178 1771.45217207
0.0636849628588 1076.83132755
0.00752265472137 3545.71276743
0.0641508346444 1060.08777148
0.0689434509482 976.90647937
0.0699833191398 988.185755515
0.0732492178024 1006.69702856
0.00816653411562 3058.07569925
0.059226024085 1043.96394149
0.0793793031306 912.887356321
0.00733606508874 2945.84077821
0.00970173386072 3107.02417303
0.107260006432 802.943586132
0.0672038813487 970.420537435
0.012016931894 2534.94679393
0.0189534610229 1944.75264625
0.0123566212817 2431.06013235
0.101222774607 823.052673262
0.0566118762979 1090.13448939
0.0241847430971 1701.14347822
0.0437739566816 1269.41073731
0.0544698286475 1201.62647162
0.0624630347446 994.604826131
0.0991599968803 816.330239016
0.0361588592401 1467.71871057
0.0424902224516 1232.41310604
0.0556958423825 1048.78525263
0.0355650620065 1341.80983914
0.0724560189624 900.160678175
0.0600814065166 1103.51158336
0.0231822783192 1793.0532932
0.0199174732263 2198.40752966
0.0446265413512 1143.56091754
0.035313429958 1328.35686741
0.0442602898776 1190.32046137
0.0978824965525 843.169957104
0.0430159352582 1250.00000261
0.108994319126 775.972041528
0.0229029240018 1588.76997361
0.00893152773962 2929.83764339
0.0231647978577 1761.33573554
0.0295550917073 1252.16072995
0.0818446199702 915.683523491
0.107009456851 803.950044038
0.0118746901201 2493.78094987
0.0377118447581 1238.5461637
0.0378438114179 1368.29373393
0.0369705044356 1279.12388823
0.0447778036872 1246.89383913
0.0474114858484 1187.70886391
0.0774043829033 843.118223831
0.060930033241 986.295975661
0.0350461715204 1405.87804932
0.0511115871848 1127.34819358
0.0841380132233 885.164230621
0.017498702487 2122.67915303
0.0283965795322 1379.07894324
0.0673721245459 1039.47267585
0.0210610029416 1919.60780537
0.0383676423965 1218.31682023
0.0082162276982 2859.96594722
0.0130140564991 2354.25161036
0.0792595822308 913.616423353
0.0833910995812 918.015923935
0.0369705044356 1279.1238989
0.0297975477626 1518.41398295
0.0311545012011 1484.10129798
0.155071405716 636.321834861
0.00834440849751 3238.22759793
0.0539548683509 1081.27714091
0.104285635683 723.997848183
0.0238711883593 1446.02579679
0.0887336815136 802.061786169
0.0473442840487 1092.31377093
0.0907750430379 877.667275494
0.0614072348526 982.261032882
0.106168507319 760.816873681
0.0847715564412 881.648195306
0.116616422075 642.539908148
0.0220156726183 1609.05908438
0.057768217987 1159.10340285
0.0650257292456 994.089376121
0.0546591272244 1117.36696041
0.0715034975673 964.630819158
0.0445342263067 1226.84040099
0.054921611703 1121.63706315
0.0449540127345 1252.09038741
0.0345152406656 1371.8563325
0.0342081030169 1414.5256994
0.0119634802065 2131.70352244
0.0342331274439 1340.3571505
0.0961850765702 701.213594231
0.0995602766896 803.878266592
0.0706783298554 931.964245723
0.0101693875543 2388.43888757
0.103500896742 882.139790053
0.0846047565339 911.027811764
0.00872570349308 2854.97244934
0.0502375419043 1122.24237054
0.0498988295128 977.782829638
0.0479183526192 1101.99527972
0.0750043749331 870.69664158
0.125784643812 764.283544212
0.0410440015308 1296.0809351
0.0170352398854 1880.25365741
0.0589805149165 1094.24121758
0.050640686089 1094.38947406
0.0624025497942 1029.35713161
0.066075955818 1024.83463195
0.112810044639 741.454587382
0.0360047491821 1278.00128722
0.0332443295115 1435.44510873
0.00903280783504 3220.90634978
0.050355664083 1113.17257339
0.0916783537974 883.784642758
0.0254412158007 1582.96530582
0.0911399566927 819.983674524
0.0452316850641 1176.99900835
0.0855079118622 866.031074006
0.04943834786 1076.09681579
0.0154161960975 2058.43375142
0.0385410203751 1490.13693795
0.0310349412835 1496.42813126
0.0630331176144 1113.90146109
0.0503476871305 1120.96441496
0.0555225421195 1050.49528814
0.0704821034869 933.333069223
0.0507486719314 1161.31541918
0.00655281384709 3338.48227526
0.0446533754417 1168.38528296
0.0949441747444 947.707370232
0.0407602951391 1275.95500091
0.102420960602 764.769135153
0.0540660127779 1102.13620872
0.0143444756073 2206.39852765
0.0671007804876 944.29669214
