"D" "g0" "sigma" "kappa"
0.0310719561192 0.905645186502 1481.1975853 48.7123658159
0.053127241495 0.966747100766 1195.27927503 92.2187376101
0.0639248931567 0.988031005126 993.108649738 64.7832271024
0.0383529319414 0.999999948419 1316.64838863 66.1086329367
0.0204363803658 0.990881098235 1597.32376096 55.1623221968
0.0308657710502 0.999999924614 1443.22180569 74.4561488295
0.0330343807864 0.999999677662 1384.28323682 111.420447243
0.03985609065 0.92844232568 1319.68450287 116.384784856
0.0342490591443 0.999999760471 1349.45483139 62.0709845867
0.052274345963 0.932699008121 1160.55812836 70.2728296589
0.0502120067747 0.969256778936 1133.12987207 43.1533154052
0.0367395114331 0.945893282094 1359.47033135 72.6484654027
0.0384744736071 0.939871546826 1347.57639646 46.7787339819
0.0319022253059 0.887436722671 1367.83582034 68.1630835398
0.0521267085052 0.99999968349 1145.27060339 88.3681575415
0.0505893493763 0.999999860023 1133.38466662 134.555116364
0.0418711010308 0.849479114927 1314.04010261 122.379737434
0.0309145098409 0.956961235384 1337.31147603 83.3846510069
0.0465454397247 0.999999840045 1222.17995846 64.5735309442
0.044654691056 0.999999769362 1279.39003578 59.1518596059
0.0396698229821 0.999999784953 1242.22452237 94.7548379885
0.0363642560508 0.923808589693 1376.41859216 126.856411068
0.0438508285239 0.999999905678 1162.55322315 67.5932375972
0.0344970219057 0.844700760656 1519.18157162 62.3126725326
0.0411884581997 0.999999473035 1260.77048524 63.3060355454
0.0343954587034 0.999999707097 1327.63185599 61.9706603671
0.037105968298 0.999999856429 1356.60291184 75.0825899169
0.0399385136074 0.999999325453 1280.98825901 69.8273039858
0.0368154895458 0.866192479572 1413.3402731 59.1628913767
0.0432455127264 0.999999809556 1170.96855251 60.1214485685
0.0329309135516 0.96777472762 1351.09574287 86.6068829264
0.0282322776268 0.999999952045 1405.25388411 83.4549140582
0.0505475827861 0.958858339193 1163.47878494 68.0937220156
0.0413769241092 0.999999873312 1282.54759715 57.795810436
0.0535175015415 0.928704252084 1072.06481149 95.1530934355
0.048995457691 0.97936267271 1037.53387382 56.9304437263
0.0513705911143 0.999999970728 1070.62600294 61.8815666141
0.0407715361472 0.967884961098 1236.68033229 124.113603242
0.0464765392838 0.903274211356 1269.0903434 67.0972351447
0.0300120650554 0.999999490555 1424.06359572 50.2202626891
0.0394437260631 0.862755976151 1391.97954473 41.7275896877
0.0353404860931 0.999996559426 1417.2922989 59.0021620565
0.030188096467 0.99999989989 1498.71366489 93.7654952621
0.0332094074462 0.999999932666 1361.46635474 56.0234583127
0.0440836811499 0.897060781901 1274.47384902 72.511179649
0.0495224306007 0.937741926604 1307.68351788 55.9577451387
0.0345865669438 0.999999921729 1304.76757705 84.4222628955
0.0408204969826 0.999999917642 1133.96383955 52.6377853315
0.0507125230698 0.937515857661 1192.02147643 54.5422869224
0.0333526206653 0.999999821762 1414.76203409 104.240597154
0.0278526646191 0.880496954318 1514.93724072 67.457840306
0.0417489876003 0.869387241353 1381.73618818 84.5736430232
0.0327273930179 0.961374784948 1265.15876986 74.8622827241
0.0343011341553 0.944790201769 1251.8152349 44.4476897408
0.0404290378953 0.980344508094 1313.84146606 83.9034899898
0.0238101538486 0.918642426637 1656.00983928 64.7439890122
0.0505708364074 0.9999992786 1126.01988245 141.103388074
0.0340964756429 0.999999714022 1380.49607351 57.5866201666
0.0417465506608 0.999999949027 1393.41715476 45.2081618454
0.0549950307516 0.999999950127 1141.74297397 43.3650549272
0.0477145101208 0.970132920115 1131.02714003 75.1099602304
0.024824703404 0.999999951712 1535.84968877 140.001844726
0.0322346538351 0.922626543352 1385.69735464 88.7088097567
0.028088159576 0.989151055718 1467.42976273 98.87756644
0.0325961313496 0.999999942023 1315.21230196 63.5819389472
0.0397844091005 0.999999774955 1317.07405036 70.0693742431
0.0666523114479 0.976730138049 1107.65691337 85.7690424521
0.0464627336605 0.999999952696 1184.57079707 104.44733754
0.036187108865 0.999999871033 1274.67345045 88.413229048
0.0423234280955 0.97626119785 1201.29696683 46.1902899435
0.0349179185566 0.999999926205 1317.36032939 112.276440643
