"D" "g0" "sigma"
0.0163699998001 0.949093609152 2038.58375091
0.0106168240865 0.779016499969 3280.96049443
0.087190599185 0.999999624208 839.607415947
0.0152255874575 0.999999807825 2133.12930924
0.0378872822004 0.999999896265 1159.16215662
0.0313325032586 0.999999872232 1432.14050393
0.0154982637834 0.945906652969 2087.53125435
0.0471586658612 0.999999334857 1183.2649842
0.0468390826125 0.950524098786 1146.34718713
0.0992535498234 0.999992789748 810.582322351
0.0492423324339 0.956966028671 1149.1031868
0.0143988654333 0.893884692729 2265.71656207
0.0086750162609 0.880742354727 3395.60306169
0.0253601584177 0.999999813613 1484.85198334
0.040308717475 0.980614874314 1315.75318209
0.0338739702954 0.999999502492 1394.37067391
0.0183776660556 0.850253847274 2010.54166819
0.0386906506833 0.999996417883 1175.53304759
0.0683169465443 0.999999867707 1000.76813559
0.0856945459038 0.999999923169 910.431393739
0.00837302449597 0.757786853282 3469.05069488
0.00827936053049 0.627852834595 4421.33080444
0.0888905227203 0.999999916776 801.303292091
0.141824679778 0.949877570188 698.171131776
0.133397026758 0.999999723177 676.920886815
0.0360644292208 0.999999817413 1295.60291263
0.0093466290263 0.768362022136 3419.47556224
0.040845782312 0.999999804875 1266.22140286
0.0152822643429 0.852146952741 2257.33480981
0.118769838409 0.999999917434 685.140116455
0.0100860930718 0.999999790109 2543.08550844
0.0084213802598 0.999999816361 2772.47486103
0.0757334472912 0.99611170607 930.85397748
0.0686523671245 0.999999803832 985.495061421
0.0774411534898 0.998392581474 862.94023299
0.0355773410732 0.897239807076 1258.40766125
0.00760755347606 0.999999675493 3232.89753109
0.050376591787 0.99999970372 1097.3755721
0.0165967406485 0.875176902469 2194.43487429
0.0286339119082 0.999999836582 1458.85995838
0.108129477594 0.999999433738 784.393253756
0.010737877254 0.892756882708 2895.92733337
0.026507013251 0.986178207358 1608.63843233
0.0520496368228 0.999999892104 1078.84107586
0.0115843667992 0.807479872392 2747.61227292
0.0763845542373 0.999999884401 1024.25438007
0.01619755996 0.999999618772 1931.1115524
0.0364270835718 0.999999941158 1202.98034643
0.136366890002 0.968020967314 699.517506646
0.013802670118 0.93526838046 2305.2372779
0.0154723067691 0.935695778234 2019.0295498
0.0710502823242 0.990157152851 1007.9294607
0.00559656765375 0.675930716576 5808.76321363
0.00686916079573 0.711811545655 3757.24283494
0.0388991006073 0.999999885909 1332.43134564
0.0132874378167 0.840044130024 2333.67199636
0.00971612235112 0.814302721432 3048.85507728
0.028452307177 0.981041511633 1523.36859069
0.0884989803662 0.99999995367 942.85034855
0.0682546741348 0.999999880935 1020.06221261
0.00995146187677 0.999999848858 2616.12660267
0.00938096267333 0.999999817101 2646.49635661
0.00871979710659 0.809109545409 3092.5206272
0.0734431182536 0.999999862488 887.128019805
0.0071188610562 0.999999547346 3261.62448985
0.0342079697901 0.999999937964 1423.47368356
0.0902773744649 0.999999933769 938.12074262
0.0122113097412 0.999999588863 2410.57029407
0.0176159919985 0.999999712229 1847.41256302
0.0306385472548 0.994626589689 1411.23087691
0.0102180874872 0.947347381313 2619.05389583
0.0578242231875 0.99999994555 1125.72605915
0.084561313507 0.847982335137 900.658596647
0.010430334374 0.734904423676 3081.7989429
0.00864049387594 0.849141859018 4025.05152337
0.00921178688884 0.963356207045 2689.61870599
0.00772926167514 0.924585962425 3454.92051636
0.0668970212558 0.882924561774 973.099889476
0.0960070245526 0.971331429916 891.124685214
0.00712991887752 0.686160390829 4769.22972843
