"D" "sigma" "logLik" "AIC" "maxgrad"
5291.05474569 5.38588052156 -1101.27 2206.54 -1.05803e-07
4500.94433524 5.60469431226 -1009.3 2022.6 -2.11412e-08
5280.48187405 5.42447097804 -1101.51 2207.02 -0.000458378
4644.53708417 5.57669898823 -1043.35 2090.7 -8.16576e-06
4459.57706714 5.54470151083 -960.786 1925.572 -6.8365e-06
5661.73784462 5.1856274274 -1076.78 2157.56 -1.81798e-07
5648.25553189 5.15451297726 -1068.97 2141.94 -1.16671e-06
4865.06475037 5.36585914823 -1012.41 2028.82 -4.07084e-06
4908.69875329 5.57611652968 -1086.9 2177.8 -6.15948e-05
5141.78685729 5.30272282003 -1043.02 2090.04 -5.69695e-06
4331.93485925 5.73032535778 -1008.4 2020.8 -2.98618e-05
4995.16475808 5.33412865846 -1001.62 2007.24 -6.93222e-06
5023.86030151 5.50861826944 -1078.22 2160.44 -5.38884e-07
5167.40396702 5.3697710748 -1067.59 2139.18 -2.26806e-07
5618.94175002 5.26304688195 -1105.25 2214.5 -4.63893e-06
5407.22421652 5.27389049295 -1068.95 2141.9 -6.00852e-05
4636.10972565 5.59525021896 -1009.46 2022.92 -5.37752e-06
4992.86778521 5.53233965974 -1098.73 2201.46 -1.05108e-07
4778.04314633 5.36515151527 -965.428 1934.856 -0.00407373
4928.81027638 5.7006402069 -1159.28 2322.56 -8.40997e-07
5086.13529843 5.29982658782 -1014.19 2032.38 -3.78766e-07
4953.46598754 5.24253138031 -965.316 1934.632 -2.5103e-05
4655.13398009 5.51011043935 -998.121 2000.242 -1.80205e-05
5344.79431096 5.33766004415 -1099.32 2202.64 -0.000306427
4701.66286137 5.33248502013 -938.232 1880.464 -0.00173885
4681.30063756 5.82833926203 -1127.8 2259.6 -4.54653e-06
4415.79232721 5.37405856466 -901.399 1806.798 -6.01746e-08
5061.82188769 5.37207822756 -1028.04 2060.08 -4.84368e-06
5229.83173523 5.31428335215 -1039.55 2083.1 -0.00262026
5006.17602245 5.45724500416 -1055.47 2114.94 -0.000725746
5351.35666497 5.08188661032 -1000.98 2005.96 -0.00149315
4767.8758091 5.55537304294 -1053.28 2110.56 -1.1464e-05
4438.94434721 5.48971587212 -946.217 1896.434 -3.88856e-06
5257.00828912 5.35804687787 -1075.99 2155.98 -1.40082e-06
5124.39678694 5.37982015631 -1049.63 2103.26 -0.000460939
5462.36225182 5.48809525026 -1160.63 2325.26 -1.11818e-06
4955.33415567 5.67959771925 -1130.47 2264.94 -0.00107723
5007.50635579 5.42360387748 -1044.78 2093.56 -0.00180117
4848.65390104 5.77605885684 -1139.05 2282.1 -0.00022062
5460.17320224 5.27872154405 -1072.76 2149.52 -1.0129e-06
5429.20066047 5.37094400356 -1105.85 2215.7 -0.000313064
4183.53591143 5.79452209373 -991.136 1986.272 -0.000118244
5256.8993064 5.43105548346 -1094.88 2193.76 -6.36854e-08
4181.06710002 5.77191124699 -982.688 1969.376 -0.00378594
4691.8075487 5.48013408644 -1010.47 2024.94 -4.77512e-07
4534.72972311 5.80853948161 -1086.95 2177.9 -0.00180589
4805.40704875 5.52523493496 -1040.07 2084.14 -3.66064e-08
4845.17757 5.56041545127 -1076.79 2157.58 -1.36853e-08
4927.59185859 5.50666370234 -1058.42 2120.84 -0.0213161
4264.38554308 5.85337985176 -1030.15 2064.3 -0.000755856
4719.85520416 5.38806322887 -977.282 1958.564 -3.34637e-05
5483.53724377 5.27307215899 -1083.18 2170.36 -0.00119782
5270.77807847 5.15800279692 -1004.36 2012.72 -2.58168e-06
4827.69348725 5.37212130736 -995.162 1994.324 -0.00513765
4477.13587446 5.51756293545 -968.001 1940.002 -8.21371e-05
5490.90212272 5.51751052402 -1185.49 2374.98 -5.55043e-06
5264.83405921 5.49757440616 -1125.15 2254.3 -3.83965e-06
5142.10627846 5.43074132678 -1056.95 2117.9 -2.97941e-05
4961.56776007 5.25898809793 -973.016 1950.032 -8.11104e-05
4894.22676106 5.24151283009 -967.956 1939.912 -8.36141e-05
5031.08050158 5.64157393302 -1123.75 2251.5 -1.49431e-05
4895.72915749 5.42076863386 -1020.96 2045.92 -9.46237e-06
4640.42033815 5.36976804763 -947.777 1899.554 -8.34876e-05
4766.72606374 5.39705645116 -1017.23 2038.46 -3.44931e-05
5053.6269549 5.21364957431 -985.729 1975.458 -2.42685e-07
5144.30404917 5.54491564473 -1134.93 2273.86 -7.34072e-05
4482.53371753 5.20621880237 -887.056 1778.112 -0.000264852
4941.08886567 5.53987695241 -1065.94 2135.88 -8.74269e-05
4670.03657749 5.56706993103 -1015.01 2034.02 -0.00137442
5291.60116478 5.47822157164 -1128.11 2260.22 -1.59597e-05
5161.60572761 5.41642696441 -1084.98 2173.96 -0.000232275
5027.46824114 5.40857366112 -1052.8 2109.6 -1.00518e-06
5735.96041805 4.93911742031 -1003.59 2011.18 -2.99913e-06
4992.59345372 5.42396900713 -1050.89 2105.78 -0.00274247
5004.86818738 5.35992228639 -1020.35 2044.7 -1.11548e-05
5054.83595358 5.17948401274 -968.638 1941.276 -1.09547e-05
4748.77227994 5.53692445143 -1023.51 2051.02 -0.00106405
4873.49084298 5.48259472502 -1037.04 2078.08 -0.024054
5199.83466067 5.5452009606 -1150.69 2305.38 -0.000122323
4266.85002309 5.86318278488 -1033.24 2070.48 -1.44809e-05
5336.41500213 5.44615443603 -1109.62 2223.24 -0.0291109
5195.18998671 5.38141435968 -1066.31 2136.62 -4.65206e-05
5017.27920704 5.33966477671 -1019.41 2042.82 -0.00704146
5469.39398152 5.14963364007 -1049.24 2102.48 -0.0093514
5109.02010667 5.25051109554 -1002.31 2008.62 -6.07851e-09
5372.41807194 5.64122694989 -1202.92 2409.84 -1.98797e-05
4500.27578927 5.41327730338 -954.01 1912.02 -0.00252982
5114.21464578 5.15909749809 -979.969 1963.938 -1.92741e-06
4742.18888768 5.57620880893 -1056.34 2116.68 -6.25886e-05
5218.65403208 5.43790121946 -1088.57 2181.14 -0.000168736
5050.21585839 5.40239939287 -1032.08 2068.16 -0.00426603
5371.32533901 5.2985828841 -1054.61 2113.22 -1.068e-05
4712.59406421 5.21764905526 -919.147 1842.294 -1.66153e-06
5061.72760533 5.24091314994 -994.77 1993.54 -2.65146e-05
4446.10356851 5.82935504797 -1058.34 2120.68 -2.08094e-06
5394.96443028 5.34381178793 -1106.66 2217.32 -7.56329e-06
4383.11681948 5.5381890433 -958.081 1920.162 -0.000178021
4718.49250868 5.57290460837 -1038.44 2080.88 -0.000218731
4775.52435601 5.44728819465 -1008.55 2021.1 -4.69612e-05
5129.91561543 5.51371988144 -1121.48 2246.96 -4.00163e-07
4944.2921802 5.37245282365 -1010.69 2025.38 -0.000416956
4805.50912786 5.44625927475 -1003.1 2010.2 -2.58683e-05
5338.31604619 5.17532927618 -1005.47 2014.94 -6.64285e-07
5249.18079726 5.48835886797 -1117.97 2239.94 -0.0125121
4699.90863136 5.55394850796 -1035.31 2074.62 -0.0083088
4594.72913127 5.56027771728 -1016.25 2036.5 -5.08145e-05
5320.54677839 5.39593890301 -1089.94 2183.88 -3.82114e-08
5509.31906535 5.21520693664 -1066.82 2137.64 -2.78248e-07
4861.69358198 5.59141285512 -1085.05 2174.1 -1.82682e-07
5018.26524763 5.5236334536 -1107.9 2219.8 -0.00762789
5572.81772161 5.22363049293 -1074.17 2152.34 -3.00849e-08
4334.56445033 5.72793415711 -1002.28 2008.56 -2.95888e-05
4880.56509592 5.60928558936 -1102.71 2209.42 -3.00536e-07
4784.78747633 5.40571664485 -988.711 1981.422 -1.77193e-05
5294.65540457 5.24755109451 -1033.84 2071.68 -2.45244e-07
4730.85104512 5.66422380644 -1092.63 2189.26 -5.89536e-05
5465.64771038 5.26483916778 -1061.8 2127.6 -4.11139e-06
4415.747251 5.50974356601 -965.046 1934.092 -1.32e-05
5401.99686115 5.41008899336 -1113.2 2230.4 -4.14854e-05
4307.65145313 5.76466170557 -1000.77 2005.54 -0.000110972
4679.24134157 5.45558605984 -985.699 1975.398 -2.62219e-08
4741.78795647 5.64401456751 -1087.47 2178.94 -1.79639e-05
5320.33736028 5.1876353785 -1024.51 2053.02 -1.64675e-06
5217.81355389 5.36509903992 -1069.93 2143.86 -1.7752e-05
5231.82959578 5.29168909326 -1044.92 2093.84 -5.93385e-06
5490.07894615 5.23822054477 -1056.54 2117.08 -0.004292
5251.08079378 5.351796783 -1060.59 2125.18 -5.2175e-05
4725.27451528 5.46458990723 -1014.32 2032.64 -2.87929e-05
5571.46054643 5.14387422652 -1046.74 2097.48 -3.50318e-05
5275.78123612 5.38637789115 -1096.85 2197.7 -8.89196e-08
5357.99678484 5.35930688765 -1094.74 2193.48 -0.000930258
5075.53343199 5.38356983292 -1042.27 2088.54 -0.00267368
5287.53614762 5.2945553445 -1074.08 2152.16 -5.9651e-06
4583.12524851 5.54660671322 -1006.35 2016.7 -1.6464e-07
4950.65066168 5.43395859222 -1027.03 2058.06 -3.18271e-06
4546.79622422 5.37454794213 -922.524 1849.048 -4.81551e-05
4914.17055094 5.31705095357 -973.877 1951.754 -9.95067e-06
5560.46638792 5.34155367542 -1128.36 2260.72 -0.00614647
5364.4664147 5.11543022249 -1008.59 2021.18 -8.75591e-05
5389.38319505 5.06708996026 -986.829 1977.658 -0.00152846
4910.77161381 5.28579445842 -980.216 1964.432 -0.000473528
4334.39741686 5.77642884962 -1030.03 2064.06 -2.64354e-07
4881.28791855 5.34209948196 -982.999 1969.998 -9.26333e-05
4836.22255303 5.38819727404 -995.728 1995.456 -2.8884e-06
4832.25107831 5.23100190096 -952.428 1908.856 -0.00751107
4669.77552003 5.68128361437 -1076.47 2156.94 -0.000313886
5475.53741854 5.34918299357 -1128.13 2260.26 -0.000511594
5618.1422752 5.20393634721 -1084.23 2172.46 -0.00635596
5245.88969608 5.34500283724 -1066.85 2137.7 -0.000251771
4777.6791453 5.3654368672 -980.421 1964.842 -0.0112315
5212.31104077 5.2201610826 -1015.52 2035.04 -1.84883e-06
5257.96606816 5.34689383168 -1068.79 2141.58 -2.64532e-05
4654.55650481 5.6599930567 -1050.28 2104.56 -4.45343e-06
4843.64161095 5.38243165333 -1016.75 2037.5 -2.87365e-06
5098.38801757 5.35590977058 -1038.92 2081.84 -1.8789e-06
4533.75219087 5.83230643962 -1073.97 2151.94 -0.00357015
5170.78259388 5.2495833686 -1024.06 2052.12 -0.00823548
4406.66280149 5.78252675494 -1026.76 2057.52 -4.07385e-07
5017.69296314 5.55623553324 -1065.74 2135.48 -2.58695e-07
5354.42994743 5.24805751086 -1059.74 2123.48 -2.45702e-08
4388.69076866 5.61873133489 -979.782 1963.564 -2.75939e-07
4959.56326481 5.43814155582 -1058.72 2121.44 -8.8885e-07
5504.98337717 5.19774508727 -1055.4 2114.8 -0.000502598
4731.17478734 5.73085085733 -1095.08 2194.16 -0.00184807
4866.72572566 5.37586646123 -1001.86 2007.72 -6.2131e-06
4493.80914164 5.82162199098 -1067.03 2138.06 -0.000346951
4846.09655235 5.35785289022 -996.433 1996.866 -1.5601e-06
5297.99931645 5.30814192157 -1066.6 2137.2 -0.000406701
4845.03336909 5.46022919252 -1035 2074 -0.00204031
4977.70766697 5.48983047334 -1046.38 2096.76 -0.0131526
5101.28591951 5.4822500015 -1088.35 2180.7 -0.00443594
5230.04383466 5.56408132406 -1123.31 2250.62 -1.67919e-07
4395.91176471 5.67276041948 -1005.61 2015.22 -0.000334994
4684.10535458 5.57836836381 -1026.77 2057.54 -3.02917e-05
4643.05376899 5.72646138249 -1089.27 2182.54 -0.000376719
5696.91092974 5.31003680467 -1128.44 2260.88 -0.000631409
5450.91048898 5.4263456531 -1128.83 2261.66 -9.83529e-05
5023.16249954 5.30227488077 -993.305 1990.61 -5.11492e-05
5223.51847965 5.20155923527 -992.953 1989.906 -1.39385e-07
5140.91447201 5.2384690057 -1002.69 2009.38 -4.36878e-08
4932.96826838 5.48055018263 -1040.28 2084.56 -1.64358e-05
4344.87127644 5.70646534662 -1006.09 2016.18 -0.000925656
4394.67173999 5.69790445171 -1013.6 2031.2 -0.0148945
5091.16667125 5.38279551877 -1052.69 2109.38 -3.41843e-06
4755.9446764 5.12488949759 -892.273 1788.546 -3.12339e-05
5096.1580126 5.44346483908 -1086.17 2176.34 -1.65383e-05
4444.15074897 5.5701098035 -966.175 1936.35 -6.63806e-05
4154.76248618 5.67057887101 -944.198 1892.396 -0.00850891
4633.8071465 5.5740858179 -1009.1 2022.2 -2.08755e-06
5902.61786684 5.10286777119 -1089.59 2183.18 -5.62024e-06
4842.02901588 5.41759303632 -1023.51 2051.02 -2.09824e-05
5011.30442621 5.45335535569 -1065.94 2135.88 -0.000750194
4885.7870507 5.38368003704 -1027.61 2059.22 -1.37711e-06
5328.39332478 5.52300077281 -1149.7 2303.4 -7.56839e-07
5285.51135152 5.28548366259 -1041.96 2087.92 -0.000803088
5398.48430145 5.18678075869 -1050.9 2105.8 -0.00102337
5322.50939982 5.35328468472 -1088.23 2180.46 -5.1051e-05
4624.17835685 5.7425238817 -1088.35 2180.7 -0.00294073
5287.99468079 5.43972246618 -1113.66 2231.32 -4.51623e-08
5085.85332554 5.45114553165 -1080.03 2164.06 -2.96546e-05
4566.53097963 5.56057421391 -1001.3 2006.6 -8.40134e-05
5107.33636259 5.33855506684 -1027.37 2058.74 -0.00341513
