"D" "g0" "sigma" "logLik" "AIC"
5248.71654664 0.999999987707 5.24794156794 -1002.39 2010.78
5385.270241 0.999999986865 5.43193509914 -1121.78 2249.56
5134.88493171 0.999999987781 5.51001271715 -1104.08 2214.16
5192.42936287 0.999999989491 5.47792712507 -1112.33 2230.66
5241.89795315 0.999999988317 5.47298832473 -1119.68 2245.36
5043.77386318 0.999999990516 5.52561402085 -1097.92 2201.84
4833.60205398 0.999999990201 5.59178781952 -1068.55 2143.1
4707.1611779 0.999999987881 5.46769048022 -992.599 1991.198
5256.6090284 0.999999988211 5.24240617562 -1019.41 2044.82
4706.37129179 0.999999986446 5.44523072413 -981.078 1968.156
5043.59036362 0.999999989955 5.35295871638 -1025.6 2057.2
5004.77378342 0.999999990337 5.63020304383 -1105.54 2217.08
4881.09598728 0.999999986886 5.25141181346 -952.07 1910.14
4779.95850905 0.999999987688 5.56809396837 -1046.95 2099.9
4551.44948754 0.999999987184 5.41884094264 -951.004 1908.008
5244.52221236 0.999999989015 5.3564763532 -1056.89 2119.78
4524.65192567 0.999999988424 5.54880133862 -989.753 1985.506
5547.53307225 0.999999988244 5.26044141686 -1080.67 2167.34
5235.52435771 0.999999990814 5.45688603842 -1101.63 2209.26
4603.29978387 0.999999987636 5.64590227337 -1029.93 2065.86
5850.38032285 0.999999986396 5.25006779112 -1144.53 2295.06
5373.1756575 0.999999990918 5.37940839439 -1104.76 2215.52
5056.54544729 0.999999987841 5.46238657367 -1077.63 2161.26
4993.81273465 0.99999998993 5.37920988251 -1016.21 2038.42
5380.93148305 0.999999988675 5.28163823676 -1073.05 2152.1
5359.97033339 0.999999990559 5.63044513704 -1200.14 2406.28
5388.60071923 0.999999986266 5.2350213011 -1050.01 2106.02
4846.21942329 0.999999986812 5.52629579555 -1055 2116
4950.83059385 0.999999988542 5.7469431517 -1144.8 2295.6
5133.60001322 0.999999989545 5.50044659232 -1088.86 2183.72
4938.03228309 0.999999988881 5.44363122408 -1042.06 2090.12
5138.07251035 0.999999987778 5.47603805723 -1086.89 2179.78
5299.1998427 0.999999990074 5.39044413428 -1100.52 2207.04
4732.85120836 0.999999985117 5.6625722743 -1058.24 2122.48
5288.67469994 0.999999988731 5.47007587617 -1140.73 2287.46
5125.55361107 0.999999987286 5.45357388552 -1077.05 2160.1
4937.83531851 0.999999989298 5.43274957666 -1033.59 2073.18
5052.35931885 0.999999989847 5.46553664674 -1076.71 2159.42
5737.54946669 0.999999987479 5.21564714178 -1113.3 2232.6
4876.08303661 0.999999990167 5.51384198301 -1055.93 2117.86
4978.42673196 0.999999986991 5.40181527465 -1024.13 2054.26
4851.76345368 0.999999983488 5.34212284846 -974.034 1954.068
4654.77042664 0.999999986276 5.40533003269 -979.303 1964.606
4913.92639843 0.999999988046 5.48429327979 -1053.66 2113.32
5095.87174862 0.999999989018 5.44367791046 -1069.69 2145.38
4872.72555409 0.999999987433 5.41620568404 -1015.11 2036.22
5311.58691252 0.999999987873 5.2881842764 -1072.19 2150.38
4708.23225983 0.999999983746 5.45528620162 -995.236 1996.472
5038.87319774 0.999999989652 5.56135265308 -1096.91 2199.82
4992.24592498 0.999999986383 5.19142388148 -967.214 1940.428
5320.0400517 0.999999988771 5.42711854155 -1114.09 2234.18
5171.94766393 0.999999985295 5.20553221232 -992.361 1990.722
5317.779003 0.999999989984 5.34626069156 -1082.3 2170.6
5730.52790928 0.999999990392 5.51732413666 -1234.21 2474.42
5146.27632072 0.999999988416 5.41706648611 -1076.38 2158.76
4110.91488307 0.999999991359 5.85182413385 -994.121 1994.242
5579.20312437 0.999999990213 5.45663698232 -1180.64 2367.28
4640.62706999 0.999999986931 5.53367826616 -1012.17 2030.34
5109.25753979 0.999999990005 5.46567856549 -1068.43 2142.86
4937.26109981 0.999999988687 5.47723470332 -1050.96 2107.92
5061.12857674 0.999999988535 5.38343616759 -1038.78 2083.56
4834.56356078 0.999999988955 5.57995301592 -1067.17 2140.34
5124.61014264 0.999999985654 5.30437098011 -1032.61 2071.22
5231.5428314 0.99999998873 5.57322393784 -1142.57 2291.14
4501.63841509 0.999999987212 5.5922320102 -994.808 1995.616
4991.9601821 0.999999989523 5.41350977811 -1033.63 2073.26
5042.10819108 0.999999989949 5.51618687437 -1087.09 2180.18
4709.92568696 0.999999986956 5.53433173267 -1016.34 2038.68
4456.51983692 0.999999986903 5.45027159989 -947.548 1901.096
4575.63350741 0.999999989237 5.51760958493 -991.204 1988.408
5119.47402488 0.999999989078 5.40483138881 -1075.71 2157.42
4429.36093084 0.999999986735 5.44898557135 -943.013 1892.026
5605.28370879 0.999999989623 5.23228131084 -1093.19 2192.38
5014.33189683 0.999999988673 5.46190232277 -1066.47 2138.94
4645.30575152 0.999999984944 5.48329211367 -991.282 1988.564
4683.40918998 0.999999987597 5.31165688542 -936.244 1878.488
5211.80007125 0.999999985184 5.29530548399 -1031.48 2068.96
4684.4859302 0.999999987201 5.41642422572 -979.413 1964.826
4570.39791378 0.999999990292 5.63911355972 -1044.31 2094.62
5400.28852071 0.999999989395 5.19595395557 -1041.12 2088.24
4927.79799374 0.999999985379 5.32918286907 -990.704 1987.408
5239.79156534 0.999999987502 5.41217576623 -1095.52 2197.04
5226.9887283 0.999999988188 5.1776483832 -1006.35 2018.7
