"D" "sigma" "z" "logLik" "AIC" "maxgrad"
5511.64619809 6.75469088818 6.6778860684 -1075.68 2157.36 -0.000209995
4797.52476182 6.93249026325 6.62259869634 -983.913 1973.826 -4.02636e-06
5545.78678726 6.90108437377 7.30160009045 -1072 2150 -0.00267028
5356.7350432 6.79364145613 8.45559189594 -1018.81 2043.62 -12008
4587.23115174 6.96859862723 6.34781646879 -939.274 1884.548 -7.4372e-06
5779.56921948 6.54367658816 6.57157887521 -1053.47 2112.94 -0.00106226
5835.02140416 6.38464756447 6.37402436687 -1048.87 2103.74 -4.74117e-05
4971.86723245 6.41648276306 5.4132122806 -1000.51 2007.02 -0.00309391
5281.35348533 6.95472518208 7.12623295625 -1055.36 2116.72 -6.06226e-05
5307.48239648 6.56135710028 6.21929812709 -1019.68 2045.36 -0.00260463
4518.51389076 6.98427136233 5.8428565687 -988.651 1983.302 -0.00158122
5313.1790205 6.86837214759 8.46699383397 -969.242 1944.484 -0.00721036
5369.76670258 6.86425806449 6.99391538872 -1046.65 2099.3 -2.88344e-06
5319.86068464 6.52630409508 5.77426017115 -1050.38 2106.76 -5.82565e-06
5715.3604205 6.50945855713 5.98027727513 -1088.6 2183.2 -0.00630982
5553.16038553 6.66227030746 6.65635223128 -1042.66 2091.32 -0.000286809
4893.34637836 6.90409907732 6.369011537 -987.404 1980.808 -5.52482e-06
5190.30685359 6.71836808923 5.82028162994 -1078.33 2162.66 -1.04522e-07
4972.81544529 6.75005433999 6.76616109521 -943.261 1892.522 -0.000547067
5225.90236962 6.77070323644 5.63139742027 -1141.07 2288.14 -4.86137e-08
5189.08568036 6.55669316744 6.01350350828 -997.917 2001.834 -6.42318e-05
5121.87750711 6.66217088957 7.03749823466 -940.533 1887.066 -0.0201356
4600.61067627 6.64479518218 5.12805316902 -985.788 1977.576 -7.95062e-05
5523.67626254 6.71680799574 6.63473030722 -1074.84 2155.68 -4.57671e-06
4838.77811917 6.55883098416 6.01910762562 -922.193 1850.386 -2.41814e-05
4973.12540316 7.37927121737 7.02208551997 -1091.43 2188.86 -1.15819e-06
4538.59766819 6.72847354131 6.361333181 -880.698 1767.396 -2.57902e-06
5222.60386405 6.63833027311 6.13525064515 -1009.6 2025.2 -0.000688307
5329.93275002 6.62151041885 6.13561162952 -1020.9 2047.8 -0.000666512
5305.03434699 6.71970622465 6.50145641615 -1030.12 2066.24 -7.50068e-05
5454.70779594 6.260666404 6.05010010287 -985.254 1976.508 -3.23638e-05
4977.17516096 6.80575325412 6.04127723781 -1033.4 2072.8 -0.000244509
4553.83909614 6.76360059482 5.91437498684 -929.487 1864.974 -0.000999193
5379.09694855 6.62298406496 6.00954578869 -1056.08 2118.16 -2.01982e-06
5072.21194799 6.39180069645 4.99424193328 -1042.34 2090.68 -0.00210452
5661.25649851 7.12241415744 7.55782073201 -1124.98 2255.96 -0.00025448
5131.57037218 6.94811678312 5.8299305111 -1108.41 2222.82 -0.00769727
5328.42184347 6.8338559829 7.34778435996 -1011.08 2028.16 -2.03706e-05
5100.00292381 7.20710866537 6.44657197544 -1107.06 2220.12 -0.00125448
5426.70235024 6.57058360695 5.74053874091 -1058.28 2122.56 -4.85129e-05
5524.94596118 6.61458663487 5.84558184634 -1088.98 2183.96 -2.28622e-05
4423.03691877 7.04768204023 5.97188719452 -970.567 1947.134 -4.46117e-05
5399.7706436 6.80076976998 6.31238625151 -1070.84 2147.68 -0.000260394
4572.32630632 7.40285693907 8.63178532137 -942.151 1890.302 -0.000717734
NA NA NA NA NA NA
4985.1559609 7.21740592117 7.33966393013 -1050.82 2107.64 -1.3367e-05
4967.27139506 7.05595959584 6.89018909828 -1010.1 2026.2 -0.000496721
4929.73633688 6.72848688835 5.46911836679 -1061.67 2129.34 -3.52588e-05
5098.59370841 6.92460267404 6.503566568 -1031.19 2068.38 -0.00319272
4639.35129935 7.16659743956 6.59161616886 -1001.1 2008.2 -0.00207198
4905.86750704 6.69453799882 6.38668339146 -956.842 1919.684 -2.06395e-06
5534.8726262 6.33035086409 5.36016850287 -1072.35 2150.7 -0.00138115
5519.54818648 6.42803482148 6.85200063296 -980.624 1967.248 -3.12903e-05
4985.85960509 6.61498602249 6.07673681353 -977.676 1961.352 -8.73167e-05
4726.25640504 6.89351024655 6.75772684081 -940.09 1886.18 -0.000769834
5751.61279719 6.93364623322 6.74314738881 -1155.05 2316.1 -2.15323e-05
5441.84413034 6.72677148992 5.89334110375 -1104.64 2215.28 -0.000308715
5397.63979994 6.82288862715 6.86755198366 -1032.47 2070.94 -0.00102291
5048.99662682 6.933421969 7.92156723825 -940.218 1886.436 -5.47523e-05
4923.94071613 6.55031714281 6.02313296166 -948.524 1903.048 -0.00365898
5135.34319125 7.14866429157 6.33324219703 -1096.34 2198.68 -0.00773661
5092.90262817 6.75269199243 6.44220557436 -995.834 1997.668 -0.00828214
4937.73946363 6.86114230369 8.01484028966 -915.716 1837.432 -3.7001e-05
4961.78793185 6.67539061959 6.30025890687 -995.076 1996.152 -0.00153388
5283.64221321 6.79280504509 8.57900713429 -953.103 1912.206 -9.89326e-06
5458.46241951 6.75846826818 6.21858499547 -1110.38 2226.76 -0.000172835
NA NA NA NA NA NA
5374.07381556 6.94321055337 7.6901720043 -1031.37 2068.74 -1.28406e-06
4888.35455381 6.80206984386 6.02533877937 -994.552 1995.104 -8.49122e-06
5461.56057533 6.83882775342 6.29909810556 -1101.26 2208.52 -0.00402151
5246.17682414 6.78355891688 6.13552976254 -1065.39 2136.78 -4.87248e-05
5137.37530862 6.61299031436 5.75603175561 -1037.25 2080.5 -1.92471e-05
5843.28494988 6.29053181242 7.07529804166 -981.572 1969.144 -8.79521e-07
5125.18965639 6.57648841888 5.66698725025 -1032.49 2070.98 -0.00159033
4960.6130281 6.47897837621 5.22791542472 -1010.84 2027.68 -5.98724e-05
5230.83280564 6.58743001911 7.16471028912 -944.872 1895.744 -0.00118717
4890.00582182 7.04798270726 6.69830757324 -997.406 2000.812 -1.81033e-05
5143.36267577 6.92790595263 7.13711028502 -1007.15 2020.3 -4.22097e-07
5555.60748576 7.08353967392 7.86501892186 -1107.41 2220.82 -0.001408
4443.29437986 7.24495913864 6.01520352783 -1008.34 2022.68 -3.72665e-05
5540.19769681 6.76410420264 6.31238540152 -1085.37 2176.74 -0.000343949
5301.52778421 6.66269564472 5.98520935183 -1047.47 2100.94 -0.00107796
5323.97182694 6.78748242377 7.72689905826 -992.428 1990.856 -0.000108136
5574.03867146 6.48611732998 6.51805422995 -1028.02 2062.04 -0.00142835
5333.95797735 6.66596984013 7.27236658359 -978.667 1963.334 -0.0141091
5536.35433603 7.00294183072 6.05434326369 -1179.26 2364.52 -0.000428808
4789.73960139 6.79754976735 7.24406010161 -923.93 1853.86 -9.22975e-05
5214.17704987 6.42533083648 6.24078518801 -959.853 1925.706 -0.00348886
4922.38512763 6.71433810792 5.63280078882 -1038.74 2083.48 -0.00010487
5426.60664897 6.64870398182 6.0051674506 -1067.47 2140.94 -0.000408863
5220.69159737 6.60528575367 5.93134823961 -1014.77 2035.54 -0.000104621
5360.44262558 6.69719215475 6.08891219166 -1036.81 2079.62 -4.1149e-05
4907.63171978 6.57769603506 6.99952951402 -896.101 1798.202 -4.24897e-06
