"D" "g0" "sigma" "z" "logLik" "AIC" "maxgrad"
5548.22429924 0.975500265899 6.89805419096 7.17677980994 -1075.6 2159.2 -0.0021888
4918.05710302 0.926737836336 7.42760104106 9.10556567118 -983.199 1974.398 -4.20746e-06
5569.19273462 0.98238315075 7.00742770768 7.75383212331 -1071.99 2151.98 -0.000104113
4985.63020904 0.999999929713 6.92052890014 6.90521998933 -1015.88 2039.76 -0.000127775
4635.8533014 0.950441009197 7.31418986388 7.44021582018 -939.066 1886.132 -4.81874e-05
5813.57989338 0.959687206067 6.78734230016 7.31915742996 -1053.36 2114.72 -8.85447e-05
5837.86096182 0.998359857099 6.39280805645 6.39780567373 -1048.87 2105.74 -0.000480599
4971.86704086 0.999999832904 6.41648379488 5.41321402443 -1000.51 2009.02 -0.00159099
5281.3538139 0.99999975313 6.95472658675 7.12623813293 -1055.36 2118.72 -8.13586e-05
5307.48249803 0.999999876118 6.56135783932 6.21929975392 -1019.68 2047.36 -7.46862e-05
4690.82091157 0.912396220105 7.54985187966 7.858664381 -986.811 1981.622 -0.00127838
5313.17903892 0.999999827454 6.86837305767 8.46699884979 -969.242 1946.484 -0.00105629
5369.76675335 0.999999950838 6.86425831259 6.99391615016 -1046.65 2101.3 -8.97586e-05
5319.86055639 0.999999873744 6.52630470481 5.77426093183 -1050.38 2108.76 -0.000746095
5715.36072561 0.999999871296 6.50945924226 5.98027866952 -1088.6 2185.2 -4.72851e-05
5553.16078788 0.999999853134 6.66227101819 6.65635424107 -1042.66 2093.32 -8.77226e-06
4893.34678276 0.99999981785 6.90409995753 6.36901423996 -987.404 1982.808 -0.00281225
5279.58210093 0.942949473884 7.06405465661 6.72690635149 -1077.84 2163.68 -3.67451e-06
5062.48391969 0.935436915053 7.14080239111 8.51347447499 -942.281 1892.562 -5.76879e-05
5243.71271115 0.992444400972 6.80893070577 5.72019491744 -1141.06 2290.12 -8.7194e-05
5210.70308188 0.987448898072 6.61934634473 6.17407242134 -997.901 2003.802 -1.32912e-05
5145.18252677 0.978810123829 6.79263840833 7.54722728973 -940.444 1888.888 -0.000916018
4974.52797107 0.821607664142 7.87747778329 10.0297373097 -985.027 1978.054 -0.0028711
5634.07841484 0.928521007284 7.14636222506 8.48525408956 -1073.73 2155.46 -0.00318395
4980.83375525 0.872425755115 7.45815652518 10.0421110495 -919.952 1847.904 -0.000766739
5022.81638033 0.911807354641 8.21413238467 12.5511495454 -1090.41 2188.82 -0.0122127
4584.89802361 0.957876998364 6.99506021716 7.21032824459 -880.351 1768.702 -4.93856e-07
5343.24122458 0.841333090275 7.87466588176 13.8107268616 -1008.13 2024.26 -0.0116954
5446.58418182 0.875820066645 7.57769136358 10.8033300139 -1017.82 2043.64 -7.0141e-07
5305.0344429 0.999999928593 6.71970656543 6.50145734976 -1030.12 2068.24 -0.000140387
5518.91151242 0.923732735214 6.73621400889 7.42541897004 -984.36 1976.72 -0.00127787
5064.35621182 0.945773509827 7.13696789167 7.03869228511 -1033.22 2074.44 -0.00169277
4663.72807048 0.926689957488 7.19204536969 7.18596908738 -928.829 1865.658 -0.000596344
5379.09702443 0.999999868159 6.62298473156 6.0095471433 -1056.08 2120.16 -9.13863e-06
5341.27500748 0.874259325415 7.09971123815 6.56653048109 -1040.3 2088.6 -4.08553e-06
5661.25658022 0.999999931323 7.12241451174 7.55782209657 -1124.98 2257.96 -2.42497e-05
5290.8561958 0.923579265325 7.42709616257 7.35492219408 -1107.03 2222.06 -0.000301065
5328.42166971 0.99999997022 6.8338563077 7.34778534513 -1011.08 2030.16 -0.00372241
5141.32151796 0.970726541856 7.4212617204 7.13263352728 -1106.74 2221.48 -0.000164897
5601.23961715 0.898297397589 7.14517233161 7.4126634226 -1057.23 2122.46 -7.47335e-05
5621.08831458 0.918883419072 7.17314256127 7.44924485893 -1087.61 2183.22 -6.37931e-05
4476.40537882 0.961827891313 7.28212047116 6.57963501435 -970.413 1948.826 -0.00940512
5583.82904587 0.889600577895 7.57632114258 10.5003849184 -1067.28 2142.56 -0.000137014
4572.32633961 0.999999961271 7.40285710728 8.63178610542 -942.151 1892.302 -0.00170852
5009.74871072 0.999999879885 6.82554433967 6.98285196694 -987.946 1983.892 -1.57454e-05
4985.15615441 0.999999891074 7.21740656523 7.33966675344 -1050.82 2109.64 -0.000141898
4975.28662872 0.993332481943 7.1008306652 7.04506005953 -1010.09 2028.18 -0.000825386
5187.82365043 0.8619904466 7.64809355398 8.66597109581 -1059.04 2126.08 -0.00233866
5098.59381408 0.999999859638 6.92460350356 6.50356844436 -1031.19 2070.38 -0.00410242
4701.2048532 0.969032275558 7.35766800588 7.34928936282 -1000.81 2009.62 -4.65712e-06
4905.867511 0.999999958622 6.69453822263 6.38668360724 -956.842 1921.684 -0.00319472
5760.5263958 0.876006370037 7.06781773059 7.35440750533 -1070.16 2148.32 -2.81918e-07
5519.54822966 0.999999936134 6.42803512621 6.85200153088 -980.624 1969.248 -3.69755e-05
4985.85970816 0.999999917913 6.6149863598 6.07673755757 -977.676 1963.352 -0.000826558
4749.23115062 0.979254878701 7.03083546109 7.2376678832 -940.027 1888.054 -0.00251656
5878.57156235 0.90464019225 7.6580425545 11.0933341406 -1153.28 2314.56 -4.0886e-06
5441.85206641 0.999996145487 6.72679072344 5.89338758388 -1104.64 2217.28 -1.60859e-06
5397.63972897 0.999999946574 6.82288886637 6.8675525072 -1032.47 2072.94 -0.000439637
5080.30885498 0.946100284247 7.39496146946 11.4758742706 -939.017 1886.034 -0.00103541
4923.941926 0.99999868983 6.55032487613 6.02315026775 -948.524 1905.048 -3.87035e-05
5243.81857555 0.929115305737 7.66335837424 8.3184363088 -1095.81 2199.62 -2.22803e-07
5168.96038215 0.915367358598 7.41967383116 9.46712375013 -994.875 1997.75 -6.48777e-05
4962.09855106 0.98181913139 6.9732049484 8.69170067085 -915.529 1839.058 -0.00391161
5013.72961805 0.95922997139 6.91709894824 7.03765180761 -994.781 1997.562 -0.00565476
5283.64223767 0.999999958658 6.79280521355 8.57900777493 -953.103 1914.206 -1.76347e-05
5462.02823509 0.998022554768 6.76900349479 6.24722893127 -1110.38 2228.76 -0.00510113
4537.20661126 0.977469640802 6.29195683904 5.370172006 -878.195 1764.39 -0.00252373
5441.58651971 0.933827060646 7.48524242316 12.1975083809 -1028.09 2064.18 -1.21626e-05
4955.92953208 0.957676679693 7.0579799399 6.75717289559 -994.444 1996.888 -3.93023e-06
5529.77020997 0.93992620039 7.25732544793 7.67441671972 -1100.56 2209.12 -8.11902e-05
5297.02438966 0.968597942582 6.96364436041 6.64175147423 -1065.28 2138.56 -0.00242414
5344.67588147 0.871938415284 7.42058290835 8.67516146804 -1034.52 2077.04 -1.83078e-05
5890.51248137 0.954481444532 6.55732326489 8.2204839484 -981.084 1970.168 -0.00286457
5263.39269775 0.885775101758 7.42304685277 8.4977034778 -1031.25 2070.5 -0.0157917
5243.17683436 0.855904787238 7.35205537532 7.73824322063 -1007.86 2023.72 -0.00501599
5230.8326255 0.999999941567 6.5874304893 7.16471197478 -944.872 1897.744 -0.000174792
4890.00601659 0.999999808457 7.04798391133 6.698311047 -997.406 2002.812 -0.000352752
5143.36273638 0.999999943979 6.92790625571 7.13711122443 -1007.15 2022.3 -0.000399544
5555.60751549 0.999999979325 7.083539752 7.86501900451 -1107.41 2222.82 -0.000231252
4443.29469 0.999999787875 7.24496050666 6.01520667302 -1008.34 2024.68 -3.01315e-05
5660.86710318 0.928001594158 7.21421090079 8.01828132967 -1084.41 2176.82 -0.00292683
5489.00853737 0.863101424079 7.66460003881 11.0860385137 -1044.38 2096.76 -0.00069887
5391.32066043 0.95885557137 7.01312404626 9.11298771376 -991.902 1991.804 -0.00302272
5708.67910245 0.891176432924 7.26102871987 11.1122630326 -1023.99 2055.98 -0.000637617
5333.95849245 0.99999981907 6.6659708035 7.27236913657 -978.667 1965.334 -0.000707025
5634.44391947 0.919097073315 7.58014871508 7.83943673898 -1178.3 2364.6 -6.33087e-05
4789.73929962 0.999999948408 6.79755002418 7.24406053482 -923.93 1855.86 -0.00366298
5358.23807117 0.887393491506 7.25688812686 10.9451187478 -958.034 1924.068 -1.35627e-06
4963.45852153 0.969474475805 6.90050820636 6.02432411185 -1038.66 2085.32 -0.00233295
5465.99689783 0.975525700061 6.788009725 6.36487871326 -1067.43 2142.86 -8.46734e-05
5319.2622293 0.932784338723 7.0258004743 7.17211757134 -1013.9 2035.8 -1.72423e-05
5360.44404917 0.999998924236 6.69719805952 6.08892638393 -1036.81 2081.62 -0.00181151
4907.63172282 0.999999964514 6.57769617075 6.99952979105 -896.101 1800.202 -0.000115496
5322.00957329 0.915360208264 7.21884320907 10.1822935357 -968.975 1945.95 -6.27868e-05
4766.02832637 0.959971047682 7.32129755861 6.55855308797 -1037.8 2083.6 -0.00501227
5544.27235788 0.932893399096 7.04946896914 7.04492355055 -1087.18 2182.36 -0.000259202
4542.7036946 0.987056416322 6.66398914643 5.53202864074 -946.047 1900.094 -0.00156656
5005.91087895 0.99999993584 6.92321153674 6.66391328949 -1009.96 2027.92 -5.00234e-05
