"D" "ssb0" "ssb1" "sigmass" "logLik" "AIC" "maxgrad"
5564.10295655 5.1668479812 -0.0211560073837 5.9746451733 -2999.6 6007.2 -8.49697e-05
4938.42183061 5.17168090035 -0.0213647959345 5.62066577536 -2756.03 5520.06 -6.39193e-05
5437.15904359 5.16457132367 -0.0202322233183 5.63423869059 -2974 5956 -0.00138183
5176.84055334 5.16531078249 -0.0209733543133 5.59159638754 -2825.32 5658.64 -7.34598e-05
4677.48097907 5.15366756603 -0.0190011517304 6.33109953376 -2595.25 5198.5 -7.21923e-05
5771.67456846 5.1609418473 -0.0208559479144 6.07289804205 -2887.37 5782.74 -8.92209e-06
5792.73475233 5.15740211434 -0.0207828944965 6.39495034413 -2878.07 5764.14 -4.50216e-05
5084.81523921 5.15244308032 -0.0196703718792 6.68684251721 -2708.75 5425.5 -0.000936418
5276.67246842 5.1536878586 -0.0191434748724 6.05029322842 -2945.93 5899.86 -0.000432944
5379.71692096 5.16125527624 -0.0208639500618 6.25250566781 -2844.68 5697.36 -2.59225e-05
4870.80728623 5.15666099598 -0.0196191694686 6.1498092622 -2749.9 5507.8 -7.38906e-05
5115.15814419 5.16311174917 -0.0203721222834 5.65849171486 -2695.95 5399.9 -2.41409e-06
5434.49654782 5.16025722297 -0.0203005134322 6.02351618353 -2928.89 5865.78 -0.000305567
5461.2356708 5.15192974199 -0.0197043533687 6.53685422734 -2862.05 5732.1 -1.48374e-05
5511.56889767 5.16492637078 -0.0204156355171 6.26944319836 -2953.49 5914.98 -9.575e-05
5635.97980474 5.15106918809 -0.0194013329011 5.54117047913 -2840.84 5689.68 -0.000266065
5094.48721975 5.16526772861 -0.0206040502823 5.47732102195 -2718.02 5444.04 -2.82274e-05
5480.46861785 5.16550853851 -0.02115256644 6.21063948267 -3011.83 6031.66 -0.000913975
4943.02800803 5.1712765003 -0.0214588557199 5.83609263926 -2614.53 5237.06 -0.000868657
5589.61462554 5.15723029277 -0.0198753410953 5.9681342069 -3134.59 6277.18 -3.43116e-05
5175.51108226 5.15828031445 -0.0198860292443 5.80494154572 -2697.26 5402.52 -2.79587e-05
5041.64115262 5.16130466172 -0.0203627866062 5.36903195453 -2588.32 5184.64 -8.53722e-05
5017.24453062 5.15394171638 -0.0195743299497 6.28997938938 -2656.07 5320.14 -0.00138075
5514.6743481 5.15427388518 -0.0196708119682 6.35407468681 -2955.31 5918.62 -5.92949e-05
4853.53816956 5.16013864619 -0.0203458947576 6.19066065998 -2521.59 5051.18 -1.12169e-05
5207.55125278 5.16182629865 -0.019514322745 5.73196880923 -3086.25 6180.5 -2.14145e-05
4503.62483586 5.15953933888 -0.0196739782032 5.57962382356 -2417.93 4843.86 -0.00218127
5402.51953753 5.16261800315 -0.0208951453323 5.81545178088 -2770.95 5549.9 -2.59737e-05
5352.09268972 5.15736831677 -0.0200927232161 6.55572801134 -2806.94 5621.88 -0.000598785
5244.57548105 5.16192055495 -0.0202522280347 6.17361733113 -2853.49 5714.98 -8.16746e-06
5493.23078191 5.15436354889 -0.0209074029428 6.77860960512 -2686.74 5381.48 -0.000198345
5091.50524058 5.16203087289 -0.0201505749469 6.14975027891 -2849.58 5707.16 -8.01923e-06
4723.61749424 5.15612370353 -0.019755250329 6.38206277845 -2563.42 5134.84 -3.79554e-07
5459.4566556 5.1572946062 -0.0201032650278 6.48528427732 -2898.97 5805.94 -3.90152e-05
5233.74837524 5.16218343272 -0.0202858453171 6.39013119964 -2788.71 5585.42 -2.64387e-06
5716.12937175 5.16787126694 -0.0208460736866 6.27743600536 -3173.44 6354.88 -5.57119e-05
5314.59217902 5.15059677361 -0.018524949554 6.48484302979 -3055.74 6119.48 -2.77977e-05
5111.5905317 5.1569655652 -0.0192906125214 5.89876792018 -2841.24 5690.48 -1.28742e-05
5299.3996497 5.15999872906 -0.0193443822301 6.03826629141 -3122.61 6253.22 -0.000276676
5729.83022615 5.15827021492 -0.0205141599754 5.88307358738 -2854.41 5716.82 -0.0001078
5697.12503462 5.15502262239 -0.0199096414221 6.40858378619 -2977.55 5963.1 -0.000332753
4721.88840099 5.15184291572 -0.0187282905156 5.81071910365 -2670.39 5348.78 -4.20545e-06
5565.52434315 5.15157503351 -0.0191496246475 5.81166545857 -2937.81 5883.62 -0.000297114
4507.51022329 5.16721573472 -0.0197707247207 5.45548740264 -2689.73 5387.46 -9.55127e-08
4967.73375666 5.15515386193 -0.0193687928221 5.77774075235 -2677.33 5362.66 -6.51276e-05
5119.77836792 5.15551136984 -0.0189864401913 5.46406848697 -2940.44 5888.88 -2.3329e-05
5063.99775258 5.16641074458 -0.0205798982971 6.14767113353 -2846.99 5701.98 -2.75117e-06
5180.01500633 5.15271933929 -0.0192533599985 6.66240211696 -2901.37 5810.74 -4.97161e-05
5236.98709673 5.16362673957 -0.0202736899983 5.60156887477 -2866.06 5740.12 -0.000614718
4772.00246212 5.15746890113 -0.0191580321358 6.14700028629 -2826.72 5661.44 -4.35662e-06
5005.10340224 5.15685927426 -0.0200584448173 5.9652454625 -2627.79 5263.58 -1.35946e-05
5653.32926006 5.15269618608 -0.0197433263844 6.35838037251 -2890.71 5789.42 -0.000238346
5370.24241305 5.15073908399 -0.0197152754772 6.11064053384 -2683.26 5374.52 -4.00122e-05
5130.28861293 5.16614373738 -0.0212224250723 5.71179306278 -2671.53 5351.06 -2.51999e-05
4719.04915513 5.16207814098 -0.0202003199819 6.40192318436 -2658.24 5324.48 -1.92722e-06
5864.72387752 5.15949356204 -0.0200594815866 6.27693432882 -3223.91 6455.82 -7.99441e-06
5626.37492981 5.15697439252 -0.0199378713468 6.49798785889 -3027.03 6062.06 -0.000926937
5374.53608739 5.15635390008 -0.0195364723763 5.83905328902 -2834.62 5677.24 -0.000874759
5167.11072874 5.15928754224 -0.0206218282012 5.93435595202 -2644.24 5296.48 -2.44588e-05
4931.26054609 5.15367859152 -0.0195990275314 6.26752068923 -2607.52 5223.04 -7.13915e-06
5342.17605599 5.16104966183 -0.0194765884382 5.8419872477 -3034.18 6076.36 -6.87716e-06
5258.77731654 5.16109399708 -0.0207455863728 6.22413813293 -2779.73 5567.46 -1.61015e-05
4920.64273499 5.16261812634 -0.0206881103898 5.51026024793 -2578.02 5164.04 -0.000807101
5071.34781675 5.16414013628 -0.0209806634808 5.99768224424 -2761.25 5530.5 -3.82572e-05
5182.07727793 5.1598625204 -0.0204159855811 5.29399525541 -2642.65 5293.3 -4.67144e-06
5494.39116632 5.15375035879 -0.019109377712 5.87457852558 -3053.44 6114.88 -0.000656986
4664.12827585 5.15729140919 -0.0208726951065 6.64370963051 -2379.42 4766.84 -2.5681e-06
5323.11814752 5.15920823119 -0.0199272603987 5.8970478212 -2913.7 5835.4 -6.43315e-05
5207.1005866 5.1646175404 -0.0211824635977 6.27710364628 -2767.64 5543.28 -3.72397e-05
5740.15154307 5.16212778795 -0.0208823895081 6.48302577556 -3075 6158 -9.53587e-05
5524.89772108 5.15849792175 -0.0203486634446 6.1229840588 -2908.46 5824.92 -0.00265614
5261.9963998 5.16214308001 -0.0206414638212 6.60489145103 -2846.44 5700.88 -0.00038605
5801.56913158 5.1567045022 -0.0211081594631 5.33493693559 -2663.94 5335.88 -0.000306322
5124.97077356 5.15363576726 -0.0192726467405 6.63127000025 -2855.37 5718.74 -1.73857e-05
5205.43118395 5.14815447645 -0.0192287450468 6.97038050903 -2723.27 5454.54 -7.22353e-05
5170.06561755 5.16500531706 -0.0213878899943 5.89945478488 -2620.89 5249.78 -1.16363e-05
4943.88577603 5.15192777758 -0.0182559660384 5.08216980034 -2709.58 5427.16 -1.54059e-05
5168.48880988 5.15602688745 -0.0195517098143 5.94666872143 -2802.67 5613.34 -7.37077e-05
5448.94979086 5.16526715229 -0.0201067188623 5.70071057679 -3150.3 6308.6 -0.0001077
4787.72036226 5.15961035078 -0.0192989838807 5.85138574437 -2808.86 5625.72 -5.79585e-06
5683.83832712 5.17003026084 -0.0213714108724 5.63131582789 -3003.65 6015.3 -2.92394e-06
5398.57790416 5.15281827541 -0.0193416260339 6.14369679866 -2854.21 5716.42 -0.000387028
5083.94527075 5.16622901582 -0.0205665748597 5.71337468728 -2752.09 5512.18 -4.35953e-05
5560.50660398 5.1600159037 -0.0207990205347 5.90034704919 -2810.58 5629.16 -8.1751e-05
5276.12299623 5.16841684434 -0.0214923914675 5.45643444556 -2696.11 5400.22 -0.000418589
5793.34273316 5.15461477935 -0.019096672141 6.18651631593 -3253.81 6515.62 -3.80494e-06
4645.92963551 5.16328474224 -0.020298925335 5.99581032881 -2612.17 5232.34 -2.74631e-05
5238.95470549 5.16154038705 -0.0211802093526 6.18239541906 -2657.31 5322.62 -1.25074e-05
5032.74494989 5.1633482898 -0.0201249810119 6.16839038238 -2864.06 5736.12 -1.88656e-06
5372.42634328 5.15776540873 -0.0195079757398 6.03242358372 -2934.14 5876.28 -0.000386032
5337.69397797 5.15929872816 -0.0201279626685 5.65440670979 -2748.2 5504.4 -6.36385e-05
5432.48122237 5.16208354037 -0.0204089952382 6.23177522513 -2822.69 5653.38 -2.54485e-05
4884.5139127 5.16433761902 -0.0213829338257 5.97994139428 -2462.29 4932.58 -8.57729e-05
5267.80465323 5.15879580029 -0.0205298459952 5.6524050556 -2657.44 5322.88 -3.67794e-05
5049.27538368 5.15842702264 -0.0194746040043 5.83557135762 -2864.25 5736.5 -6.2582e-05
5413.99627675 5.15705294723 -0.0197794319956 6.94160944447 -3004.09 6016.18 -3.70587e-05
4793.77646049 5.15906995068 -0.0201624057971 5.89495347381 -2562.3 5132.6 -1.03152e-05
5134.23923976 5.15684391012 -0.0196522840581 5.86219423847 -2818.62 5645.24 -1.33428e-05
4877.60866883 5.16419310983 -0.020036600944 5.86094421443 -2703.98 5415.96 -1.3808e-05
5513.10419305 5.16343137617 -0.0204508776818 5.73398826509 -3053.26 6114.52 -0.00197002
5241.38935397 5.16113851233 -0.0207550145939 6.25043327896 -2709.96 5427.92 -3.25297e-05
5062.86235788 5.15944812402 -0.0200809621307 6.13608115304 -2731 5470 -0.000236507
5336.57760161 5.15697823576 -0.0201342210336 6.19408973131 -2690.43 5388.86 -0.00079446
5683.84338626 5.16756171094 -0.0213233750034 6.09100287531 -3026.63 6061.26 -0.000193379
5016.84514764 5.17235110061 -0.0211624917975 5.5227577648 -2829.59 5667.18 -0.000901902
4977.95611582 5.16004821776 -0.0200353156744 5.90121850735 -2747.07 5502.14 -0.000123244
5482.93619912 5.16141276021 -0.0200660844347 5.84462922034 -2928.96 5865.92 -2.88064e-06
5577.89666553 5.15487428173 -0.0201365859165 6.76722872657 -2888.97 5785.94 -0.0001889
5426.42795621 5.16362176203 -0.0208870795437 6.0538086357 -2972.88 5953.76 -0.00047624
5386.0293304 5.15873434313 -0.0199575297135 6.11015672581 -3004.74 6017.48 -3.84388e-05
5669.92446571 5.15632827138 -0.0200435444733 5.97669585418 -2872.67 5753.34 -0.00121912
4928.73244822 5.16168654624 -0.0201813963279 5.50736625839 -2722.91 5453.82 -0.000594119
5273.54154165 5.16163956445 -0.0200107445879 5.99338226411 -3003.5 6015 -9.70869e-06
4984.74852097 5.15389454126 -0.0195557534527 6.51101028887 -2632.44 5272.88 -4.46446e-07
5358.78204988 5.15763872947 -0.0199132112458 5.70403269153 -2763.96 5535.92 -0.00205292
