"D" "shape1" "shape2" "scale" "logLik" "AIC"
4733.25672135 1.99055869226 4.05484667878 -0.442876480232 -970.586 1949.172
4996.78150473 2.03267241434 2.43692385823 -0.232916521059 -1102.75 2213.5
5422.60043172 5.25737546748 2.13121848633 -0.0642146809069 -1085.09 2178.18
NA NA NA NA NA NA
5532.67585852 4.20102092392 2.04063516831 -0.083340198022 -1099.76 2207.52
5476.66239672 5.33624423122 2.2640772243 -0.0796492497234 -1065.44 2138.88
5062.32829466 2.51759756559 2.33827948451 -0.187605183048 -1037.87 2083.74
4132.52176152 1.878474614 4.16390276149 -0.453072397036 -963.322 1934.644
5575.61805279 8.18077304298 2.51482739429 -0.0575742936436 -991.177 1990.354
4439.91357884 2.00947538563 2.83976871251 -0.287271720361 -959.843 1927.686
5312.50244823 2.85077921376 2.2504864181 -0.166996381103 -995.203 1998.406
5420.61671452 175.119342258 5.18200074287 -0.00215842341323 -1073.65 2155.3
5020.83997362 4.49615376615 2.13490242643 -0.0879340539384 -931.486 1870.972
5080.44070417 6.06814791287 2.21194834708 -0.0550947126495 -1027.36 2062.72
4526.59333289 2.24014065864 2.43427471475 -0.220668257407 -929.025 1866.05
5447.18866486 62.7722408031 4.18748835879 -0.00640285750724 -1027.31 2062.62
4718.43484318 2.15290893558 3.38000040552 -0.359952839009 -973.284 1954.568
5643.09283074 17.406048659 3.03344624684 -0.0237155075717 -1053.2 2114.4
5585.65533074 3.42004548959 2.29997621422 -0.144451721375 -1065.64 2139.28
4916.97436443 53.268633742 4.01920790274 -0.00578225697648 -1011.02 2030.04
NA NA NA NA NA NA
5643.00388541 164.915525149 5.12541514093 -0.00265779968656 -1066.81 2141.62
5384.26119089 11.3478634619 2.64599370922 -0.0296754671445 -1057.22 2122.44
5129.30862232 2.46605951579 2.51997516859 -0.219163250281 -985.168 1978.336
5642.5504541 24.9036853241 3.3238419951 -0.0150535744142 -1049.02 2106.04
5643.63876089 94.401604753 4.57316559466 -0.00333114712707 -1174.48 2356.96
5648.24796499 98.3029725756 4.61640680982 -0.00394020727992 -1028.79 2065.58
5157.31202687 140.707607613 4.9628618747 -0.00218348181297 -1037.51 2083.02
4422.99255464 1.8810191033 3.38000087374 -0.359912057884 -1120.76 2249.52
5432.33254987 123.194898672 4.83803953422 -0.00318775106349 -1058.33 2124.66
4566.35844374 1.98889732385 3.10397005729 -0.317443430083 -1013.79 2035.58
5272.61424044 2.47896086585 2.10365171838 -0.164269773943 -1067.4 2142.8
5528.10426583 2.9427680652 2.13679484925 -0.145674722474 -1071.64 2151.28
4409.28926348 1.98772632445 2.37794488375 -0.222184655658 -1043.36 2094.72
5693.38215835 7.72876462711 2.37480095955 -0.0454731663433 -1118.84 2245.68
5422.73066545 6.5896397241 2.2539840891 -0.050719597618 -1058.52 2125.04
5244.16588772 14.7854880335 2.88455765373 -0.0257863733608 -1007.28 2022.56
5398.52544555 12.0974950206 2.73116942072 -0.0320874195537 -1048.14 2104.28
5911.30750647 2.89636555077 2.02813244796 -0.138810068411 -1093.71 2195.42
5267.25903734 116.148765072 4.78079975829 -0.00345173281254 -1024.27 2056.54
5231.31377463 4.50938957408 2.05883375266 -0.0769890789538 -1006.44 2020.88
5098.29893952 108.124935176 4.70527983874 -0.00303926565531 -959.234 1926.468
4903.91534775 2.58816559836 2.13519055822 -0.16660369968 -960.408 1928.816
5169.89286858 3.83619221873 2.0518781289 -0.0964219230158 -1032.4 2072.8
5404.19984677 7.44419407498 2.41038931258 -0.0542835437496 -1042.19 2092.38
5144.34401674 78.7702929772 4.40095431767 -0.00463640566725 -992.459 1992.918
5528.23254573 3.43570695087 2.0138339584 -0.110638559272 -1052.72 2113.44
4192.93733964 1.94881572257 2.50086479101 -0.244543376257 -980.902 1969.804
