"D" "ssb0" "ssb1" "sigmass" "logLik" "AIC"
5335.33438249 174.555942957 -3.29425934337 5.77806651592 -2704.28 5416.56
5681.69040001 173.616657162 -3.17033401905 6.26543653389 -3013.59 6035.18
5710.41695833 172.602403128 -3.12458911734 6.19591293973 -2963.4 5934.8
5673.66133594 172.705055048 -3.10659338398 6.04728455401 -2999.56 6007.12
5625.29443356 174.131992226 -3.23972251205 6.06691055292 -3026.08 6060.16
5385.9924102 173.186012532 -3.05481123668 5.59905329257 -2978.56 5965.12
5208.08291392 173.720012046 -3.12262348451 6.11662037309 -2923.64 5855.28
5024.12173484 173.306478172 -3.13530658373 6.20559082111 -2693.86 5395.72
5433.34568017 174.040224342 -3.29759314322 6.16841612259 -2761.46 5530.92
5053.71242414 172.170449447 -3.0406440491 6.47326546737 -2640.42 5288.84
5359.78740768 174.070476791 -3.32620244064 6.78278236957 -2840.05 5688.1
5348.25454622 173.287819201 -3.0316630549 6.22071634757 -3031.41 6070.82
5031.02510792 173.017461681 -3.16052860624 6.25102819416 -2559.38 5126.76
5100.52954368 172.721252964 -3.02543604753 6.7029862847 -2833.44 5674.88
4799.08821505 174.492181735 -3.28358182956 6.25152000262 -2580.84 5169.68
5450.8415745 173.181096521 -3.10806067593 5.80531821457 -2835.54 5679.08
4778.38122873 172.647973784 -3.00033047977 6.63350558703 -2695.23 5398.46
5639.71459316 174.09799879 -3.23230887004 5.85128269335 -2896.01 5800.02
5646.70996971 173.263946691 -3.14381174599 5.7819216346 -2999.45 6006.9
5062.22722562 173.083494327 -3.08848332094 6.62152297013 -2799.74 5607.48
5968.647849 173.037194656 -3.17072397452 6.89019430986 -3074.21 6156.42
5669.80314222 172.933164908 -3.10608151648 5.92030350747 -2994.96 5997.92
5352.42789347 172.089072896 -2.98929209834 6.54978270722 -2902.37 5812.74
5183.4930143 174.143798574 -3.19721246762 5.59879708059 -2773.46 5554.92
5703.32224289 173.606841562 -3.27975850023 6.11561987099 -2910.42 5828.84
5665.92024695 172.86068937 -2.97082591325 6.51356943592 -3273.56 6555.12
5465.97963428 172.649503471 -3.08600791358 6.25203349643 -2797.77 5603.54
5080.8575946 171.84148002 -2.8776041995 6.15665688876 -2824.59 5657.18
5382.51312828 171.932351369 -2.82683184856 5.86369563525 -3041.55 6091.1
5436.6404654 173.385763984 -3.08919792407 5.91257361585 -2938.06 5884.12
5118.77327155 173.632252565 -3.08487330782 5.53236499478 -2799.88 5607.76
5386.77697558 171.421559531 -2.88498751766 6.6529461636 -2918.64 5845.28
5529.07242437 173.89525882 -3.18821559942 5.93977538765 -2996.26 6000.52
5196.35851406 172.915944063 -3.05156024523 6.57121886569 -2844.24 5696.48
5781.8682102 173.787262512 -3.2560310232 6.22235455516 -3089.82 6187.64
5545.55322826 173.475392178 -3.20494442212 6.2938415937 -2920.53 5849.06
5259.19545449 174.012034028 -3.19446531039 5.20177896388 -2789.69 5587.38
5338.00324142 173.356831535 -3.10890215198 6.03890117916 -2918.91 5845.82
5850.23068839 172.408293472 -3.07952490316 6.1922168236 -2964.05 5936.1
5196.28635631 172.755631989 -3.02315566291 5.97036619989 -2869.46 5746.92
4994.78482176 173.208592995 -3.02328646153 6.40514456662 -2770.44 5548.88
4994.93999782 173.112612394 -3.08708949761 5.841868818 -2584.77 5177.54
4935.61427342 173.803260353 -3.21475751562 6.06522775221 -2626.86 5261.72
5221.57089023 172.991880922 -3.10474722954 6.77968625291 -2849.98 5707.96
5449.47323739 173.02619139 -3.12951751431 6.3533242821 -2902.83 5813.66
5191.73797278 174.003637739 -3.2449915891 6.07405221603 -2730.3 5468.6
