"D" "shape" "scale" "logLik" "AIC"
5379.08380053 -3.64883343339 -0.48653229623 -971.55 1949.1
5657.9107924 -2.41447549316 -0.326421908418 -1102.99 2211.98
5434.72832655 -2.35580914545 -0.316079717661 -1085.25 2176.5
5586.9810672 -2.6787190844 -0.361633896861 -1085.63 2177.26
5549.64209685 -2.34083798312 -0.316824563253 -1100.02 2206.04
5484.75885991 -3.01466466459 -0.402205674112 -1065.45 2136.9
5144.28546921 -2.80536977302 -0.364865130789 -1038.86 2083.72
4978.71411196 -3.11374147894 -0.41012015227 -966.055 1938.11
5581.93045679 -3.28722679987 -0.455004018886 -991.198 1988.396
5065.67814352 -2.88801030933 -0.390112918839 -959.546 1925.092
5343.84279458 -2.88204930296 -0.39218724959 -995.309 1996.618
5420.98331704 -2.89358609722 -0.377647762475 -1073.64 2153.28
5019.72498382 -2.64093928768 -0.361463124351 -931.777 1869.554
5088.81069655 -2.38235756013 -0.316870481272 -1027.44 2060.88
4721.70456425 -2.51235238356 -0.335665185764 -931.01 1868.02
5446.7216423 -3.00471473573 -0.400529582352 -1027.31 2060.62
4811.30941769 -2.71443596236 -0.357094864845 -966.413 1938.826
5643.96104316 -3.04527818771 -0.407263021023 -1053.2 2112.4
5582.34738662 -3.2685931726 -0.432900266799 -1066.14 2138.28
4917.99273476 -2.32932379979 -0.306625903693 -1011.02 2028.04
6079.95495248 -2.61104453187 -0.360945953915 -1124.74 2255.48
5642.99324339 -3.29381866381 -0.437957960556 -1066.8 2139.6
5390.65554391 -2.41901560657 -0.328692444621 -1057.22 2120.44
5222.48938019 -3.02251451001 -0.403008799 -985.397 1976.794
5643.49667838 -2.69568488619 -0.371708989102 -1049.03 2104.06
5644.37934594 -2.41420589377 -0.313800510245 -1174.48 2354.96
5648.92974647 -2.78346687111 -0.386567578647 -1028.78 2063.56
5157.95039412 -2.27383383888 -0.306750743573 -1037.5 2081
5396.94551177 -2.63439425286 -0.340412090465 -1120.92 2247.84
5432.65578422 -2.98717940772 -0.392129510694 -1058.32 2122.64
5211.81384061 -2.88233651809 -0.38332722418 -1015.26 2036.52
5406.02100723 -2.32243590569 -0.312885079858 -1067.93 2141.86
5577.30571171 -2.69412569664 -0.363814500374 -1071.54 2149.08
5048.41541178 -2.17326717513 -0.287413254716 -1044.08 2094.16
5704.25300316 -2.4861053653 -0.339410779198 -1118.88 2243.76
5432.18808811 -2.33181615674 -0.317304799707 -1058.56 2123.12
5244.90292508 -2.79958009389 -0.376102145317 -1007.29 2020.58
5401.06390507 -2.84588971376 -0.381077270675 -1048.17 2102.34
5964.35367627 -2.35165007832 -0.33127220165 -1093.77 2193.54
5267.64721075 -3.0095279921 -0.400416444686 -1024.26 2054.52
5244.10119054 -2.31514094239 -0.317218182955 -1006.54 2019.08
5099.20142995 -2.37364970641 -0.327841183683 -959.23 1924.46
4989.71548745 -2.46782866431 -0.340172374819 -961.235 1928.47
5187.42342885 -2.47806477041 -0.331637124629 -1032.73 2071.46
5405.43844171 -2.90714241942 -0.387932359409 -1042.24 2090.48
5144.98816116 -2.70728523222 -0.364349799076 -992.457 1990.914
5541.15340738 -2.39401624289 -0.332213501924 -1053.29 2112.58
4977.39107788 -2.2784093433 -0.310192338452 -980.927 1967.854
5397.08853939 -2.50919797438 -0.333844019962 -1071.66 2149.32
5143.77731971 -2.61206330744 -0.363259269089 -947.587 1901.174
5631.50369465 -2.50008200183 -0.339074771518 -1090.75 2187.5
5407.43266849 -2.4417970925 -0.344917007505 -976.17 1958.34
5616.81197707 -2.95993554354 -0.40147304116 -1051.5 2109
6029.35011293 -2.7549090283 -0.361205521902 -1203.73 2413.46
5517.91475814 -3.04309300719 -0.41056432114 -1048.78 2103.56
4580.3393657 -3.41065090636 -0.429629049165 -954.016 1914.032
5909.97307659 -2.5773623497 -0.34645102433 -1153.39 2312.78
4991.62074004 -2.60171628165 -0.34802055644 -992.03 1990.06
5359.87108497 -2.90665415964 -0.382549390874 -1037.47 2080.94
5265.01920236 -2.5797211561 -0.347090329663 -1027.98 2061.96
5395.99048625 -2.78597928135 -0.379627707377 -1013.19 2032.38
5112.43538514 -2.66493556762 -0.347380158545 -1042.67 2091.34
5482.95613508 -2.62569467865 -0.367082382143 -1013.59 2033.18
5567.69007936 -2.27539900519 -0.303973063128 -1122.44 2250.88
4819.75667741 -2.54387352062 -0.335687320363 -974.297 1954.594
5260.12465897 -2.87446430481 -0.38435562177 -1003.89 2013.78
5308.1559571 -2.8945690813 -0.378093496618 -1056.75 2119.5
5076.63547933 -2.5330917869 -0.340304767062 -996.114 1998.228
4712.92685467 -2.39350239689 -0.324357929199 -929.212 1864.424
4910.43084817 -2.8647948534 -0.380338141003 -963.801 1933.602
5473.22983483 -2.6230282029 -0.358569876821 -1051.17 2108.34
4680.68845923 -2.67949932845 -0.358672774804 -921.974 1849.948
5907.94991942 -3.15701502057 -0.436427758784 -1061.18 2128.36
5346.07847467 -2.68492216967 -0.360930321056 -1042.53 2091.06
4882.28667326 -2.14284187664 -0.291073432468 -977.417 1960.834
4918.20414075 -2.96144627995 -0.402820365315 -911.324 1828.648
5464.6013823 -2.43527660815 -0.338153008997 -1014.22 2034.44
4909.71831153 -2.505451227 -0.337784703466 -959.916 1925.832
4948.21613304 -2.73556867499 -0.358059907777 -1015.19 2036.38
5662.86505837 -3.03547106239 -0.422490556878 -1010.79 2027.58
5163.47558532 -2.67236938789 -0.364679916985 -971.967 1949.934
5537.46497528 -2.32803211509 -0.318902796418 -1076.87 2159.74
5484.05511469 -3.16873694069 -0.441751476045 -977.69 1961.38
5509.39593399 -3.13686129949 -0.411243418396 -1073.87 2153.74
5567.94188472 -2.70408762916 -0.358150079254 -1121.08 2248.16
5524.3623673 -2.93057937602 -0.39511170141 -1050.17 2106.34
5104.03599256 -2.66663795066 -0.368709227441 -956.531 1919.062
5797.86776742 -2.97370576086 -0.422767421636 -999.713 2005.426
4995.2190446 -2.48563488532 -0.326422233501 -1032.6 2071.2
5848.3743135 -2.90248694985 -0.395071168242 -1105.2 2216.4
5070.63187138 -2.79652644269 -0.374439751662 -982.774 1971.548
5582.41737377 -2.54499427611 -0.348206170439 -1052.87 2111.74
5342.79074685 -2.7900119879 -0.381569514132 -998.459 2002.918
5167.7955843 -2.71229125828 -0.373545532914 -959.674 1925.348
5738.9837005 -2.80397855511 -0.387981833177 -1048.67 2103.34
5580.99252219 -2.42749093402 -0.338289682708 -1048.83 2103.66
5772.9959917 -2.80378705583 -0.377875450628 -1095.25 2196.5
5665.17639463 -2.2969512046 -0.30686304785 -1185.51 2377.02
5639.2695997 -2.67899825956 -0.360407925306 -1088.27 2182.54
