"D" "sigma" "se.D" "se.sigma" "logLik" "AIC" "maxgrad"
1523.96056824 9.16005317227 179.49 0.53906 -839.173 1682.346 -0.00133322
1597.48104917 8.6534177624 187.33 0.50764 -811.034 1626.068 -4.27533e-06
1149.5557931 9.93947882803 159.39 0.70272 -757.303 1518.606 -3.01237e-05
1293.31208463 9.99597652794 174.54 0.69555 -847.175 1698.35 -1.51837e-07
1425.63349507 9.5789447804 176.72 0.60128 -845.039 1694.078 -1.73371e-07
1194.881537 10.2337416516 160.7 0.70279 -826.389 1656.778 -2.38413e-07
1448.96343581 8.85790299546 177.3 0.54226 -758.145 1520.29 -0.00529747
1106.93268552 10.4785973612 153.27 0.74237 -795.59 1595.18 -7.6008e-09
1330.59445282 9.34823571731 168.99 0.5968 -776.795 1557.59 -2.4371e-05
1416.05463059 9.94510247946 177.11 0.63455 -897.55 1799.1 -0.00208988
1354.42075645 9.99461960731 169.56 0.63418 -902.674 1809.348 -1.2522e-06
1715.87054806 8.41739936686 195.04 0.47802 -806.517 1617.034 -7.51879e-05
1370.36549255 9.13407866273 171.59 0.57329 -756.397 1516.794 -2.72366e-06
1524.41179558 8.87821725458 185.89 0.547 -783.947 1571.894 -1.11867e-05
1355.62420104 9.57361077809 179.36 0.65048 -827.936 1659.872 -9.38709e-07
1620.25516586 9.26698617506 195.92 0.57346 -940.227 1884.454 -8.51896e-07
1299.32458733 9.216142993 169.02 0.60447 -724.248 1452.496 -1.57849e-06
1361.03742715 10.1563286113 173.34 0.66181 -920.607 1845.214 -7.59156e-08
1402.75346853 8.87915201936 169.93 0.53172 -764.135 1532.27 -3.5393e-06
1615.16997907 8.82318310255 184.43 0.50029 -841.137 1686.274 -0.00294686
1343.50735857 9.92105609416 169.87 0.63629 -861.195 1726.39 -4.70508e-06
1376.53071539 9.51171556168 175.39 0.61541 -816.808 1637.616 -7.9888e-06
1483.58004213 9.30819833123 182.51 0.58046 -858.053 1720.106 -2.22263e-06
1340.19467932 9.83744581946 177.11 0.66819 -841.336 1686.672 -2.95729e-05
1288.25945466 9.99380698284 172.13 0.68592 -861.018 1726.036 -0.00187346
1414.32595659 9.01310814455 174.81 0.55807 -769.343 1542.686 -0.00503274
