"D" "g0" "sigma" "se.D" "se.g0" "se.sigma" "logLik" "AIC" "maxgrad"
1523.96053267 0.999999992901 9.16005337231 179.49 7.0994e-06 0.53906 -839.173 1684.346 -0.000151829
1597.48106965 0.999999989598 8.65341775221 187.33 1.0397e-05 0.50764 -811.034 1628.068 -3.30279e-05
1149.55578156 0.999999989673 9.9394789174 159.39 1.0324e-05 0.70272 -757.303 1520.606 -2.91572e-05
1293.31206625 0.999999991037 9.99597660753 174.54 8.9633e-06 0.69555 -847.175 1700.35 -0.000277383
1425.63348238 0.999999990844 9.57894484802 176.72 9.1556e-06 0.60128 -845.039 1696.078 -3.28194e-05
1194.88152749 0.999999992637 10.2337417173 160.7 7.3628e-06 0.70279 -826.389 1658.778 -1.21816e-05
1448.96331312 0.999999990498 8.85790300039 177.3 9.5017e-06 0.54226 -758.145 1522.29 -0.000154056
1106.93267604 0.999999990924 10.4785974395 153.27 9.0762e-06 0.74237 -795.59 1597.18 -2.76027e-06
1330.59444434 0.999999990077 9.34823577468 168.99 9.9234e-06 0.5968 -776.795 1559.59 -3.90076e-05
1416.05461147 0.999999991844 9.94510270413 177.11 8.1559e-06 0.63455 -897.55 1801.1 -2.20028e-07
1354.42075062 0.999999992905 9.99461965713 169.56 7.0948e-06 0.63418 -902.674 1811.348 -5.33623e-05
1715.8705451 0.999999991482 8.41739940271 195.04 8.5178e-06 0.47802 -806.517 1619.034 -1.19362e-05
1370.36548266 0.999999991074 9.13407871879 171.59 8.9235e-06 0.57329 -756.397 1518.794 -3.63929e-05
1524.41178735 0.999999989408 8.87821731 185.89 1.0592e-05 0.547 -783.947 1573.894 -7.27882e-07
1355.62423931 0.999999990097 9.57361067629 179.36 9.9035e-06 0.65048 -827.936 1661.872 -0.000246969
1620.25518588 0.999999988296 9.26698610774 195.92 1.1706e-05 0.57346 -940.227 1886.454 -0.00101971
1299.32457446 0.999999988991 9.21614306297 169.02 1.1009e-05 0.60447 -724.248 1454.496 -9.36198e-05
1361.03742214 0.999999991991 10.1563286634 173.34 8.0095e-06 0.66181 -920.607 1847.214 -7.04271e-05
1402.75346082 0.999999990423 8.87915207222 169.93 9.5768e-06 0.53172 -764.135 1534.27 -6.97472e-06
1615.16992563 0.99999999233 8.82318307676 184.43 7.6669e-06 0.50029 -841.137 1688.274 -0.000165975
1343.50735228 0.999999992589 9.92105614524 169.87 7.411e-06 0.63629 -861.195 1728.39 -3.78962e-05
1376.53078154 0.999999990519 9.51171539589 175.39 9.4869e-06 0.61541 -816.808 1639.616 -3.69654e-05
1483.58003151 0.999999990876 9.30819839455 182.51 9.1239e-06 0.58046 -858.053 1722.106 -1.28008e-05
1340.19465094 0.999999990752 9.83744591993 177.11 9.2477e-06 0.66819 -841.336 1688.672 -0.000396044
1288.25950501 0.999999992225 9.99380697428 172.13 7.7751e-06 0.68592 -861.018 1728.036 -1.40368e-05
1414.32581739 0.99999999093 9.01310886667 174.81 9.0702e-06 0.55807 -769.343 1544.686 -3.52064e-08
1632.39069446 0.999999988742 8.35534094428 195.73 1.1253e-05 0.50699 -756.64 1519.28 -0.00191343
1538.06919997 0.999999991621 9.2689469761 183.58 8.3833e-06 0.55784 -868.638 1743.276 -6.52522e-05
1417.57554213 0.999999991364 9.15049966337 171.96 8.636e-06 0.55292 -796.389 1598.778 -1.4693e-05
1323.46251384 0.999999991318 9.50731299573 168.93 8.6808e-06 0.61202 -802.411 1610.822 -3.44657e-05
1746.0605145 0.99999999236 8.65102709098 192.72 7.6419e-06 0.47394 -869.585 1745.17 -0.000457566
1411.47372227 0.999999992433 10.0792224018 175.82 7.5661e-06 0.64069 -929.989 1865.978 -0.000383826
1287.57406804 0.999999993188 10.2967627193 169.28 6.8117e-06 0.69526 -890.107 1786.214 -1.86809e-07
1121.36602005 0.999999993026 10.5113129627 152.84 6.9741e-06 0.73139 -790.367 1586.734 -1.11723e-05
1361.39959982 0.999999990541 9.81964230282 177.89 9.4588e-06 0.65859 -857.632 1721.264 -7.43023e-05
1443.85809283 0.999999989345 8.95151587489 180.23 1.0655e-05 0.56418 -771.1 1548.2 -2.86098e-07
1585.13261291 0.999999991218 8.94626057412 183.61 8.7792e-06 0.51679 -850.914 1707.828 -0.000725722
1449.92836365 0.99999999212 9.19779356044 173 7.8796e-06 0.54584 -807.198 1620.396 -9.05294e-05
1427.91403222 0.999999991246 8.86065928917 176.22 8.755e-06 0.5474 -737.731 1481.462 -7.49599e-06
1480.34992529 0.999999993159 9.52841564011 176.94 6.8407e-06 0.57239 -884.767 1775.534 -0.000886116
1427.22734407 0.999999991904 9.73701042764 177.93 8.0964e-06 0.61749 -875.07 1756.14 -2.38213e-05
1345.75342813 0.999999988789 9.5147459524 176.93 1.1211e-05 0.63977 -804.966 1615.932 -0.00248239
