"D" "sigma" "z" "se.D" "se.sigma" "se.z" "logLik" "AIC" "maxgrad"
1822.73332127 10.8866834662 6.01087384246 188.6 0.60825 0.51132 -804.969 1615.938 -7.17473e-05
1793.08486037 9.9782286814 5.10772763333 192.38 0.5583 0.39427 -795.193 1596.386 -1.77808e-05
1341.02477477 11.3205897733 5.07789971603 169.93 0.80919 0.40413 -744.26 1494.52 -4.5864e-05
1549.39630813 11.5129485281 5.40721800906 180.04 0.73545 0.4214 -829.707 1665.414 -9.44772e-05
1611.9657058 11.0127125674 5.00349363535 181.29 0.65058 0.40236 -824.041 1654.082 -8.31573e-05
1465.33914341 11.9077695794 5.71698296753 167.29 0.74948 0.46461 -796.152 1598.304 -3.77718e-05
1636.64433012 10.4136918367 5.35382020107 183.84 0.61789 0.43766 -736.821 1479.642 -5.55432e-07
1273.6490983 12.0244540669 4.99751746332 157.05 0.81428 0.40974 -778.409 1562.818 -1.3197e-05
1535.56715378 10.6064358882 5.03686694061 182.64 0.68681 0.39705 -760.341 1526.682 -1.02486e-05
1604.94696036 11.6011452716 5.1318663845 178.05 0.68906 0.40667 -872.612 1751.224 -2.19659e-05
1584.420969 11.6151090921 5.32379306466 176.61 0.71679 0.39578 -875.828 1757.656 -1.84375e-06
1910.02875907 10.379020709 5.99055321553 194.13 0.56708 0.53764 -777.958 1561.916 -3.63182e-05
1506.27686724 11.254345519 5.69109792856 172.81 0.69983 0.50376 -731.51 1469.02 -1.89343e-06
1672.30887661 10.1001500579 4.78332497722 186.76 0.56962 0.3821 -766.605 1539.21 -4.12997e-05
1511.18167959 11.1985584455 5.08896166221 175.63 0.70752 0.38829 -809.509 1625.018 -6.57194e-05
1795.59712411 10.2952732448 4.58916760663 198.27 0.59871 0.31517 -933.032 1872.064 -1.56088e-06
1474.62056914 10.8835114623 5.39162834186 169.81 0.67366 0.46825 -705.896 1417.792 -4.95686e-06
1533.36482084 11.8261842549 5.04344343905 176 0.74943 0.37495 -901.322 1808.644 -4.43974e-06
1541.04668824 10.6546628457 5.3729129357 172.44 0.66312 0.42357 -746.969 1499.938 -1.02263e-05
1870.1506594 10.609788523 5.92153677365 188.65 0.57705 0.49696 -811.634 1629.268 -2.25997e-05
1537.3316225 11.7213242568 5.35851950329 176.49 0.74153 0.41479 -834.025 1674.05 -4.55975e-06
1528.24535366 11.2106300899 5.15110570209 175.69 0.69802 0.41915 -797.316 1600.632 -6.05549e-05
1735.88539091 10.5263368176 5.10652142031 189.43 0.59283 0.38984 -837.35 1680.7 -5.9499e-05
1570.61078739 11.1933326446 5.11348521503 179.39 0.67889 0.39434 -820.568 1647.136 -1.90926e-05
1620.7251372 11.4339946906 5.7619867213 180.35 0.692 0.45182 -833.658 1673.316 -9.58005e-06
1635.87189549 10.6231123669 5.56977050278 182.9 0.64208 0.46901 -747.233 1500.466 -5.74218e-06
1764.93513992 9.93910023232 5.21814942934 193.34 0.55735 0.45918 -736.849 1479.698 -3.15907e-06
1739.63205956 11.0664188607 5.49533269899 184.79 0.63895 0.43327 -845.084 1696.168 -2.26482e-05
1610.60432595 11.0262962434 5.68641815839 177.23 0.66743 0.47352 -772.203 1550.406 -3.02387e-05
1515.97421329 11.5411061955 5.80811562582 168.45 0.7111 0.4851 -776.18 1558.36 -5.51269e-06
2031.72851597 10.3589305884 5.95093125976 200.05 0.54873 0.50762 -838.727 1683.454 -8.70873e-05
1643.99000465 11.6609087766 5.22447609648 180.14 0.69832 0.3943 -904.149 1814.298 -5.47374e-06
1584.00090998 12.1790353007 5.99043154561 174.57 0.73979 0.48506 -854.065 1714.13 -2.10212e-05
1384.9419762 12.1291563058 5.61883564791 164.52 0.78461 0.47612 -758.071 1522.142 -8.93744e-06
1575.84488367 11.2657691723 5.11696141904 181.13 0.69217 0.39642 -840.255 1686.51 -4.56286e-05
1694.3880682 9.96160758842 5.00513833293 193.93 0.58564 0.395 -756.905 1519.81 -5.55328e-05
1853.18746519 10.2382116961 5.29386199642 198.07 0.58021 0.40771 -830.587 1667.174 -1.15105e-05
1702.83668314 10.8759829093 5.72680999563 183.14 0.62537 0.50376 -777.925 1561.85 -3.74223e-07
