"D" "g0" "sigma" "z" "se.D" "se.g0" "se.sigma" "se.z" "logLik" "AIC" "maxgrad"
1889.87486157 0.935452541986 11.7972179457 8.32747487073 197.52 0.037661 0.81417 2.219 -802.968 1613.936 -7.40881e-05
1814.12751063 0.945758062561 10.5828505302 5.77563926808 198.81 0.057376 0.89294 0.96486 -794.725 1597.45 -6.64104e-05
1413.44954999 0.815150508999 14.7513012492 19.9999891561 166.64 0.028923 0.98621 0.046923 -735.22 1478.44 -7.89978e-05
1643.80343417 0.838165636562 14.1639639467 14.7547757626 186.17 0.034535 1.0936 8.2549 -814.942 1637.884 -1.51035e-05
1611.96565637 0.999999952015 11.0127130029 5.00349404495 181.29 4.7985e-05 0.65058 0.40236 -824.041 1656.082 -2.62697e-05
1496.71785328 0.930472484093 12.9787986295 7.40768800037 176.22 0.035511 0.97355 1.3762 -793.465 1594.93 -4.20471e-05
1710.00043495 0.930753068353 11.1445433125 6.66409794703 197.61 0.045862 0.84426 1.3031 -735.306 1478.612 -9.51276e-05
1290.95848707 0.950390347671 12.7351019804 5.64752139797 163.84 0.048801 1.1366 0.87903 -777.847 1563.694 -2.65293e-06
1531.70136515 0.935734643968 11.6370481407 6.02157037127 182.63 0.040891 0.9128 0.86887 -758.601 1525.202 -3.09324e-05
1604.94705404 0.999999927798 11.6011459638 5.13186720191 178.05 7.2115e-05 0.68906 0.40667 -872.612 1753.224 -2.81902e-05
1645.0789271 0.930337213786 12.5610925999 6.72446630248 189.65 0.036697 0.90412 1.1257 -873.429 1754.858 -1.28973e-05
1991.27757588 0.930504799565 11.1862641139 8.20179846024 204.06 0.039534 0.72767 2.1055 -776.039 1560.078 -3.80398e-05
1559.61161689 0.950850373258 11.7202799971 6.59054095858 183.85 0.036912 0.7995 1.0389 -730.465 1468.93 -3.04271e-06
1672.30908409 0.999999561343 10.1001560146 4.78332987975 186.76 0.00043864 0.56966 0.38213 -766.605 1541.21 -4.89434e-06
1553.75517422 0.939454471208 11.8286194902 5.82534410894 187.91 0.055286 0.94616 0.93418 -808.841 1625.682 -6.28004e-05
1821.24255976 0.816779744205 13.0105761315 7.72259359706 208.47 0.059726 1.2742 2.2771 -927.342 1862.684 -6.83341e-06
1549.2291558 0.920480527287 11.7259596872 6.9044218826 183.89 0.047317 0.91502 1.3565 -703.917 1415.834 -2.97828e-05
1584.69257349 0.925025621419 12.7845126949 6.13506770542 187.42 0.044677 0.98973 0.94482 -899.5 1807 -8.62585e-05
1587.67434592 0.876619225176 12.3806015114 8.53395445871 182.27 0.047413 1.0921 2.4759 -742.469 1492.938 -4.5887e-05
1937.20945349 0.920807329953 11.5963218687 8.28546524728 201.11 0.042786 0.83423 2.2368 -809.673 1627.346 -3.18234e-06
1577.00139699 0.948399683628 12.4301074668 6.30826553296 184.4 0.032117 0.85956 0.85099 -832.151 1672.302 -7.88732e-05
1572.66097142 0.932869438467 12.0670472022 6.22091115572 187.05 0.039642 0.87255 0.96374 -795.498 1598.996 -6.89379e-06
1760.83256945 0.945487439688 11.2232089273 5.88350469278 199.31 0.041879 0.82474 0.85709 -836.409 1680.818 -2.95396e-05
1570.61142979 0.999999646513 11.1933349714 5.1134891607 179.39 0.00035371 0.6789 0.39436 -820.568 1649.136 -6.09622e-05
1673.22616468 0.880755977505 13.3922564213 10.9082185585 188.12 0.035046 0.97902 3.7843 -824.865 1657.73 -5.719e-05
1700.89041894 0.912591259517 11.785243183 7.9378997226 192.07 0.042223 0.86473 2.002 -744.149 1496.298 -3.12175e-05
1764.93549377 0.999999858031 9.93910037943 5.21815058181 193.34 0.00014199 0.55735 0.45918 -736.849 1481.698 -7.87249e-05
1855.64805549 0.891763535901 12.3236062505 8.29002243452 204.7 0.047274 0.92853 2.4762 -841.8 1691.6 -7.49198e-05
1660.31158738 0.923731180219 12.0372578722 7.55420811214 184.19 0.038321 0.86305 1.454 -769.424 1546.848 -1.83753e-05
1544.71579078 0.929715857001 12.4375887242 7.21721640473 174.96 0.042775 0.9413 1.3177 -774.395 1556.79 -3.10293e-05
2061.40756732 0.954647767657 10.9723710087 7.12402378111 204.79 0.03594 0.7123 1.3037 -837.768 1683.536 -3.83034e-05
1672.40649656 0.966480359247 12.0882857999 5.72814073866 187.77 0.034552 0.82897 0.7127 -903.561 1815.122 -3.74997e-05
1630.72739749 0.942622268154 12.9058176407 7.34443640946 183.5 0.034915 0.89324 1.2687 -852.393 1712.786 -2.10081e-06
1418.53087634 0.973499188877 12.4752453196 6.20839054826 173.11 0.025732 0.86902 0.80692 -757.362 1522.724 -3.54041e-05
1672.88579904 0.898804934919 12.4534133322 6.97451637479 199.38 0.03902 0.92851 1.1739 -835.474 1678.948 -1.02749e-05
1706.73274691 0.881029917034 11.794838968 7.51442423243 197.47 0.048728 0.99816 1.8761 -753.082 1514.164 -9.34627e-05
1853.26496536 0.898413043299 11.8848579803 7.70799453866 200.68 0.042368 0.91587 1.7289 -826.678 1661.356 -2.27213e-06
1707.21770456 0.993738792143 10.9633105426 5.84966992869 185.28 0.029312 0.73819 0.77766 -777.901 1563.802 -8.91063e-06
1709.0627307 0.940338220251 11.3621335463 7.50725669477 191.49 0.046506 0.84308 1.8507 -709.232 1426.464 -6.34917e-05
1811.79732212 0.976403877534 11.4707159989 6.31400066295 196.14 0.024627 0.69185 0.78495 -848.542 1705.084 -2.85669e-06
1678.23688784 0.956754912587 11.9941744572 6.10009777356 188.54 0.036402 0.83334 0.84087 -848.838 1705.676 -1.5845e-05
1610.85184759 0.895110961905 12.0200577496 6.54101236771 199.92 0.046162 0.93923 1.2161 -788.102 1584.204 -8.13579e-05
1755.60867342 0.883579748811 11.7967797213 8.39450388838 193.71 0.054654 1.1173 2.6969 -757.628 1523.256 -7.56171e-06
1681.67608067 0.916952117508 12.0750259815 6.91163483036 195.98 0.040238 0.85085 1.286 -796.57 1601.14 -4.34983e-05
1719.42277112 0.962671313055 11.5927356724 5.95966870858 195.34 0.038641 0.76235 0.83153 -834.565 1677.13 -6.82606e-05
1978.46913075 0.909255211085 11.4372992159 7.46175719358 207.39 0.042037 0.82142 1.4959 -850.792 1709.584 -5.17241e-05
2029.45378235 0.836598598494 11.7965010608 8.87495855961 221.06 0.050342 1.0318 3.2476 -836.679 1681.358 -4.72679e-06
1665.66770396 0.999999642249 10.2676072644 5.44734088703 183.45 0.00035667 0.58815 0.4803 -713.636 1435.272 -6.03425e-05
1512.96680809 0.999999890991 10.9737651407 5.55595063083 172.48 0.00010909 0.66498 0.49076 -709.116 1426.232 -1.3326e-05
1584.41435801 0.917040433983 12.2157876582 6.04500560178 191.65 0.040641 0.95465 0.88495 -836.658 1681.316 -1.00214e-05
1697.49806447 0.899760134295 12.4649554227 9.09401557516 188.64 0.0371 0.97649 2.3889 -770.433 1548.866 -2.83442e-05
1741.66616345 0.994385867924 10.976586004 5.56147428459 192.87 0.049842 0.78826 0.84232 -822.821 1653.642 -6.10171e-05
1940.55870965 0.917720057289 11.5959037395 6.55286905953 208.63 0.044176 0.84231 1.1502 -895.812 1799.624 -3.68116e-05
1678.28605144 0.984176832541 10.8366646194 5.87300367246 183.85 0.028109 0.73044 0.69279 -748.588 1505.176 -1.30182e-05
1680.22049037 0.884279047133 13.5442006334 8.80767888244 192.83 0.041497 1.1644 2.4237 -881.756 1771.512 -3.05255e-05
1778.1766533 0.918026903385 12.9616924502 8.03925895128 190.15 0.033058 0.91283 1.4122 -914.104 1836.208 -1.64475e-05
2184.99478762 0.907913196806 11.593209398 8.05475646489 218.92 0.03617 0.74206 1.7766 -927.688 1863.376 -1.86218e-05
1681.73300347 0.883292084493 12.6609980888 9.53888520301 198.15 0.038218 0.91644 3.1114 -771.584 1551.168 -5.91539e-05
1861.39711589 0.973147972415 10.6256888792 6.34532548038 196.57 0.040348 0.75685 0.96628 -764.451 1536.902 -4.25271e-06
1505.76315756 0.974956679906 12.5864985167 5.76290919055 176.68 0.037025 0.91241 0.76535 -868.856 1745.712 -9.56101e-06
2171.4441636 0.920308973599 11.3633241539 7.86330323596 212.95 0.039002 0.79268 1.7685 -911.07 1830.14 -2.53948e-06
1920.17112634 0.940112094612 11.3375701362 6.50804981232 206.42 0.039331 0.79865 1.0535 -860.799 1729.598 -6.17534e-06
1618.38805842 0.854778055325 13.1080850953 10.9632957514 187.94 0.03784 1.0672 4.0388 -752.349 1512.698 -4.59305e-05
1733.93636247 0.934801350005 12.4478400796 7.05515211603 190.29 0.039624 0.90401 1.2594 -879.35 1766.7 -8.75395e-06
1753.14688271 0.843382634346 13.061000152 11.7593437991 193.42 0.04413 1.1726 6.1098 -825.888 1659.776 -4.09858e-05
1389.80396614 0.920619234122 13.3243308258 6.89833372189 180.83 0.038942 1.0255 1.3133 -768.881 1545.762 -1.85275e-05
1650.86842163 0.906948139374 12.415134779 8.3791314459 195.36 0.041026 0.87617 2.2806 -758.435 1524.87 -1.24063e-05
1381.30385119 0.999999897124 11.4329769576 5.84163387742 161.78 0.00010287 0.73761 0.5221 -688.307 1384.614 -6.60353e-06
1497.70931293 0.989499346282 12.3440852351 5.83683905856 173.08 0.030715 0.87518 0.68426 -834.615 1677.23 -2.40707e-05
1458.29855005 0.936224923488 13.7806303247 9.24804973121 166.51 0.032972 1.0781 2.1694 -780.046 1568.092 -2.16011e-05
1304.27972035 0.905986896088 13.7973066969 6.31456131792 170.66 0.040087 1.1993 0.97081 -814.259 1636.518 -5.78416e-05
1857.10056704 0.940575457072 11.4313444925 6.74361237223 200.44 0.048692 0.87903 1.364 -826.423 1660.846 -6.67571e-05
1750.43526262 0.989214362426 11.8585037352 6.31272448852 184.53 0.032138 0.78663 0.85839 -869.056 1746.112 -7.0857e-05
1651.87233039 0.94953134683 11.7124138222 5.90467201066 193.37 0.044056 0.86584 0.91501 -827.162 1662.324 -4.74808e-05
1709.72446072 0.931108225687 12.2071200549 9.02410426847 187.1 0.035495 0.90259 2.5124 -749.963 1507.926 -1.04477e-05
1701.83787223 0.865326447229 12.6572455728 7.23883260094 203.21 0.045119 0.92984 1.5712 -857.001 1722.002 -5.92392e-05
1571.3756842 0.973635677607 11.4993660116 6.24228758987 177.64 0.035447 0.84896 0.88116 -754.665 1517.33 -5.98618e-07
1773.09844533 0.846528020693 13.0953854737 12.027729868 198.21 0.044281 1.1561 6.9381 -834.337 1676.674 -7.23566e-06
1938.99471664 0.895315672357 11.6379406973 7.62876449409 219.57 0.046564 0.81187 1.9669 -825.676 1659.352 -8.20658e-05
1609.8164584 0.975388511173 11.9769212233 6.54257188942 177.31 0.034362 0.81733 0.92308 -810.701 1629.402 -1.16537e-05
1953.59971884 0.899476564321 11.8383765606 8.06825642404 222.35 0.052066 0.90639 2.7995 -840.309 1688.618 -2.22166e-05
1583.53017586 0.923349794738 12.3391766855 6.53082369344 184.17 0.038888 0.86974 0.99496 -812.193 1632.386 -7.91937e-06
1573.16314532 0.999999923728 11.3237678587 5.80290394934 175.93 7.6178e-05 0.67655 0.50403 -744.981 1497.962 -2.78471e-05
1790.30090484 0.889133078907 12.3987472675 6.97787443815 201.72 0.0445 0.96925 1.3435 -890.165 1788.33 -1.77031e-05
1855.44049809 0.921926909009 12.8005507833 9.63699161439 194 0.032399 0.83687 2.722 -872.488 1752.976 -7.17259e-06
1791.88180475 0.977860716912 10.658829948 5.47450016253 196.15 0.049137 0.75259 0.73873 -824.684 1657.368 -2.07113e-06
1378.06817844 0.93456098992 12.4393718116 6.07065711065 175.46 0.039162 0.97839 0.924 -745.291 1498.582 -1.10532e-05
1554.92271131 0.872405486902 13.5331310139 8.54164195413 186.6 0.042775 1.0929 2.2962 -826.938 1661.876 -2.91423e-05
1789.51589596 0.948814338508 12.1154294819 7.62770979657 192.07 0.035391 0.87676 1.4674 -848.62 1705.24 -4.53321e-05
