"D" "ssb0" "ssb1" "sigmass" "se.D" "se.ssb0" "se.ssb1" "se.sigmass" "logLik" "AIC" "maxgrad"
1758.92829128 5.09534076708 0.018375627558 8.49304547661 145.16 0.006832 0.00077912 0.366 -2649.45 5306.9 -0.000557172
1779.59579783 5.08066989215 0.0182976092809 8.89945615882 155.79 0.0074373 0.00085396 0.41644 -2475.52 4959.04 -6.72063e-05
1485.58023394 5.07359248562 0.0169018002629 8.9825070332 141.39 0.0073745 0.00085985 0.39989 -2374.78 4757.56 -0.00152629
1705.82953871 5.08768943601 0.0177103719528 8.49160237425 143.14 0.0067869 0.00077367 0.36704 -2671.9 5351.8 -6.02835e-05
1811.24881111 5.07976713789 0.0176375933025 8.58213186732 155.08 0.0069663 0.00080081 0.38289 -2597 5202 -0.000166908
1534.57234544 5.07600244633 0.0161447290576 8.28985525114 139.03 0.0067235 0.00076047 0.34708 -2644.12 5296.24 -6.23434e-07
1763.61963538 5.08465254449 0.0194284065402 9.37691817111 159.41 0.0076486 0.00096618 0.43958 -2379.16 4766.32 -8.75935e-06
1376.94587431 5.08417775231 0.0160830200803 8.76267243857 130.74 0.0073141 0.00077178 0.38117 -2529.36 5066.72 -0.00165089
1470.58018398 5.09491822474 0.017818971718 9.39572096151 139.79 0.0081455 0.00086367 0.42471 -2432.39 4872.78 -0.000356309
1920.93651764 5.08247846019 0.0179735825734 8.87527969411 158.44 0.0068275 0.00080591 0.38081 -2806.59 5621.18 -0.000495795
1862.85082393 5.08840774346 0.0185860439365 9.21461412726 154.39 0.0067461 0.0008081 0.37428 -2929.55 5867.1 -1.81018e-06
1730.67677103 5.08586727828 0.0183123646793 9.59618484367 155.54 0.0082111 0.00090469 0.4304 -2506.41 5020.82 -0.000142766
1531.11647528 5.0899662014 0.017694696178 8.49607852085 137.19 0.0078182 0.00080381 0.38987 -2358.73 4725.46 -5.34992e-06
1719.2020879 5.08320937695 0.0180767640727 8.84145432033 152.28 0.0075918 0.00086805 0.42427 -2384.24 4776.48 -3.20773e-05
1670.56834123 5.08897711457 0.0180708715689 8.98627668148 146.14 0.0073368 0.00084489 0.406 -2570.68 5149.36 -5.87041e-05
1968.7032737 5.06739272402 0.0172138055152 9.15639801574 166.36 0.0070517 0.00080891 0.39176 -2841.54 5691.08 -0.000138117
1545.97162126 5.1115016857 0.0198137629216 8.74090886739 134.82 0.0079594 0.00090843 0.43008 -2236.99 4481.98 -2.71224e-05
1729.85234774 5.08089232537 0.0166592034112 8.72421009545 144.66 0.0065596 0.00072715 0.35763 -2898.47 5804.94 -1.32128e-05
1607.64446102 5.08767856344 0.0185314089139 8.75403887409 143.71 0.0074288 0.00082934 0.40485 -2385.3 4778.6 -7.66713e-05
1910.35850692 5.09284341554 0.0194161377309 8.73690258048 157.56 0.0069644 0.00083888 0.38272 -2643.83 5295.66 -4.8135e-05
1618.76780939 5.08156602781 0.0165697023622 8.76151846531 143.32 0.0070372 0.00075706 0.36478 -2736.8 5481.6 -6.21174e-06
1778.43708471 5.09541626649 0.0194403078042 9.47082673634 152.81 0.0076276 0.00090644 0.42697 -2575.47 5158.94 -3.03788e-05
1868.87204174 5.0921311396 0.0192131523203 9.15088309895 157.55 0.0072128 0.00086161 0.40712 -2687.95 5383.9 -0.000783643
1632.45574643 5.08192974745 0.0168314408819 8.68216630392 142.4 0.0072224 0.00077216 0.38584 -2599.02 5206.04 -1.4461e-05
1813.16864115 5.09241089173 0.0188123252592 8.46688132168 147.88 0.0066142 0.00082205 0.36048 -2763.63 5535.26 -0.000214803
1728.16602269 5.07773746895 0.0181669423286 8.38234318949 150.72 0.0069706 0.00084059 0.3861 -2384.27 4776.54 -6.79206e-05
1719.12265676 5.09026802672 0.0188875062133 8.72035556084 151.83 0.0079596 0.00091229 0.43603 -2277.71 4563.42 -0.000207967
1802.00063342 5.09462741529 0.0184210253679 8.84334647505 149.02 0.0072623 0.00081209 0.38792 -2709.83 5427.66 -2.76557e-05
1565.45627947 5.08881855901 0.0175554908162 8.73968407088 142.14 0.0074715 0.00083132 0.39096 -2486.29 4980.58 -4.84792e-05
1577.12482841 5.09935276762 0.0184629509065 8.95862764399 138.65 0.0076741 0.0008196 0.40053 -2530.17 5068.34 -2.05816e-06
2054.18658009 5.08583029649 0.019254046066 8.68305966316 168.66 0.0069147 0.00084794 0.3794 -2682.57 5373.14 -2.92262e-05
1905.71940612 5.09176791733 0.0183976368511 9.19894852617 155.21 0.0068589 0.00078284 0.38222 -2956.2 5920.4 -4.276e-06
1780.06707796 5.09410607039 0.0181930444764 8.73894447712 145.3 0.0065379 0.00076659 0.35947 -2888.98 5785.96 -6.61124e-05
1653.38872307 5.09677284896 0.0184742303829 8.1407501058 137.6 0.0063003 0.00078216 0.35259 -2573.32 5154.64 -7.31628e-05
1899.63341479 5.08977411345 0.0188782319787 8.41580442418 151.98 0.0066871 0.00081423 0.37498 -2676.99 5361.98 -1.28702e-05
1734.75158393 5.09030201753 0.0194661846149 9.46593241296 154.18 0.0078373 0.00093914 0.43756 -2410.04 4828.08 -0.00174543
1978.90871113 5.07995368141 0.0189107928315 8.73944808391 161.28 0.0067893 0.0008451 0.3854 -2636.44 5280.88 -0.0016948
1630.72499486 5.08922536109 0.0177258851288 8.81403010432 146.07 0.0073043 0.00082048 0.38745 -2529.63 5067.26 -0.000933488
1652.5307706 5.09301555183 0.0187972044659 8.14294669554 140.93 0.0070721 0.00082736 0.39243 -2288.03 4584.06 -0.000153633
1920.38374314 5.09656160762 0.0193761738228 9.12909898961 155.27 0.0068169 0.00083912 0.37962 -2850.05 5708.1 -9.07442e-05
1780.78688519 5.08490739807 0.0172401017563 8.1108782814 145.32 0.006634 0.00072516 0.3555 -2701.87 5411.74 -0.000595019
