"D" "ssb0" "ssb1" "sigmass" "sigmatoa" "se.D" "se.ssb0" "se.ssb1" "se.sigmass" "se.sigmatoa" "logLik" "AIC" "maxgrad"
1800.10652175 5.09126698807 0.0185448817829 8.84683293498 0.00195520746765 132.46 0.0064319 0.00069032 0.32156 0.0001143 -1099.65 2209.3 -0.00168868
1661.57104353 5.08167299022 0.0175808567705 8.97123499735 0.00185958972198 127.38 0.0069032 0.00069518 0.35132 0.00012674 -1108.31 2226.62 -0.000663258
1491.16679335 5.0810034518 0.0172552629953 8.62416060524 0.00190765272006 118.37 0.0066869 0.00069284 0.3281 0.00012231 -938.781 1887.562 -6.59801e-05
1702.66585619 5.08802754395 0.0177386675018 8.55699152465 0.00189366828927 125.85 0.0062943 0.00065531 0.30991 0.00011328 -1066.81 2143.62 -7.87139e-05
1665.21819778 5.08017277548 0.016912545929 9.03558080111 0.00173516553303 125.13 0.0067917 0.00066919 0.33937 0.00010913 -1120.98 2251.96 -2.92041e-05
1642.61186475 5.07801027563 0.0170077691206 8.27905818024 0.00186464747382 123.23 0.0061114 0.00064515 0.29196 0.00010596 -964.64 1939.28 -0.000645103
1609.84557053 5.08603759942 0.0183871288146 9.40494664867 0.00183864712683 127.14 0.0071769 0.00074529 0.37132 0.00011917 -1043.05 2096.1 -0.00029608
1478.42882045 5.08247818157 0.0167319038607 8.75669578996 0.00172654813199 113.61 0.0063792 0.00064333 0.32222 0.0001015 -966.435 1942.87 -7.99723e-05
1482.94057473 5.09287545145 0.0178334177764 9.49211145744 0.00175069564243 117.25 0.0072091 0.00072596 0.3646 0.00011534 -1033.75 2077.5 -6.65377e-05
1846.67792709 5.08506437267 0.017706188153 8.93945740133 0.00191196226676 133.56 0.0064901 0.00067031 0.32436 0.00011306 -1188.73 2387.46 -0.000162509
1745.72653503 5.09085902911 0.0180638130038 9.43900570332 0.00192354284154 128.41 0.0065238 0.00067719 0.32297 0.00010466 -1143.65 2297.3 -2.37125e-05
1652.8323057 5.09071361504 0.0179921269851 9.41686062882 0.00176886089193 125.97 0.0073554 0.00074271 0.36386 0.00011559 -1141.9 2293.8 -5.94543e-05
1545.81051432 5.08409962291 0.0176465215187 8.99100205869 0.00196430563001 123.16 0.0072266 0.0007348 0.34655 0.0001258 -983.482 1976.964 -0.000166993
1670.26157898 5.08529994099 0.0179072151996 8.92453791014 0.00194394821104 128.82 0.0070998 0.00072851 0.36124 0.00013389 -1096.9 2203.8 -7.85996e-05
1631.35429356 5.0894158492 0.0178386890095 9.03235616279 0.00195681728654 124.48 0.0067533 0.0006982 0.34242 0.00012379 -1102.29 2214.58 -0.000191262
1910.83139236 5.06813314213 0.0170199731316 9.34854256861 0.001888170165 140.5 0.0066525 0.00068431 0.33491 0.00012004 -1263.63 2537.26 -0.00024225
1497.27366292 5.1090751863 0.0194052252464 9.14459287352 0.00196952264548 118.62 0.0076902 0.00078071 0.37426 0.00013592 -996.686 2003.372 -5.88041e-06
1771.46440509 5.0799817316 0.0168933884725 8.79441484079 0.00192338444313 128.26 0.0060375 0.0006282 0.30393 0.00010897 -1163.59 2337.18 -0.0010374
1526.2113738 5.09110827401 0.018162742116 8.84291599996 0.00185693571172 120.15 0.006933 0.00070259 0.34438 0.00012465 -991.86 1993.72 -7.1035e-06
1747.39988072 5.09663226512 0.0185686090749 8.81286141014 0.00191409584241 128.58 0.0066797 0.00068024 0.32738 0.00012005 -1115.95 2241.9 -0.000772793
1596.39388531 5.08052664776 0.0163652345776 8.77668063825 0.00180022555355 119.6 0.0062636 0.00062505 0.3094 9.8678e-05 -1066.5 2143 -0.000115433
1691.40359913 5.10121356177 0.0189926178285 9.04703362588 0.0016729481471 126.28 0.0068554 0.00070679 0.34478 0.00010219 -1079.95 2169.9 -9.10814e-06
1765.52598845 5.09143641926 0.0185509137005 9.365311486 0.00167322046244 130.67 0.0067457 0.00070271 0.34343 0.00010108 -1130.99 2271.98 -4.08264e-05
1676.15051353 5.08205289846 0.0170333095344 8.45395813921 0.00181879475068 125.15 0.0063453 0.00064219 0.31219 0.0001124 -1080.04 2170.08 -0.000170765
1735.82592008 5.09229777158 0.0183900167084 8.76315637508 0.00194226489927 127.66 0.0063301 0.0006821 0.31099 0.00011633 -1061.95 2133.9 -0.000101563
