"D" "shape" "scale" "se.D" "se.shape" "se.scale" "logLik" "AIC" "maxgrad"
1736.64520152 2.54184463985 5.0003304806 116.88 0.12432 0.21349 -2065.56 4137.12 -0.00026986
1701.01738938 2.18159882144 5.56609361414 117.85 0.11091 0.23624 -2017.98 4041.96 -0.000106906
1471.32314955 2.38247825082 5.35101225516 106.55 0.12259 0.23791 -1836.67 3679.34 -0.000651693
1727.42609529 2.43671208497 5.13860923343 117.37 0.11686 0.21496 -2056.08 4118.16 -3.55078e-05
1691.82025055 2.21448434578 5.72618786273 113.94 0.10939 0.23798 -2159.2 4324.4 -1.14436e-06
1608.17380011 2.39367956048 5.32798745 111.52 0.11603 0.22549 -2003.64 4013.28 -7.94678e-05
1572.44902825 2.22600005423 5.54863487754 112.2 0.11508 0.24168 -1898.65 3803.3 -1.5566e-05
1571.30248588 2.17501263338 5.70734164445 111.34 0.1098 0.24557 -1969.11 3944.22 -8.92614e-05
1541.29828366 2.23014362662 5.6313776137 109.67 0.11519 0.24591 -1924 3854 -1.31897e-05
1863.37187904 2.41094180611 5.20557641928 121.56 0.11454 0.21355 -2234.5 4475 -4.66405e-05
1798.52513976 2.54081030458 4.98184290363 119.15 0.11904 0.2058 -2149.97 4305.94 -7.38928e-06
1742.78491609 2.40760738415 5.1443144076 118.65 0.12263 0.22395 -2039.26 4084.52 -1.1047e-06
1586.91657914 2.45715960528 5.07187068395 112.98 0.12579 0.22559 -1860.02 3726.04 -1.19223e-05
1675.72322846 2.25737779689 5.45360172363 116.23 0.11763 0.23937 -1999.51 4005.02 -0.00433807
1654.63970897 2.35894638186 5.33777099778 113.89 0.11872 0.22958 -2028.53 4063.06 -5.4828e-06
1879.03604514 2.15035247149 5.73738569343 122.19 0.10211 0.22863 -2325.97 4657.94 -0.000132768
1512.88328609 2.51890492262 5.00013144346 109.7 0.13568 0.23527 -1787.66 3581.32 -3.7043e-06
1848.46611433 2.2885268754 5.44656358671 121.17 0.10632 0.2179 -2250.33 4506.66 -0.000161809
1558.48721828 2.24089143081 5.44789481546 112.63 0.11464 0.23802 -1856.48 3718.96 -2.49366e-06
1725.82333642 2.37294949219 5.29998417516 116.69 0.11563 0.22175 -2085.15 4176.3 -5.12932e-05
1691.5504283 2.40070230331 5.36473214711 113.57 0.11429 0.22083 -2128.57 4263.14 -6.70945e-07
1691.39130514 2.36465037237 5.26518713715 116.23 0.11853 0.22669 -2025.08 4056.16 -0.000204431
1796.71438236 2.27640537235 5.35220286378 121.34 0.11084 0.22189 -2104.19 4214.38 -0.000546942
1692.55373666 2.3105361102 5.47134859188 114.82 0.11191 0.22737 -2098.76 4203.52 -1.10304e-05
1728.33842161 2.55419389283 4.92538705554 117.44 0.12249 0.20968 -2037.77 4081.54 -1.67951e-06
1594.5675337 2.56431323619 4.90962518137 112.65 0.13414 0.22527 -1883.47 3772.94 -1.02359e-06
1599.51354509 2.28229082663 5.45983190359 112.61 0.12114 0.24402 -1940.46 3886.92 -8.69497e-06
1818.11077499 2.29432144625 5.37944245992 121 0.11044 0.22138 -2171.97 4349.94 -1.04527e-07
1635.17161254 2.40389602585 5.18845526818 114.27 0.12221 0.22818 -1955.29 3916.58 -3.5906e-05
1658.94061983 2.29308148125 5.32463173025 116.46 0.11517 0.22871 -1948.88 3903.76 -1.83347e-05
1859.51367057 2.518796127 4.94715566828 122.49 0.12366 0.21067 -2155.85 4317.7 -2.11296e-06
1916.35547634 2.32015654855 5.34116533493 123.92 0.10779 0.2125 -2296.75 4599.5 -3.29553e-05
1780.8280513 2.41360887568 5.23298294916 118.29 0.11337 0.21479 -2170.71 4347.42 -0.000221388
1627.41012029 2.52299746786 5.00068809443 113.68 0.12587 0.21888 -1922.92 3851.84 -0.00021841
1773.42238439 2.38749472428 5.20775320498 119.33 0.11547 0.21796 -2102.66 4211.32 -0.000779065
1600.06753778 2.20795157572 5.57210018357 113.36 0.11359 0.24155 -1933.99 3873.98 -0.00376749
1759.09417902 2.22348381203 5.53212076434 118.89 0.10992 0.23064 -2123.33 4252.66 -9.05899e-05
1652.40299797 2.38796265582 5.28940608638 113.78 0.12019 0.22858 -2015.11 4036.22 -1.18297e-05
1526.5612595 2.43809512239 5.2058203148 109.25 0.12985 0.23871 -1851.76 3709.52 -8.99584e-05
1844.01959002 2.32616243471 5.29816080957 122.21 0.10944 0.21473 -2178.71 4363.42 -0.000168152
1828.07644911 2.51880910815 4.99065879496 120.74 0.12324 0.21256 -2149.24 4304.48 -1.20286e-05
1709.56398655 2.16906707884 5.52413425232 119.34 0.10954 0.23577 -1992.48 3990.96 -0.000821497
1608.74070891 2.21753055739 5.51600182371 114.24 0.11355 0.24079 -1928.25 3862.5 -3.75357e-05
