"D" "ssb0" "ssb1" "sigmass" "se.D" "se.ssb0" "se.ssb1" "se.sigmass" "logLik" "AIC" "maxgrad"
1743.12505368 160.638401192 2.43562832346 8.92492460784 117.14 0.84171 0.075343 0.28357 -3831.16 7670.32 -0.00439282
1678.97497422 158.693938372 2.33072983573 9.06361407161 115.88 0.86951 0.077667 0.30787 -3616.49 7240.98 -1.27652e-05
1477.48657743 159.321255186 2.30039276719 8.57861978737 106.55 0.86306 0.075595 0.28874 -3381.46 6770.92 -5.63172e-05
1724.20927868 160.162893849 2.39891444736 8.60612455504 116.65 0.82259 0.074068 0.27297 -3807.89 7623.78 -2.60376e-06
1700.90917455 158.866264828 2.28405035204 9.20948539133 114.16 0.87057 0.074331 0.29925 -3858.12 7724.24 -4.55198e-06
1609.4144277 157.894503069 2.20682480312 8.62098162215 111.45 0.79395 0.070462 0.27241 -3776.99 7561.98 -4.81936e-05
1577.57497057 159.980840622 2.41537709348 9.17781405468 111.94 0.89976 0.080061 0.31313 -3436.36 6880.72 -6.28801e-07
1569.3871935 159.155062582 2.32233796256 8.98869914968 110.5 0.84069 0.074453 0.29394 -3638.02 7284.04 -0.000177135
1549.74149393 160.63758515 2.43204192703 9.38466004369 109.67 0.90496 0.079282 0.31542 -3513.28 7034.56 -0.000502148
1857.62635181 159.957763926 2.39437088481 9.03960995793 120.97 0.83754 0.074275 0.28269 -4084.55 8177.1 -6.04083e-07
1807.238608 160.782170784 2.47888820536 9.3807788308 119.81 0.84557 0.076251 0.28431 -4124.96 8257.92 -2.73464e-05
1733.90137523 160.609950488 2.48617685925 9.46302062023 118.04 0.94327 0.083858 0.3184 -3686.15 7380.3 -0.00118797
1597.50915679 159.95044436 2.43098725749 8.96883519363 113.54 0.90956 0.081969 0.30251 -3426.18 6860.36 -1.23872e-05
1664.7222272 160.018390381 2.40730055815 8.98873337343 114.87 0.90921 0.080171 0.30878 -3533.7 7075.4 -0.000414357
1646.13785263 160.450371746 2.40277539002 8.97677664508 112.87 0.862 0.075637 0.29458 -3702.22 7412.44 -0.00280903
1889.68268869 158.095854493 2.28207383699 9.1659570494 122.41 0.83574 0.07291 0.28695 -4157.02 8322.04 -0.000372829
1518.17879823 163.216817727 2.64235721393 9.29965413637 109.67 1.0062 0.089354 0.32502 -3254.84 6517.68 -6.80448e-06
1839.41262367 159.068689894 2.32040734552 8.89811428554 120.12 0.78926 0.07063 0.27258 -4164.79 8337.58 -0.000324104
1545.09630922 160.119792801 2.42807595278 8.99904537748 111.02 0.89609 0.080856 0.30694 -3406.87 6821.74 -3.36256e-05
1717.90719914 160.492468829 2.42485520051 9.24507291991 115.89 0.87179 0.07734 0.2987 -3836.65 7681.3 -4.22361e-07
