"D" "ssb0" "ssb1" "sigmass" "se.D" "se.ssb0" "se.ssb1" "se.sigmass" "logLik" "AIC" "maxgrad"
1768.19139694 161.138594793 2.47898359299 8.64616589049 147.21 1.0185 0.1084 0.37135 -2648.77 5305.54 -0.000640909
1790.61400667 158.793068331 2.43914674953 9.04693560217 158.19 1.0912 0.11723 0.42222 -2474.23 4956.46 -3.15204e-05
1484.71607512 157.793338074 2.23809053041 9.15412586623 142.76 1.0847 0.11764 0.40707 -2374.49 4756.98 -8.76284e-06
1705.38812997 159.886617685 2.36665242975 8.67683812086 144.78 1.0055 0.10732 0.37462 -2670.89 5349.78 -1.23816e-05
1817.36339097 158.740676528 2.35452533937 8.74210421475 156.58 1.0336 0.11011 0.38848 -2598.4 5204.8 -2.01365e-06
1542.87029812 158.352817531 2.16452125134 8.40580835714 140.65 0.98663 0.10472 0.35122 -2642.66 5293.32 -1.15691e-06
1773.24134596 159.372146334 2.58959596281 9.55658280506 161.61 1.1295 0.13344 0.4465 -2378.37 4764.74 -1.03265e-05
1381.31729299 159.55491365 2.15493332223 8.88093149463 132.03 1.0895 0.10557 0.3855 -2529.17 5066.34 -7.16208e-05
1474.30944903 160.948394256 2.3808771671 9.55388482451 140.84 1.2178 0.11802 0.43111 -2432.73 4873.46 -1.07665e-05
1929.88312025 159.203556106 2.40399247911 9.00612799152 160.22 1.009 0.11179 0.38478 -2806.03 5620.06 -4.3337e-06
1858.73496988 159.963135404 2.47283407176 9.41533956627 155.99 1.0055 0.11179 0.38236 -2929.1 5866.2 -1.86045e-05
1753.82332549 159.598446893 2.45020190327 9.69995818373 158.05 1.2044 0.12393 0.43354 -2503.93 5015.86 -3.79149e-05
1542.66449821 160.300718965 2.38159094692 8.63149582442 139.31 1.156 0.11176 0.39502 -2358.47 4724.94 -2.4991e-05
1727.36090263 159.290277723 2.41735761705 8.96518167457 154.06 1.128 0.11939 0.4276 -2384.27 4776.54 -5.35235e-06
1675.18458687 160.058019165 2.41371929584 9.15042163609 147.78 1.0897 0.11656 0.41206 -2571 5150 -0.000918394
1960.77827964 156.635937045 2.25315714922 9.38014517213 168.49 1.0341 0.11073 0.39943 -2843.1 5694.2 -0.000336596
1542.36088783 163.38107397 2.66445926068 8.9300087802 136.22 1.2035 0.12722 0.43804 -2237.73 4483.46 -5.77502e-06
1727.97806959 158.987828776 2.22067953161 8.87512176209 146.05 0.97281 0.099923 0.363 -2897.81 5803.62 -1.65071e-07
1612.0292544 159.973313321 2.48413395866 8.9161720526 145.27 1.1026 0.11432 0.41203 -2383.74 4775.48 -1.4284e-05
1913.25404835 160.744840234 2.60706866438 8.89278018948 158.99 1.0369 0.11609 0.3894 -2642.26 5292.52 -2.08287e-05
1630.25865611 159.093204852 2.22001583927 8.89109098648 145.12 1.0395 0.10412 0.36924 -2736.31 5480.62 -1.12697e-05
1783.8101617 160.973201362 2.59736298934 9.64564821518 154.35 1.1363 0.12548 0.43315 -2574.68 5157.36 -0.00162092
1881.99669393 160.546385797 2.57744805048 9.31056887817 159.77 1.0692 0.11981 0.41183 -2687.4 5382.8 -7.41548e-05
1629.75890541 158.883113741 2.23104963124 8.89106642945 144.15 1.0718 0.10631 0.39344 -2600.49 5208.98 -0.00019168
1820.03169754 160.659794393 2.5305179552 8.62533274056 149.98 0.97638 0.1154 0.36676 -2762.06 5532.12 -2.0013e-05
1733.79182505 158.585373253 2.43414845615 8.5109193984 152.27 1.026 0.11608 0.39097 -2382.68 4773.36 -4.76147e-06
1737.1100518 160.350798342 2.54469421036 8.8144284524 153.55 1.1788 0.12608 0.4383 -2277.32 4562.64 -5.35947e-05
1808.66793705 160.858971039 2.46718107085 9.00968365402 151.39 1.0786 0.11283 0.39405 -2708.75 5425.5 -9.30675e-05
1572.97003082 160.139026043 2.35430171618 8.85463043028 143.99 1.1045 0.1139 0.39515 -2483.89 4975.78 -2.7128e-06
1581.21292028 161.629572417 2.47936261813 9.1366663018 140.62 1.1497 0.11388 0.40748 -2530.16 5068.32 -2.81861e-05
2056.93752606 159.629247934 2.57397882048 8.86165552753 170.02 1.0262 0.11711 0.3859 -2681.92 5371.84 -2.90866e-06
1905.32642185 160.53478919 2.45759716538 9.36778725694 156.45 1.0251 0.10807 0.38803 -2955.47 5918.94 -6.73362e-05
1789.70492395 160.952137327 2.45088230376 8.90346965358 147.29 0.97462 0.10678 0.36539 -2887.63 5783.26 -7.08898e-05
1663.31555167 161.569612083 2.5118384648 8.2569034085 139.24 0.94027 0.10988 0.35711 -2572.35 5152.7 -7.73377e-06
1904.36168407 160.176585095 2.53015433266 8.60448025012 154.08 0.99246 0.11435 0.38246 -2677.78 5363.56 -2.87809e-05
1743.52265244 160.156402929 2.59563023004 9.65181728314 156.06 1.1635 0.1297 0.44449 -2410.07 4828.14 -7.43951e-05
1981.70825647 158.650114952 2.51473313893 8.94568473442 163.38 0.99928 0.11738 0.39289 -2637.05 5282.1 -5.51441e-05
1642.4625042 160.167390053 2.38077746629 8.97362961222 148.05 1.0887 0.11305 0.39272 -2530.25 5068.5 -8.80917e-07
1661.1774793 160.782911932 2.53700666955 8.29429892092 142.74 1.0503 0.11547 0.39814 -2287.34 4582.68 -0.00020897
1931.14221731 161.246460485 2.60467922892 9.28765292426 157.44 1.013 0.11708 0.38577 -2848.79 5705.58 -0.00105348
1784.27479983 159.587652944 2.31363021938 8.26045388901 146.93 0.98582 0.10057 0.36094 -2701.89 5411.78 -0.000207097
1622.95322611 159.486342799 2.38074290192 9.6745394042 150.51 1.1754 0.12543 0.44035 -2503.32 5014.64 -3.62325e-06
1754.46150144 159.181224771 2.5137195967 9.01805767377 157.15 1.0688 0.11955 0.4065 -2432.26 4872.52 -0.000250645
1760.31909763 158.963067822 2.3706945708 8.70345449838 151.33 1.0382 0.10904 0.38846 -2556.77 5121.54 -8.96702e-05
1810.5612612 160.506870156 2.45879789734 9.14115350634 153.77 1.088 0.11512 0.39922 -2690.37 5388.74 -1.58938e-06
1875.22131612 159.120937575 2.37907147755 8.23334365073 155.49 0.98832 0.10292 0.36102 -2666.44 5340.88 -0.000660864
1905.27446413 160.018253876 2.55646013442 9.62181749962 164.51 1.1452 0.12441 0.43483 -2611.3 5230.6 -1.91607e-05
1754.07584999 158.69750908 2.51260081294 8.89153164741 158.52 1.1297 0.12563 0.4305 -2249.94 4507.88 -0.00286368
1484.91543419 159.079404121 2.26717679681 8.50826659496 136.61 1.0973 0.11222 0.4024 -2248.77 4505.54 -4.06932e-06
1797.61613674 159.638753187 2.45027396203 9.40449906527 155.67 1.1029 0.11901 0.41635 -2676.4 5360.8 -2.16737e-06
1554.71248025 161.539048223 2.41074579571 8.85281033741 137.16 1.0857 0.10731 0.38062 -2585.93 5179.86 -0.000143309
1854.78365133 159.847509481 2.47862109253 9.07340970865 157.55 1.0597 0.11799 0.39438 -2636.8 5281.6 -1.45478e-05
2089.14267987 159.306668216 2.49914157712 8.65627787437 166.2 0.97567 0.11311 0.37517 -2799.86 5607.72 -7.06839e-05
1542.89929099 161.192182179 2.4172139692 9.10262564021 140.84 1.1995 0.11357 0.40662 -2438.2 4884.4 -6.47487e-06
1764.16568354 159.393941528 2.28828003542 8.74453430471 147.53 0.92245 0.10111 0.35038 -2932.38 5872.76 -0.000336614
1929.10573621 159.772698345 2.3908150022 8.48478702769 153 0.88506 0.098425 0.3355 -3046.43 6100.86 -0.00035978
2116.79351922 158.030125836 2.36125799254 8.50285074012 169.53 0.92751 0.10243 0.35132 -2935.72 5879.44 -1.78358e-05
1545.08479108 159.322202966 2.27791368887 9.05336203342 144.92 1.1235 0.11572 0.39698 -2511.83 5031.66 -1.09062e-05
1734.08799295 163.003358634 2.71018517311 9.68096575935 151.6 1.1616 0.12851 0.44159 -2530.14 5068.28 -3.9126e-05
1811.63061534 160.820851292 2.42185920524 8.46938742938 147.02 0.92088 0.10113 0.34884 -2927.13 5862.26 -5.9768e-05
1952.17011528 160.700252984 2.4596412926 8.75200406707 158.02 0.97495 0.10553 0.36581 -2913.03 5834.06 -3.62276e-05
1949.65286106 160.417525737 2.52383225039 8.89017387036 157.81 1.0129 0.11398 0.38084 -2768.17 5544.34 -4.41357e-05
1618.24193089 160.847444703 2.49998744153 9.1970036899 145.41 1.1058 0.1202 0.41152 -2467.09 4942.18 -3.79285e-05
1773.93141679 160.283881007 2.3357327183 8.36379718416 145.68 0.9725 0.098707 0.34286 -2867.26 5742.52 -0.000164535
1633.7157087 160.474894673 2.38700631417 9.01134115947 144.26 1.0858 0.10931 0.38166 -2681.04 5370.08 -6.52929e-06
1556.35627028 161.196771477 2.40007841633 9.05168371402 137.21 1.0593 0.11599 0.40139 -2554.78 5117.56 -2.59197e-07
1548.12302807 159.176991987 2.27909757221 9.06567857918 144.14 1.1183 0.11677 0.4051 -2479.11 4966.22 -1.17221e-05
1337.54503292 162.109932199 2.42608234007 9.32134915241 126.5 1.2389 0.11539 0.42342 -2314.75 4637.5 -0.00062904
1616.32029074 160.052162902 2.28130506904 9.07400835478 142.93 0.98074 0.10835 0.36903 -2834.6 5677.2 -1.29616e-05
1597.11849869 159.465323149 2.28921239143 8.33713712965 137.24 0.88522 0.10354 0.332 -2741.7 5491.4 -2.94191e-05
