"D" "ssb0" "ssb1" "sigmass" "sigmatoa" "se.D" "se.ssb0" "se.ssb1" "se.sigmass" "se.sigmatoa" "logLik" "AIC" "maxgrad"
1830.06392228 160.587134257 2.51254342069 8.91376371798 0.00194831102363 133.79 0.939 0.095003 0.32383 0.00011365 -1097.28 2204.56 -0.000174345
1680.8555239 158.982928875 2.35030648735 9.04194583541 0.00185592096691 128.03 0.99465 0.094097 0.35383 0.00012594 -1106.98 2223.96 -3.68222e-05
1502.53034914 158.875018556 2.30449082209 8.72897198921 0.00190358321328 118.79 0.96562 0.09422 0.33242 0.000122 -939.105 1888.21 -1.17297e-05
1720.21345834 160.004020771 2.38688169243 8.65133928055 0.00188824794689 126.59 0.91499 0.089828 0.31361 0.0001128 -1065.17 2140.34 -6.58992e-06
1693.87234326 158.91524438 2.27465280838 9.08265798294 0.00173285691907 126.16 0.9848 0.091541 0.34064 0.00010885 -1119.48 2248.96 -1.36674e-05
1666.72378323 158.604992751 2.29206948213 8.34833117778 0.00186106737798 124.34 0.88135 0.088303 0.2945 0.00010573 -963.404 1936.808 -2.43432e-06
1629.02503104 159.683203635 2.46369182391 9.49418319447 0.00183844026669 127.82 1.0442 0.10167 0.37494 0.00011899 -1041.77 2093.54 -1.36689e-05
1506.91259969 159.315367774 2.26261523918 8.81511598302 0.00172408066712 114.91 0.92803 0.088305 0.32449 0.00010128 -965.866 1941.732 -3.14772e-05
1506.10212262 160.65177618 2.39585716076 9.55553515415 0.00175145986048 118.17 1.0483 0.098845 0.36726 0.00011556 -1033.35 2076.7 -2.69063e-05
1874.50730497 159.561817337 2.38086382892 8.99883624511 0.00190774970821 134.61 0.9394 0.091779 0.3257 0.00011251 -1188.25 2386.5 -4.82844e-06
1772.64205601 160.363639933 2.42748695782 9.52713240165 0.00192137192268 129.57 0.94714 0.092754 0.32633 0.00010439 -1141.76 2293.52 -1.76433e-05
1675.03892431 160.226918866 2.40702453938 9.49803086034 0.00177067562834 126.81 1.0655 0.10094 0.36692 0.00011605 -1141.12 2292.24 -7.88934e-05
1571.1333848 159.341045875 2.36887813123 9.06518408791 0.00196267491703 124.4 1.0417 0.10027 0.34906 0.00012571 -983.307 1976.614 -3.04545e-06
1693.88710106 159.553576836 2.40432886679 8.98462880173 0.00194471221904 129.75 1.0302 0.099303 0.36291 0.00013393 -1097 2204 -1.07859e-06
1650.7779988 160.167869133 2.39555079323 9.11245907695 0.00195715616491 125.14 0.98482 0.095274 0.34528 0.00012387 -1102.81 2215.62 -0.000269808
1930.4815785 156.86788704 2.24833837022 9.43776517162 0.00188231236709 141.12 0.95178 0.091792 0.33815 0.00011921 -1263.97 2537.94 -0.000631742
1519.10710691 163.039970657 2.62810927169 9.22333823977 0.00196883147008 119.65 1.1315 0.10802 0.37737 0.00013551 -996.23 2002.46 -3.86373e-05
1795.87819732 158.831324139 2.26737914835 8.86858668098 0.00191807439931 129.11 0.87213 0.085444 0.30658 0.00010845 -1162.85 2335.7 -0.00158285
1543.15059309 160.442404053 2.44458300684 8.94232096358 0.00185885536963 120.95 1.0089 0.096403 0.34901 0.00012483 -989.923 1989.846 -2.08478e-05
1767.59049556 161.237560307 2.50417207419 8.90238724531 0.00191436665409 129.4 0.97388 0.093458 0.33105 0.0001202 -1114.27 2238.54 -5.5147e-06
1620.86906054 158.929437617 2.19988518196 8.85526993581 0.00180004762207 120.71 0.90782 0.085505 0.31217 9.8761e-05 -1066.75 2143.5 -7.59141e-05
