"D" "shape" "scale" "se.D" "se.shape" "se.scale" "logLik" "AIC" "maxgrad"
1876.7932932 2.69664663071 4.51281236378 185.11 0.24052 0.41549 -802.646 1611.292 -1.71791e-06
1848.71480438 2.12358198376 5.37934425932 191.26 0.18993 0.49356 -793.272 1592.544 -6.49923e-06
1371.86562644 2.14911520002 6.08497290676 161.22 0.18788 0.56147 -737.625 1481.25 -3.57376e-06
1629.01534193 2.3334290916 5.53537238182 179.95 0.19937 0.51655 -819.466 1644.932 -2.81292e-06
1747.90463179 2.24422526847 5.54487518363 182.52 0.20451 0.52179 -825.493 1656.986 -8.77645e-06
1531.01765439 2.57014787893 5.19038703823 167.19 0.22607 0.48056 -793.273 1592.546 -4.10331e-05
1735.12053146 2.33303279206 4.99933552678 186.82 0.21401 0.48429 -735.221 1476.442 -0.00064769
1372.22799895 2.20542917138 6.16410023743 159 0.19748 0.57796 -775.763 1557.526 -0.000345912
1590.9799709 2.16724033739 5.64226315586 175.11 0.19267 0.53002 -758.015 1522.03 -7.27513e-05
1766.49091227 2.33943587902 5.52745304229 183.16 0.20953 0.51361 -874.048 1754.096 -3.83288e-05
1659.60945792 2.35555456085 5.59260093339 175.25 0.19392 0.47867 -873.349 1752.698 -8.03088e-06
2000.42406769 2.59678450079 4.39390088104 195.93 0.24628 0.42247 -776.676 1559.352 -7.2155e-05
1634.1185728 2.54525753083 4.82863638879 177.21 0.25101 0.48208 -729.456 1464.912 -4.79857e-05
1820.12715861 2.16878979714 5.32926241561 188.29 0.20575 0.51997 -768.142 1542.284 -8.18524e-05
1615.60139359 2.19088176701 5.75568615246 180.36 0.19637 0.53376 -808.286 1622.572 -6.33722e-05
1835.99539042 1.84125706523 6.565655788 197.46 0.15121 0.56544 -927.621 1861.242 -7.12942e-05
1535.070439 2.31606066891 5.30631836959 169.26 0.22436 0.51621 -703.86 1413.72 -0.000104012
1635.67753722 2.1867965983 6.11795159082 175.53 0.17807 0.51696 -897.058 1800.116 -4.32745e-05
1594.89671801 2.24435937468 5.35789798264 173.17 0.20118 0.4776 -742.052 1490.104 -6.83958e-05
1909.86397287 2.55789345329 4.64991956539 186.59 0.22881 0.41993 -808.809 1623.618 -1.68339e-05
1657.1292429 2.42884126715 5.38641999276 176.76 0.20757 0.481 -831.724 1669.448 -2.8137e-06
1666.29927843 2.29425517645 5.45028857293 179.91 0.21205 0.52354 -795.278 1596.556 -3.33603e-05
1835.68415248 2.23336109029 5.35809679451 191.54 0.19654 0.50579 -836.832 1679.664 -7.16984e-07
1608.81344926 2.15928494687 5.97129245921 178.38 0.18413 0.53283 -821.453 1648.906 -2.58547e-06
1688.6420796 2.54503051559 5.01792284474 180.29 0.21917 0.47447 -827.017 1660.034 -0.000823657
1692.03328784 2.42420170513 4.94269015365 178.13 0.22321 0.46988 -743.57 1493.14 -3.83887e-07
1926.81016885 2.31610794811 4.75503020477 196.72 0.23527 0.48763 -738.82 1483.64 -0.000200737
1811.57691009 2.37611916863 5.24047481846 183.9 0.20615 0.45494 -841.294 1688.588 -0.00471953
1678.73722245 2.45362110584 5.01214848922 176.22 0.22383 0.46271 -768.786 1543.572 -0.000159961
1567.84697275 2.4773069194 5.18956488154 170.1 0.22774 0.47693 -774.474 1554.948 -8.11249e-06
2079.28810707 2.63542954113 4.41123194719 194.29 0.24069 0.40778 -836.217 1678.434 -3.29397e-06
1735.74901819 2.30683866823 5.72783824088 178.31 0.19226 0.49094 -903.967 1813.934 -6.28118e-05
1659.68040146 2.68923568886 5.01201647387 176.46 0.23647 0.46169 -852.085 1710.17 -0.000116327
1501.22059515 2.67229070769 5.02956541009 165.51 0.24579 0.49298 -756.922 1519.844 -0.00393182
1713.2156621 2.27011379498 5.55180755086 185.89 0.20241 0.52998 -834.599 1675.198 -0.00108871
1736.92656072 2.12613020612 5.43716368721 187.57 0.18929 0.52207 -753.238 1512.476 -0.000188652
1915.19470038 2.29348257967 5.09599059106 191.09 0.19642 0.4644 -826.076 1658.152 -0.0143141
1780.45222184 2.61019777316 4.67062019764 178.21 0.24455 0.44468 -777.004 1560.008 -9.64216e-05
1718.64304252 2.64991980327 4.47953358833 179.06 0.25942 0.44895 -708.108 1422.216 -2.32861e-05
1854.63124042 2.58677783464 4.83340108856 186.7 0.22373 0.43566 -850.392 1706.784 -1.88777e-05
1755.25022528 2.42951321798 5.28362259759 179.75 0.2152 0.4793 -847.691 1701.382 -0.00122292
1631.09681186 2.08929782052 5.87014049265 183.28 0.18781 0.56356 -788.324 1582.648 -9.68294e-05
1740.34644715 2.28478609254 5.10747996825 182.04 0.20036 0.45623 -755.825 1517.65 -0.000247454
1693.56617505 2.31573424167 5.39770866562 179.73 0.20657 0.48673 -796.341 1598.682 -1.11134e-05
1812.83511616 2.4479603739 5.09713473736 186.37 0.22197 0.47378 -834.529 1675.058 -7.18969e-05
2014.24946057 2.34418960823 4.91903688785 198.99 0.20443 0.45423 -849.398 1704.796 -7.60084e-07
2062.84081995 2.04094818755 5.3683621256 204.98 0.17775 0.50422 -835.874 1677.748 -2.7532e-06
1750.06054898 2.3644724538 4.8684205231 183.31 0.23139 0.47578 -714.411 1434.822 -0.00126414
1567.06911879 2.42745785957 5.10127348156 171.25 0.23329 0.50021 -710.366 1426.732 -5.79187e-06
1711.53733255 2.18482354434 5.69694346042 183.61 0.19685 0.5559 -835.315 1676.63 -0.00293888
1722.40975818 2.45030123614 4.96158541846 179.62 0.20751 0.45108 -771.537 1549.074 -1.28188e-05
