"D" "sigma" "sigmatoa" "se.D" "se.sigma" "se.sigmatoa" "logLik" "AIC" "maxgrad"
1616.34950533 8.84173939605 0.00189653359683 147.57 0.34306 0.00011248 656.399 -1306.798 -0.00191902
1487.30807248 9.03476910358 0.00187293263121 141.56 0.36999 0.00013195 496.909 -987.818 -5.01867e-06
1208.51448412 9.64996291924 0.0018773145094 122.84 0.42305 0.00012025 610.822 -1215.644 -0.00262132
1422.28451169 9.449186491 0.00186602278629 135.31 0.38835 0.00011537 689.049 -1372.098 -6.61791e-06
1362.18898415 9.84052003817 0.00168966741154 129.51 0.40569 0.00010751 584.558 -1163.116 -3.35193e-06
1409.15889921 9.28210655128 0.00183477332771 130.3 0.35495 0.00010699 785.169 -1564.338 -0.000167423
1313.72087892 9.39344564124 0.0018209560082 132.06 0.41216 0.00011894 521.179 -1036.358 -1.31334e-05
1261.36792064 9.70276785805 0.00169054102384 118.22 0.37108 9.9942e-05 701.532 -1397.064 -3.61678e-06
1309.3425514 9.43826964648 0.00169738443301 128.28 0.39484 0.00011342 568.058 -1130.116 -2.67478e-06
1521.58120583 9.53109931369 0.00184635919886 140.46 0.3831 0.00010895 656.277 -1306.554 -1.43054e-06
1353.88467296 9.99695174985 0.00190599762639 126.6 0.40229 0.000106 819.849 -1633.698 -4.37409e-06
1536.02274509 9.00151218384 0.00178654707139 145.25 0.36884 0.00012367 498.506 -991.012 -0.00242186
1350.93029502 9.21247129387 0.00193554673955 134.41 0.39721 0.00012809 574.656 -1143.312 -0.000186473
1503.47514466 8.95247032527 0.00191497562807 147.86 0.39014 0.00013415 453.674 -901.348 -2.60448e-06
1423.76541196 9.29836520613 0.00192560882795 137.94 0.39225 0.00012609 579.37 -1152.74 -4.88238e-05
1710.45415298 8.97103952574 0.00184212522458 154.09 0.35128 0.00011883 590.019 -1174.038 -2.99291e-05
1329.97543408 9.08841062374 0.00192524195475 136.04 0.40719 0.00013252 468.251 -930.502 -0.00496853
1528.5198752 9.48313308383 0.00190691930024 137.43 0.3622 0.0001091 750.81 -1495.62 -9.26212e-05
1316.64023397 9.22324776279 0.00183449108127 130.5 0.39038 0.00012883 567.767 -1129.534 -2.07344e-05
1493.71612035 9.2471822885 0.00185707029199 139.54 0.3708 0.00011753 622.243 -1238.486 -7.71564e-05
1308.33062195 10.0774019698 0.00181069958471 125.15 0.41889 0.00010312 739.038 -1472.076 -4.34242e-05
1347.52845325 9.63263024514 0.00166959403525 130.29 0.40286 0.00010491 599.545 -1193.09 -5.13626e-05
1508.40315071 9.21643881607 0.0016548346693 138.35 0.35745 0.00010098 637.816 -1269.632 -0.0014389
1409.42981128 9.54844002822 0.00181314511738 135.8 0.40257 0.0001172 596.188 -1186.376 -4.28549e-06
1446.34349857 9.33146698918 0.00182776459523 133.77 0.36315 0.00011076 780.18 -1554.36 -0.000147399
1315.33116465 9.41268145869 0.0018668554258 128.97 0.39461 0.00012466 557.092 -1108.184 -0.00125835
1621.09833027 8.39092724322 0.00186500789812 155.82 0.35097 0.00014174 400.104 -794.208 -2.14446e-05
1482.63439228 9.47382817842 0.00190094519015 139.89 0.39097 0.00011684 609.995 -1213.99 -0.00318066
1369.457653 9.34119495574 0.00170286560963 131.2 0.37979 0.00010904 592.221 -1178.442 -1.16314e-05
1418.58468765 9.12179528384 0.00196083349002 135.24 0.36832 0.00012404 612.739 -1219.478 -1.80866e-05
1624.6838543 9.03549217531 0.00183700832324 148.56 0.35687 0.00012083 568.54 -1131.08 -8.97512e-05
1471.03749762 9.83653483648 0.00182421058259 134.88 0.39169 0.00010307 712.881 -1419.762 -3.81838e-05
1436.72601312 9.65229022536 0.0017642462824 130.25 0.36778 9.8396e-05 819.74 -1633.48 -6.42586e-06
1321.48632336 9.54140986635 0.0019050470923 127.21 0.38996 0.00011025 757.271 -1508.542 -3.35921e-05
1402.12982568 9.64988839917 0.00164453667351 131.25 0.38677 9.897e-05 659.506 -1313.012 -5.60262e-06
1378.1319003 9.2051485594 0.00202049310616 137.89 0.40447 0.00013735 525.628 -1045.256 -0.00020432
1547.90340711 9.07490464941 0.00178156847608 141.9 0.3528 0.00011495 600.771 -1195.542 -0.000188535
1431.90665787 9.26678044082 0.00169048949838 133.43 0.36264 0.0001056 615.345 -1224.69 -0.000151392
1365.55793485 9.10174343639 0.00205508817741 138.44 0.40598 0.00013625 508.098 -1010.196 -0.00176849
1501.93175563 9.44682401745 0.00179185482008 136.91 0.36669 0.00010394 743.55 -1481.1 -3.86278e-05
