"D" "g0" "sigma" "sigmatoa" "logLik" "AIC" "maxgrad"
1616.34955978 0.999999994952 8.84173926106 0.00189653370786 656.399 -1304.798 -0.000397306
1487.3080358 0.99999999247 9.03476936349 0.00187293265896 496.909 -985.818 -0.00377789
1208.51456802 0.999999993558 9.64996286715 0.00187731443169 610.822 -1213.644 -9.55205e-05
1422.28450816 0.999999993067 9.4491865226 0.00186602278074 689.049 -1370.098 -5.92097e-06
1362.18901508 0.999999993443 9.84052012575 0.00168966742264 584.558 -1161.116 -0.00285838
1409.15889015 0.999999995372 9.28210658101 0.00183477332771 785.169 -1562.338 -0.000181207
1313.72087922 0.999999992241 9.39344563733 0.00182095602486 521.179 -1034.358 -0.000561394
1261.36792379 0.999999993779 9.70276788032 0.00169054102939 701.532 -1395.064 -0.000187228
1309.34254514 0.99999999284 9.43826968581 0.00169738442746 568.058 -1128.116 -6.9487e-05
1521.5812044 0.999999994456 9.53109933092 0.00184635919886 656.277 -1304.554 -5.28267e-05
1353.88467617 0.999999995145 9.9969517561 0.00190599762639 819.849 -1631.698 -2.19527e-05
1536.0227851 0.999999993032 9.00151199444 0.00178654715466 498.506 -989.012 -0.000526346
1350.93029581 0.999999993521 9.2124713015 0.00193554673955 574.656 -1141.312 -3.65121e-06
1503.47514416 0.99999999238 8.95247034576 0.00191497563362 453.674 -899.348 -4.57617e-06
1423.76540843 0.999999993592 9.29836522896 0.00192560882795 579.37 -1150.74 -1.36989e-05
1710.45415312 0.999999993368 8.97103954625 0.00184212522458 590.019 -1172.038 -2.80015e-05
1329.97566874 0.999999992704 9.088409879 0.00192524188258 468.251 -928.502 -8.58366e-05
1528.51987512 0.999999995112 9.48313309434 0.00190691929469 750.81 -1493.62 -2.13898e-05
1316.6402309 0.999999992856 9.22324778839 0.00183449108682 567.767 -1127.534 -5.83016e-05
1493.71611648 0.999999994479 9.24718231564 0.00185707029199 622.243 -1236.486 -2.12875e-05
1308.33061997 0.999999994699 10.0774020057 0.00181069958471 739.038 -1470.076 -0.000235071
1347.52846294 0.999999993754 9.63263035922 0.00166959403525 599.545 -1191.09 -0.0023481
1508.40316366 0.999999993834 9.21643875194 0.00165483461934 637.816 -1267.632 -4.95164e-05
1409.42980739 0.999999993448 9.54844005265 0.00181314512293 596.188 -1184.376 -7.08037e-05
1446.34349787 0.999999994839 9.3314670123 0.00182776458413 780.18 -1552.36 -1.39191e-05
1315.33116365 0.999999993139 9.41268141784 0.0018668554147 557.092 -1106.184 -2.2919e-05
1621.09833319 0.999999991293 8.39092725941 0.00186500789812 400.104 -792.208 -2.92504e-05
1482.63443467 0.999999993903 9.4738279958 0.00190094522901 609.995 -1211.99 -0.000699229
