"D" "sigma" "z" "sigmatoa" "se.D" "se.sigma" "se.z" "se.sigmatoa" "logLik" "AIC" "maxgrad"
1825.85208682 10.1818011734 5.11315626406 0.00191968965165 147.64 0.23018 0.29515 0.00011313 698.092 -1388.184 -4.20676e-06
1518.01879553 10.0932394645 4.23003303726 0.00198043927351 138.48 0.31317 0.25135 0.00014772 505.173 -1002.346 -4.39517e-05
1365.51049651 10.5328758935 4.51001551009 0.00196205397764 126.35 0.28242 0.2695 0.00013023 626.301 -1244.602 -0.00523285
1544.78811213 10.1304073989 4.19579783495 0.00226767919211 138.95 0.26497 0.21719 0.00013971 677.972 -1347.944 -0.234295
1375.8358805 10.8158085188 4.0075853514 0.00173771845086 125.45 0.30043 0.22692 0.0001154 597.801 -1187.602 -0.00744704
1656.13273425 10.5573328857 5.20907980849 0.0018723857465 135.34 0.22898 0.302 0.00010898 835.577 -1663.154 -0.000937542
1312.67475068 10.0334781091 3.82766348813 0.00195029035897 130.86 0.35349 0.25441 0.0001525 517.351 -1026.702 -5.28611e-05
1276.27537586 10.5168024196 3.93926570262 0.00181585217906 120.37 0.32638 0.25264 0.00011863 703.367 -1398.734 -1.3517e-05
1334.38336235 10.7468403425 4.32680987592 0.00203231722744 124.24 0.35635 0.29509 0.0001449 569.915 -1131.83 -0.000223914
1623.99369517 10.5777106589 4.35531046608 0.00194596141868 139.33 0.28754 0.26369 0.00012194 680.177 -1352.354 -5.83913e-05
1569.70255079 11.0834825746 4.75928501517 0.00194392508759 130.18 0.25269 0.26579 0.00010935 855.499 -1702.998 -6.76994e-07
1655.30385128 10.400465828 4.80368041535 0.00197214461531 142.45 0.2955 0.31276 0.00015166 519.991 -1031.982 -0.000785768
1373.6005005 10.541254863 4.37227331794 0.00208452650698 128.9 0.31655 0.25015 0.00014233 590.161 -1172.322 -0.000103483
1526.64879174 10.3705798236 4.48537988046 0.0020128029761 138.4 0.31459 0.29868 0.00015557 475.188 -942.376 -8.75521e-05
1526.24985539 10.623244763 4.63737893069 0.00202785987738 132.86 0.29991 0.27854 0.00013486 603.6 -1199.2 -7.85385e-05
1806.88123405 9.92072058855 4.32758614945 0.00194566735854 151.73 0.26606 0.24373 0.00012925 603.54 -1199.08 -3.06017e-05
1414.50004831 10.7134781547 4.90394367904 0.00195177066897 128.58 0.31349 0.32459 0.00013437 496.173 -984.346 -0.00032103
1666.88874164 10.5745368678 4.50940295835 0.00192946877319 137.7 0.25638 0.24032 0.00011205 781.379 -1554.758 -0.000441851
1383.20492225 10.1975035518 4.27699573657 0.00197747095263 128.86 0.30956 0.27078 0.0001557 571.656 -1135.312 -3.76026e-05
1680.93764287 10.757034666 5.14042852713 0.0019919602884 138.44 0.27271 0.3384 0.00013375 656.223 -1304.446 -6.44653e-05
1387.98171207 11.4219702561 4.4382178901 0.0018978705432 123.11 0.34274 0.26343 0.00011182 760.867 -1513.734 -0.00025053
1446.3813009 10.9570596238 4.5734767008 0.0017160992544 129.77 0.32219 0.27729 0.00011074 625.598 -1243.196 -2.34625e-05
1556.70603531 10.3623126613 4.31397427166 0.00180761492759 135.46 0.27365 0.24497 0.00012029 653.892 -1299.784 -5.33032e-05
1509.83816173 10.4105810102 4.24116901773 0.00192097004333 136.28 0.28575 0.24751 0.00013576 609.107 -1210.214 -0.00033385
1669.99786623 10.3373894144 4.80174894853 0.00203864796038 140.47 0.24987 0.29837 0.00013806 806.443 -1604.886 -5.49642e-05
1362.5242826 10.8810329037 4.53351212488 0.00197167153658 123.63 0.32193 0.28784 0.0001386 571.889 -1135.778 -2.43021e-05
1645.35006288 10.1603143701 4.94125479357 0.00188200215187 142.76 0.27524 0.33497 0.00014349 425.575 -843.15 -0.00108398
1587.63783681 10.588077465 4.43156192436 0.00206261256712 139.42 0.30019 0.27198 0.00013483 622.722 -1237.444 -6.27726e-05
1389.42659311 10.8607723637 4.47510348186 0.00183914836164 124.36 0.35783 0.28977 0.00012511 604.911 -1201.822 -9.65605e-05
1541.48940788 9.91462603869 4.32539317132 0.00208107096454 138.3 0.2545 0.24006 0.00013978 621.23 -1234.46 -7.67084e-06
1772.34009999 10.4417129815 4.88026744249 0.00197448154383 145.48 0.2582 0.28818 0.0001335 592.759 -1177.518 -2.92134e-05
1531.51630156 10.2987304233 3.83631811834 0.0019507393925 138.68 0.27491 0.22365 0.00012317 713.2 -1418.4 -0.00318656
1615.04108329 10.5145242353 4.46610450457 0.00198893933206 136.83 0.26309 0.26583 0.00012375 830.878 -1653.756 -0.00579913
1474.46050524 10.8529895 4.81291742201 0.00196110163836 128.07 0.26868 0.29211 0.00011521 792.863 -1577.726 -0.000159007
1493.3784416 10.6803804657 4.31378364728 0.00174763425323 130.72 0.28063 0.24495 0.0001048 674.285 -1340.57 -1.5757e-05
1475.65322227 10.3447073144 4.50095431222 0.00211594288522 136.13 0.30725 0.28683 0.00014701 544.508 -1081.016 -0.00179066
1638.96664212 10.2627806874 4.50421839269 0.00186390521738 139.72 0.27243 0.2579 0.00012521 621.347 -1234.694 -0.000530521
1532.28525799 10.6697270607 4.69939520111 0.00172677633428 132.61 0.27199 0.28418 0.0001088 643.23 -1278.46 -0.00209401
1487.61678512 10.6339522003 4.97360860802 0.00213444413238 133.57 0.30853 0.33005 0.00014387 534.833 -1061.666 -2.63641e-05
1707.09504073 10.779834392 4.97786654461 0.00187985051337 139.39 0.24434 0.29561 0.00011319 783.046 -1558.092 -3.6161e-05
1647.17382112 11.0304317728 4.97111587094 0.00167348939329 134 0.26756 0.29906 0.00010064 685.685 -1363.37 -0.00279549
1385.56349163 10.3864640955 4.07262284929 0.00186689881461 131.28 0.31051 0.25116 0.00012603 560.136 -1112.272 -0.00117015
1344.4271416 10.4679909974 4.15242994414 0.00220717765047 128.85 0.39944 0.28562 0.00017461 554.78 -1101.56 -0.000105614
1430.85511941 10.2803394398 3.99449732765 0.00176993464362 133.96 0.28236 0.23611 0.00011207 611.025 -1214.05 -0.00759192
1625.4209311 10.4071547028 4.43969690157 0.00189355709708 140.02 0.27387 0.23569 0.000114 646.468 -1284.936 -6.25479e-06
1680.65537348 10.610066812 4.7981905368 0.00208154710483 139.94 0.2893 0.28121 0.0001377 617.217 -1226.434 -2.94625e-06
1553.4779826 9.92564502442 3.9596001841 0.00166908206728 143.02 0.27579 0.219 0.0001106 537.237 -1066.474 -6.77881e-06
1443.44551217 11.0120864271 5.13439934215 0.00212696379346 129.63 0.36979 0.37579 0.00015263 480.89 -953.78 -0.000529909
1492.74016877 10.3333947293 4.77608290122 0.00201829424948 135.34 0.29221 0.31985 0.00014387 511.035 -1014.07 -3.21555e-05
1598.61397386 10.271652766 4.40186855013 0.00204302410532 139.35 0.30225 0.26807 0.00013129 633.119 -1258.238 -2.69414e-05
1643.11321874 9.5841752599 4.3229584857 0.00206950411069 144.66 0.26013 0.25225 0.00015072 704.452 -1400.904 -0.00052029
1616.21202845 10.1660575641 4.31551847103 0.00208058314397 141.97 0.26747 0.22472 0.00013241 606.769 -1205.538 -0.00661027
1864.2741355 9.8224449007 4.41010399096 0.00198361381598 156.2 0.25852 0.25163 0.00013615 615.121 -1222.242 -3.07921e-05
1624.19746124 10.2733249631 4.96585301964 0.00206845676315 139.91 0.28231 0.31108 0.00014381 600.474 -1192.948 -0.00328848
1752.17520202 9.9667727513 4.36607890786 0.00195898139219 145.77 0.25606 0.25145 0.00012384 841.331 -1674.662 -7.05007e-05
1729.17330819 10.6198121659 4.6415915774 0.00174130125466 138.89 0.25115 0.24522 0.00010075 918.153 -1828.306 -3.3305e-06
1911.58153292 9.48157212549 4.09753254453 0.00213143929743 159.97 0.28382 0.23104 0.00014243 651.683 -1295.366 -0.000347341
1417.28548212 10.346172004 4.18770634086 0.00179742167801 129.67 0.27639 0.22378 0.00011664 661.584 -1315.168 -0.00147052
