"D" "shape" "scale" "sigmatoa" "se.D" "se.shape" "se.scale" "se.sigmatoa" "logLik" "AIC" "maxgrad"
1913.72598917 2.7276375067 4.40934235694 0.00191307278352 142.05 0.18912 0.29985 0.00011295 709.769 -1411.538 -0.000374924
1696.11076613 2.13560215335 5.67222758453 0.00189214942603 137.27 0.15195 0.38808 0.00013187 521.931 -1035.862 -0.000426547
1438.70643818 2.31954556431 5.55045634938 0.0018889713016 121.3 0.15991 0.38023 0.0001211 645.167 -1282.334 -0.000107963
1690.36136248 2.36575605472 5.34157684382 0.00187465921675 132.83 0.15309 0.34523 0.00011463 731.644 -1455.288 -0.000115418
1632.85321537 2.25335227869 5.77964251311 0.00171852952424 129.06 0.15883 0.39724 0.00010976 613.862 -1219.724 -0.000211048
1740.41523524 2.68976366238 4.58277088571 0.00185578836187 132.14 0.17874 0.30499 0.00010768 839.842 -1671.684 -1.77146e-06
1528.40342525 2.15238979601 5.80719163908 0.00183738269044 129.64 0.15331 0.40519 0.00011986 547.187 -1086.374 -0.000555158
1520.2841564 2.18106819114 5.81941295816 0.00169593742383 121.81 0.14707 0.38482 9.9938e-05 730.624 -1453.248 -0.000139933
1526.45769651 2.13680447515 5.86342665878 0.00172860672998 126.49 0.15208 0.40371 0.00011654 592.658 -1177.316 -2.54808e-06
1853.24514209 2.31042919048 5.4095517613 0.00188930275313 141.22 0.1581 0.36845 0.00011256 689.685 -1371.37 -4.25948e-06
1702.65270574 2.44689268535 5.33089569036 0.00192010948252 130.66 0.15533 0.34533 0.00010598 866.67 -1725.34 -0.00385715
1769.96636973 2.37317107406 5.15184988102 0.00184000454873 138.35 0.17377 0.36227 0.00013064 531.865 -1055.73 -1.14687e-05
1593.29360194 2.41921857366 5.12372679169 0.00200267471495 131.67 0.1781 0.36709 0.00013402 610.137 -1212.274 -1.35846e-05
1726.77657271 2.25153851734 5.35678063515 0.00195322252261 139.72 0.17524 0.39454 0.00013704 477.474 -946.948 -0.000383979
1654.14779027 2.23910003075 5.56919399359 0.00196709216138 133.41 0.15971 0.38271 0.00013043 607.704 -1207.408 -0.00338297
1933.44566613 2.02006137112 5.9143194216 0.00187188988754 148.76 0.1351 0.37913 0.00012049 612.652 -1217.304 -0.00180905
1539.49261229 2.40863100606 5.12874102928 0.00194819103627 128.82 0.18514 0.37906 0.00013407 499.295 -990.59 -2.60583e-05
1810.38905429 2.28779920656 5.52354200289 0.00190224489494 136.22 0.14291 0.33858 0.00010775 789.821 -1571.642 -0.000658541
1526.9911975 2.29923016005 5.40876133316 0.00188294627668 127.06 0.16018 0.36828 0.00013188 601.659 -1195.318 -7.23963e-06
1751.55268874 2.56172239315 4.92545549603 0.00190483553375 133.77 0.17785 0.33212 0.00012221 667.635 -1327.27 -0.00376823
1605.43120861 2.37860904538 5.59437079369 0.00183510758811 127.02 0.15686 0.36978 0.00010506 778.855 -1549.71 -3.65953e-05
1624.99375039 2.37787900366 5.38261705332 0.00169836503194 129.63 0.17063 0.3797 0.00010778 633.172 -1258.344 -1.13662e-05
1767.82664403 2.29211115681 5.38028045804 0.00167943925988 136.03 0.15553 0.35536 0.00010312 671.986 -1335.972 -0.000188496
1651.26935551 2.19622739086 5.79232520628 0.00182902197832 132.35 0.1483 0.3833 0.00011812 626.164 -1244.328 -0.000644577
1801.89471246 2.6169104719 4.69150587754 0.00192053388193 136.55 0.17346 0.31644 0.00011574 832.212 -1656.424 -3.22714e-05
1549.51006994 2.3137843632 5.44744401354 0.00189224851899 126.42 0.16608 0.3787 0.00012628 589.107 -1170.214 -3.98196e-05
